particip_code,pred_trialN,pred_Cond,pred_Cont,pred_Cat,pred_Obj,pred_predictedValue,pred_acc,pred_rt,rec_trialN,rec_session,rec_trialType,rec_Cond,rec_Cat,rec_Obj,rec_response,rec_acc,rec_rt,rec_respConf,rec_rtConf,rec_respCont
20,221,4,4,FruitsAndVegs,cucumber,1,1,1.38564775325358,84,1,old,4,FruitsAndVegs,cucumber,1,1,1.00810379208997,5,1.8770973496139,4
20,222,4,6,HouseObjects,scale2,3,1,0.604041536804289,365,2,old,4,HouseObjects,scale2,1,1,1.14403338357806,6,1.10211541457102,3
20,223,4,5,Instruments,electricguitar,2,1,0.614632240496576,9,1,old,4,Instruments,electricguitar,1,1,1.26013856008649,6,9.81423072516918e-05,6
20,224,2,5,Instruments,harp,2,1,0.784883398097008,54,1,old,2,Instruments,harp,1,1,0.881160952150822,5,6.12586736679077e-05,5
20,225,2,4,FruitsAndVegs,broccoli2,1,1,0.795315022580326,318,2,old,2,FruitsAndVegs,broccoli2,1,1,0.709176910575479,6,6.70319423079491e-05,6
20,226,2,4,FruitsAndVegs,lemon2,1,1,0.733675591181964,30,1,old,2,FruitsAndVegs,lemon2,1,1,1.58810079656541,6,1.37748879613355,4
20,227,4,4,FruitsAndVegs,peanut2,1,1,0.432307661045343,324,2,old,4,FruitsAndVegs,peanut2,1,1,0.849056567531079,6,1.38550310535356,1
20,228,2,6,HouseObjects,wateringcan2,3,1,0.610511228442192,351,2,old,2,HouseObjects,wateringcan2,1,1,1.43395651504397,4,2.40693275583908,3
20,229,4,6,HouseObjects,flyswatter,3,1,0.669092212803662,74,1,old,4,HouseObjects,flyswatter,1,1,1.09065939066932,6,9.6859410405159e-05,6
20,230,1,3,Instruments,marimba2,1,0,1.46349541004747,238,2,old,1,Instruments,marimba2,0,0,1.08682093815878,5,9.52556729316711e-05,5
20,231,4,6,HouseObjects,dustpan,3,1,0.705906784627587,48,1,old,4,HouseObjects,dustpan,1,1,0.698237576521933,6,9.84626822173595e-05,6
20,232,2,4,FruitsAndVegs,grape2,1,1,0.884969577658921,294,2,old,2,FruitsAndVegs,grape2,1,1,1.80288416380063,6,9.4293151050806e-05,6
20,233,3,4,Instruments,flute2,1,0,0.631487051025033,372,2,old,3,Instruments,flute2,1,1,0.901962941512465,5,9.30107198655605e-05,5
20,234,2,5,Instruments,tuba2,2,1,0.673642677720636,227,2,old,2,Instruments,tuba2,1,1,0.782684498466551,6,1.10699654882774,2
20,235,2,5,Instruments,timbal2,2,1,0.412776390090585,159,1,old,2,Instruments,timbal2,1,1,0.640164301730692,6,5.96554018557072e-05,6
20,236,1,1,HouseObjects,thread2,2,0,1.31127965636551,111,1,old,1,HouseObjects,thread2,1,1,1.03178654517978,6,2.64801215426996,3
20,237,4,5,Instruments,electricguitar,2,1,0.817703323904425,9,1,old,4,Instruments,electricguitar,1,1,1.26013856008649,6,9.81423072516918e-05,6
