particip_code,pred_trialN,pred_Cond,pred_Cont,pred_Cat,pred_Obj,pred_predictedValue,pred_acc,pred_rt,rec_trialN,rec_session,rec_trialType,rec_Cond,rec_Cat,rec_Obj,rec_response,rec_acc,rec_rt,rec_respConf,rec_rtConf,rec_respCont
31,1,4,5,Instruments,keyboard,2,1,0.910136972554028,185,1,old,4,Instruments,keyboard,1,1,1.58122474490665,6,0.433554324554279,3
31,2,1,3,Instruments,harmonica,3,0,1.13808134454302,362,2,old,1,Instruments,harmonica,1,1,1.58259285736131,3,0.129480901901843,6
31,3,4,6,FruitsAndVegs,greenolive,3,1,0.579841772792861,259,2,old,4,FruitsAndVegs,greenolive,1,1,1.39812670406536,6,0.0950836886186153,6
31,4,4,5,Instruments,trombone,2,1,0.822095029288903,302,2,old,4,Instruments,trombone,0,0,1.28080484244856,3,9.65384824667126e-05,6
31,5,2,4,HouseObjects,glassmop2,1,1,0.648548088036478,192,1,old,2,HouseObjects,glassmop2,0,0,1.3546386489179,6,0.00800757412798703,3
31,6,3,4,Instruments,harp2,1,0,0.74691838119179,86,1,old,3,Instruments,harp2,1,1,0.92606263840571,5,0.103306271601468,5
31,7,4,4,HouseObjects,cushion,1,1,0.893789551453665,17,1,old,4,HouseObjects,cushion,1,1,0.807499736081809,6,1.0824167241808,5
31,8,3,6,Instruments,musicsheet2,3,0,0.559727100422606,269,2,old,3,Instruments,musicsheet2,0,0,0.920137001288822,3,0.283827042760095,3
31,9,4,6,FruitsAndVegs,kiwi2,3,1,0.506299225613475,326,2,old,4,FruitsAndVegs,kiwi2,0,0,1.21492228651186,4,9.62177873589098e-05,6
31,10,3,5,HouseObjects,ironingboard2,2,0,0.917355559999123,11,1,old,3,HouseObjects,ironingboard2,0,0,1.5903866130393,5,1.5065535614267,4
31,11,3,5,HouseObjects,garbagebin2,2,0,1.0078141761478,131,1,old,3,HouseObjects,garbagebin2,0,0,1.32725343108177,5,0.929986083647236,3
31,12,4,4,HouseObjects,knife,1,1,0.890758046414703,218,2,old,4,HouseObjects,knife,0,0,0.833630806620931,6,0.616253683925606,5
31,13,4,4,HouseObjects,towel,2,0,1.11785088991746,333,2,old,4,HouseObjects,towel,0,0,1.42470686451998,5,9.94250294752419e-05,5
31,14,1,1,FruitsAndVegs,garlic2,3,1,1.0083597318735,212,2,old,1,FruitsAndVegs,garlic2,1,1,1.33570029062685,6,0.547012165450724,6
31,15,1,2,FruitsAndVegs,leek,3,1,1.34668303234503,379,2,old,1,FruitsAndVegs,leek,1,1,3.48162609321298,6,9.5576309831813e-05,6
31,16,4,4,HouseObjects,key,1,1,0.717217198805884,84,1,old,4,HouseObjects,key,1,1,0.822993704583496,5,1.00624935259111,4
31,17,1,1,Instruments,flute,3,0,0.847501686308533,231,2,old,1,Instruments,flute,0,0,1.75565046904376,4,0.0630922404525336,4
31,18,2,5,Instruments,laud,2,1,0.626100451918319,209,2,old,2,Instruments,laud,1,1,0.846948629652616,5,1.05059419287136,3
31,19,1,2,HouseObjects,match,2,0,0.724308457924053,215,2,old,1,HouseObjects,match,1,1,1.00017287125229,6,1.48190736985998,4
31,20,4,5,Instruments,speaker,2,1,1.53561361203901,199,2,old,4,Instruments,speaker,1,1,1.37910733636818,6,0.855748065951047,4
31,21,3,4,FruitsAndVegs,cherrytomato,1,0,1.02584990067407,155,1,old,3,FruitsAndVegs,cherrytomato,1,1,0.954017466166988,6,0.0184305387083441,6
31,22,3,6,HouseObjects,knife2,3,0,0.444361839443445,214,2,old,3,HouseObjects,knife2,0,0,1.23155513260281,5,0.14862791847554,4
31,23,1,1,Instruments,musicstand,2,1,1.03868184029125,286,2,old,1,Instruments,musicstand,0,0,1.25113095977576,4,0.419373513228493,6
31,24,2,4,HouseObjects,rug2,1,1,1.10520336776972,188,1,old,2,HouseObjects,rug2,0,0,1.24063294683583,4,0.622304656077176,3
31,25,4,6,FruitsAndVegs,lettuce2,3,1,0.483603347558528,365,2,old,4,FruitsAndVegs,lettuce2,1,1,1.55956537788734,5,9.39727178774774e-05,6
31,26,1,2,HouseObjects,handvacuum2,3,0,1.42988649825566,120,1,old,1,HouseObjects,handvacuum2,0,0,1.06573157850653,1,0.933804651256651,1
31,27,4,6,FruitsAndVegs,casabamelon,3,1,0.712430999847129,74,1,old,4,FruitsAndVegs,casabamelon,1,1,1.18593018478714,6,0.0555607050191611,6
31,28,4,5,Instruments,pipepiano,2,1,1.11473791999742,187,1,old,4,Instruments,pipepiano,1,1,1.34344594134018,6,0.282808459363878,5
31,29,4,6,FruitsAndVegs,cherrytomato2,3,1,0.62927147326991,232,2,old,4,FruitsAndVegs,cherrytomato2,1,1,1.45467324924539,6,9.68592066783458e-05,6
31,30,4,6,FruitsAndVegs,cherrytomato2,3,1,0.57567361346446,232,2,old,4,FruitsAndVegs,cherrytomato2,1,1,1.45467324924539,6,9.68592066783458e-05,6
31,31,3,6,Instruments,tambourine2,3,0,0.545942282769829,7,1,old,3,Instruments,tambourine2,1,1,1.21289460966364,5,1.75978239369579,3
31,32,1,3,Instruments,electricdrumset2,2,1,0.884530823910609,69,1,old,1,Instruments,electricdrumset2,1,1,1.57607387984172,5,5.2599236369133e-05,5
31,33,2,6,FruitsAndVegs,iceberglettuce2,3,1,0.510918967425823,314,2,old,2,FruitsAndVegs,iceberglettuce2,0,0,0.904954477766296,2,0.108255260623991,3
31,34,1,3,HouseObjects,towel2,3,0,0.673263900214806,344,2,old,1,HouseObjects,towel2,0,0,1.05109099732363,4,0.180845157708973,5
31,35,4,5,Instruments,tambourine,2,1,0.652468646410853,226,2,old,4,Instruments,tambourine,0,0,1.15901109934202,4,1.72942118273932,4
31,36,4,4,HouseObjects,key,1,1,0.607009217375889,84,1,old,4,HouseObjects,key,1,1,0.822993704583496,5,1.00624935259111,4
31,37,4,5,Instruments,keyboard,2,1,0.625777480658144,185,1,old,4,Instruments,keyboard,1,1,1.58122474490665,6,0.433554324554279,3
31,38,4,6,FruitsAndVegs,kiwi2,3,1,0.500302605098113,326,2,old,4,FruitsAndVegs,kiwi2,0,0,1.21492228651186,4,9.62177873589098e-05,6
31,39,1,2,Instruments,hihat,2,1,0.870910538826138,31,1,old,1,Instruments,hihat,0,0,1.59578026784584,4,0.532745356438681,2
31,40,3,6,HouseObjects,dishsoap,3,0,0.929007547674701,72,1,old,3,HouseObjects,dishsoap,1,1,1.02235911530443,5,0.178470411337912,5
31,41,4,4,HouseObjects,knife,1,1,0.587463192641735,218,2,old,4,HouseObjects,knife,0,0,0.833630806620931,6,0.616253683925606,5
31,42,3,4,FruitsAndVegs,mango,1,0,0.461942453403026,105,1,old,3,FruitsAndVegs,mango,1,1,0.796940463362262,5,0.192610593512654,6
31,43,1,3,FruitsAndVegs,coffeebean,2,0,0.848598890937865,32,1,old,1,FruitsAndVegs,coffeebean,1,1,1.05605462356471,6,0.937581203877926,2
31,44,3,6,Instruments,electricdrumset,3,0,0.490814879070967,37,1,old,3,Instruments,electricdrumset,1,1,0.923351859441027,6,0.208267170004547,6
31,45,1,3,HouseObjects,safetypin,2,0,1.27775413310155,368,2,old,1,HouseObjects,safetypin,1,1,1.01996166043682,6,0.308008494088426,5
31,46,4,5,Instruments,trumpet,2,1,0.688588204327971,384,2,old,4,Instruments,trumpet,1,1,1.21997339898371,4,0.481375285569811,4
31,47,1,3,FruitsAndVegs,celery,3,1,0.987777440343052,45,1,old,1,FruitsAndVegs,celery,0,0,1.17644213791937,6,0.650457692565396,4
31,48,4,4,HouseObjects,thread2,1,1,0.534023130079731,324,2,old,4,HouseObjects,thread2,0,0,1.09138507733587,3,9.91043052636087e-05,6
31,49,1,1,FruitsAndVegs,endive2,2,0,0.896236372645944,142,1,old,1,FruitsAndVegs,endive2,1,1,1.03767892927863,6,0.786793002858758,6
31,50,4,5,Instruments,speaker,3,0,1.66647444455884,199,2,old,4,Instruments,speaker,1,1,1.37910733636818,6,0.855748065951047,4
31,51,1,3,Instruments,flutetrans2,2,1,1.22104811458848,24,1,old,1,Instruments,flutetrans2,1,1,1.03792973724194,6,0.403445499017835,5
31,52,1,3,HouseObjects,iron2,2,0,0.583352122455835,149,1,old,1,HouseObjects,iron2,1,1,1.71734805521555,4,9.81423072516918e-05,5
31,53,4,5,Instruments,electricguitar,2,1,0.761684942059219,9,1,old,4,Instruments,electricguitar,1,1,1.36016572569497,6,1.32319880882278,5
31,54,1,3,Instruments,record,3,0,1.14013623818755,8,1,old,1,Instruments,record,1,1,1.04808168788441,6,1.5426570829004,5
31,55,4,6,FruitsAndVegs,casabamelon,3,1,0.495355081046,74,1,old,4,FruitsAndVegs,casabamelon,1,1,1.18593018478714,6,0.0555607050191611,6
31,56,4,5,Instruments,tambourine,2,1,1.03385394695215,226,2,old,4,Instruments,tambourine,0,0,1.15901109934202,4,1.72942118273932,4
31,57,2,5,Instruments,metronome,2,1,0.50030292593874,162,1,old,2,Instruments,metronome,1,1,1.87340803490952,6,0.327974744606763,5
31,58,4,5,Instruments,frenchhorn2,2,1,0.558430403936654,122,1,old,4,Instruments,frenchhorn2,1,1,1.03346747183241,6,9.84629150480032e-05,5
31,59,2,4,HouseObjects,rubbergloves2,1,1,0.624848657287657,322,2,old,2,HouseObjects,rubbergloves2,0,0,1.38719027099432,4,0.305446856189519,6
31,60,4,4,HouseObjects,towel,1,1,0.523448141524568,333,2,old,4,HouseObjects,towel,0,0,1.42470686451998,5,9.94250294752419e-05,5
31,61,4,4,HouseObjects,cushion,1,1,0.502358140423894,17,1,old,4,HouseObjects,cushion,1,1,0.807499736081809,6,1.0824167241808,5
31,62,2,5,Instruments,grandpiano2,2,1,1.24876913265325,169,1,old,2,Instruments,grandpiano2,1,1,1.30161905870773,4,0.0319770565256476,4
31,63,4,6,FruitsAndVegs,greenolive,3,1,0.475328929023817,259,2,old,4,FruitsAndVegs,greenolive,1,1,1.39812670406536,6,0.0950836886186153,6
31,64,1,2,Instruments,keyboard2,2,1,0.653763418784365,369,2,old,1,Instruments,keyboard2,0,0,1.28113069999381,2,0.279414816322969,4
31,65,4,6,FruitsAndVegs,carrot,3,1,0.512020020978525,48,1,old,4,FruitsAndVegs,carrot,1,1,1.43976230314001,6,0.254776015877724,6
31,66,1,3,FruitsAndVegs,coconut2,2,0,0.962582142092288,58,1,old,1,FruitsAndVegs,coconut2,0,0,0.980097969062626,6,0.293791732518002,5
31,67,3,4,FruitsAndVegs,mango2,1,0,0.508970555150881,70,1,old,3,FruitsAndVegs,mango2,0,0,0.979572619311512,6,0.0220043919980526,6
31,68,4,5,Instruments,trumpet,2,1,1.09529581060633,384,2,old,4,Instruments,trumpet,1,1,1.21997339898371,4,0.481375285569811,4
31,69,4,5,Instruments,tambourine,2,1,0.489744615275413,226,2,old,4,Instruments,tambourine,0,0,1.15901109934202,4,1.72942118273932,4
31,70,3,5,HouseObjects,wateringcan2,2,0,0.676693426910788,260,2,old,3,HouseObjects,wateringcan2,0,0,1.03727476621862,5,0.0185353922715876,6
31,71,1,1,HouseObjects,saw,3,0,1.19123307405971,79,1,old,1,HouseObjects,saw,0,0,1.04135252861306,5,0.291466787224635,5
31,72,4,5,Instruments,electricguitar,2,1,0.714212313760072,9,1,old,4,Instruments,electricguitar,1,1,1.36016572569497,6,1.32319880882278,5
31,73,4,4,HouseObjects,flyswatter,1,1,0.564744222443551,25,1,old,4,HouseObjects,flyswatter,1,1,1.26036082347855,6,1.02223788085394,4
31,74,4,6,FruitsAndVegs,cherrytomato2,3,1,0.695058858022094,232,2,old,4,FruitsAndVegs,cherrytomato2,1,1,1.45467324924539,6,9.68592066783458e-05,6
31,75,2,6,FruitsAndVegs,lettuce,3,1,0.697620178572834,296,2,old,2,FruitsAndVegs,lettuce,1,1,1.08989273960469,3,9.55763389356434e-05,6
31,76,4,4,HouseObjects,cushion,1,1,0.580048320582137,17,1,old,4,HouseObjects,cushion,1,1,0.807499736081809,6,1.0824167241808,5
31,77,1,1,HouseObjects,thermometer,2,0,1.3982542224694,198,2,old,1,HouseObjects,thermometer,1,1,1.1235994300223,6,1.14284715455142,5
31,78,2,5,Instruments,electricguitar2,2,1,0.624668729724362,350,2,old,2,Instruments,electricguitar2,0,0,1.12154967064271,2,0.260250480554532,4
31,79,4,4,HouseObjects,recyclingbin2,1,1,0.555230517173186,229,2,old,4,HouseObjects,recyclingbin2,1,1,1.08236049144762,6,9.91043052636087e-05,5
31,80,4,5,Instruments,trombone,2,1,0.750314552336931,302,2,old,4,Instruments,trombone,0,0,1.28080484244856,3,9.65384824667126e-05,6
31,81,4,4,HouseObjects,towel,1,1,0.744622622150928,333,2,old,4,HouseObjects,towel,0,0,1.42470686451998,5,9.94250294752419e-05,5
31,82,3,5,FruitsAndVegs,ginger,2,0,1.15516194584779,250,2,old,3,FruitsAndVegs,ginger,1,1,1.15490516615682,6,0.421651629440021,6
31,83,3,6,Instruments,oboe,3,0,0.557611589552835,288,2,old,3,Instruments,oboe,0,0,1.36111236727447,3,0.0869811897573527,5
31,84,2,5,Instruments,laud2,2,1,0.744690616149455,264,2,old,2,Instruments,laud2,0,0,1.07393919100286,4,0.600283457577461,5
31,85,2,6,FruitsAndVegs,casabamelon2,3,1,0.674946109997109,35,1,old,2,FruitsAndVegs,casabamelon2,0,0,1.30198949761689,6,0.739587218733504,4
31,86,1,3,Instruments,musicstand2,2,1,1.18939306703396,156,1,old,1,Instruments,musicstand2,1,1,1.09923497145064,6,0.222244102973491,5
31,87,4,5,Instruments,trombone,2,1,0.616671739378944,302,2,old,4,Instruments,trombone,0,0,1.28080484244856,3,9.65384824667126e-05,6
31,88,4,5,Instruments,tambourine,2,1,0.546882010763511,226,2,old,4,Instruments,tambourine,0,0,1.15901109934202,4,1.72942118273932,4
31,89,3,4,FruitsAndVegs,kiwi,1,0,0.613264022162184,323,2,old,3,FruitsAndVegs,kiwi,1,1,1.85449370686547,6,0.235475044784835,6
31,90,4,5,Instruments,keyboard,2,1,0.703705640044063,185,1,old,4,Instruments,keyboard,1,1,1.58122474490665,6,0.433554324554279,3
31,91,3,5,HouseObjects,rubbergloves,2,0,0.618079407373443,224,2,old,3,HouseObjects,rubbergloves,1,1,1.21613623408484,6,0.252518420107663,5
31,92,3,5,FruitsAndVegs,mushroom,2,0,0.604641936253756,77,1,old,3,FruitsAndVegs,mushroom,1,1,1.16196358925663,6,0.183459950610995,6
31,93,4,6,FruitsAndVegs,greenolive,3,1,0.470903867622837,259,2,old,4,FruitsAndVegs,greenolive,1,1,1.39812670406536,6,0.0950836886186153,6
31,94,4,4,HouseObjects,flyswatter2,1,1,0.553544138092548,52,1,old,4,HouseObjects,flyswatter2,1,1,1.25951827527024,6,1.23144702403806,4
