"","participant","scn_file","scn_cat","obj_cat_top","min_resp_top","max_resp_top","slider.response","slider.rt","iteration_index","corr_rat","group"
"244",22,"stim/11.jpeg",1,"Household items",45,55,35,6.684999943,1,50,1
"245",22,"stim/21.jpeg",2,"Music items",45,55,9,4.644000053,1,50,1
"246",22,"stim/31.jpeg",3,"Household items",65,75,21,5.072999954,1,70,1
"243",22,"stim/41.jpeg",4,"Household items",65,75,97,5.42200017,1,70,1
"241",22,"stim/51.jpeg",5,"Music items",5,15,34,8.513999939,1,10,1
"242",22,"stim/61.jpeg",6,"Household items",5,15,61,8.825999975,1,10,1
"582",22,"stim/11.jpeg",1,"Household items",45,55,34,5.386000156,2,50,1
"580",22,"stim/21.jpeg",2,"Music items",45,55,26,6.705000162,2,50,1
"583",22,"stim/31.jpeg",3,"Household items",65,75,17,4.854999781,2,70,1
"581",22,"stim/41.jpeg",4,"Household items",65,75,90,5.275000095,2,70,1
"578",22,"stim/51.jpeg",5,"Music items",5,15,46,7.965999842,2,10,1
"579",22,"stim/61.jpeg",6,"Household items",5,15,60,5.878000021,2,10,1
