"","obj_file","X.x","participant.x","trialN.x","trial_cond","scn_file.x","scn_cat","scn_inst","scn_condition","fillers","obj_cat","obj_cat_num","quadrant","corr_ans","key_resp_trial.keys","key_resp_trial.rt","trial_acc","trial_acc_manual","group.x","practice","X.y","participant.y","OvsN","PE_level","object_cat","scn_file.y","corr_scn_cat","corr_scn_inst","scn_file.1","corr_loc","key_resp_id.keys","key_resp_id.rt","key_resp_conf.keys","key_resp_assoc.keys","key_resp_assoc.rt","key_resp_loc.keys","key_resp_loc.rt","trialN.y","id_acc","assoc.acc","cond_assoc","loc.acc","cond_loc","group.y"
"67","stim/objects/HouseObjects/pitcher.png",1,22,1,0.5,"stim/64.jpeg",6,4,1,NA,"HouseObjects",1,3,"left","",NA,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","stim/objects/Instruments/keyboard.png",2,22,2,0.5,"stim/51.jpeg",5,1,1,NA,"Instruments",2,4,"right","right",0.748999834,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","stim/objects/HouseObjects/knife2.png",3,22,3,0.7,"stim/24.jpeg",2,4,2,NA,"HouseObjects",1,3,"left","left",0.736000061,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","stim/objects/Instruments/keyboard.png",4,22,4,0.5,"stim/51.jpeg",5,1,1,NA,"Instruments",2,4,"right","right",0.775000095,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","stim/objects/HouseObjects/key2.png",5,22,5,0.7,"stim/23.jpeg",2,3,2,NA,"HouseObjects",1,4,"left","left",0.682999849,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","stim/objects/HouseObjects/recyclingbin2.png",6,22,6,0.9,"stim/41.jpeg",4,1,3,NA,"HouseObjects",1,1,"left","left",0.737999916,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","stim/objects/Instruments/record_player.png",7,22,7,0.7,"stim/14.jpeg",1,4,2,NA,"Instruments",2,4,"right","right",0.639999866,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","stim/objects/HouseObjects/rug2.png",8,22,8,0.9,"stim/44.jpeg",4,4,3,NA,"HouseObjects",1,1,"left","left",0.637000084,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","stim/objects/HouseObjects/key2.png",9,22,9,0.7,"stim/23.jpeg",2,3,2,NA,"HouseObjects",1,1,"left","left",0.589999914,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","stim/objects/Instruments/metronome2.png",10,22,10,0.9,"stim/31.jpeg",3,1,3,NA,"Instruments",2,4,"right","right",0.634999752,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","stim/objects/HouseObjects/recyclingbin.png",11,22,11,0.3,"stim/11.jpeg",1,1,2,NA,"HouseObjects",1,1,"left","left",0.622999907,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","stim/objects/Instruments/panflute.png",12,22,12,0.7,"stim/11.jpeg",1,1,2,NA,"Instruments",2,3,"right","",NA,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","stim/objects/Instruments/marimba.png",13,22,13,0.5,"stim/54.jpeg",5,4,1,NA,"Instruments",2,4,"right","right",0.775000095,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","stim/objects/HouseObjects/key2.png",14,22,14,0.7,"stim/23.jpeg",2,3,2,NA,"HouseObjects",1,2,"left","left",0.593999863,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","stim/objects/HouseObjects/match2.png",15,22,15,0.1,"stim/32.jpeg",3,2,3,NA,"HouseObjects",1,4,"left","right",0.641000032,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","stim/objects/HouseObjects/recyclingbin2.png",16,22,16,0.9,"stim/41.jpeg",4,1,3,NA,"HouseObjects",1,1,"left","left",0.547999859,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","stim/objects/HouseObjects/pan.png",17,22,17,0.5,"stim/63.jpeg",6,3,1,NA,"HouseObjects",1,3,"left","right",0.648999691,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","stim/objects/HouseObjects/rubbergloves2.png",18,22,18,0.9,"stim/43.jpeg",4,3,3,NA,"HouseObjects",1,2,"left","left",0.551999807,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","stim/objects/Instruments/oboe2.png",19,22,19,0.9,"stim/34.jpeg",3,4,3,NA,"Instruments",2,4,"right","right",0.573999882,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","stim/objects/HouseObjects/rubbergloves2.png",20,22,20,0.9,"stim/43.jpeg",4,3,3,NA,"HouseObjects",1,3,"left","left",0.493000031,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","stim/objects/HouseObjects/knife2.png",21,22,21,0.7,"stim/24.jpeg",2,4,2,NA,"HouseObjects",1,4,"left","right",0.507999897,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","stim/objects/Instruments/metronome.png",22,22,22,0.5,"stim/61.jpeg",6,1,1,NA,"Instruments",2,1,"right","right",0.725999832,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","stim/objects/Instruments/keyboard2.png",23,22,23,0.3,"stim/21.jpeg",2,1,2,NA,"Instruments",2,2,"right","right",0.828999996,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","stim/objects/Instruments/keyboard.png",24,22,24,0.5,"stim/51.jpeg",5,1,1,NA,"Instruments",2,1,"right","right",0.861000061,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","stim/objects/Instruments/panflute.png",25,22,25,0.7,"stim/11.jpeg",1,1,2,NA,"Instruments",2,2,"right","right",0.595999956,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
