"","participant","scn_file","scn_cat","obj_cat_top","min_resp_top","max_resp_top","slider.response","slider.rt","iteration_index","corr_rat","group"
"244",6,"stim/11.jpeg",1,"Music items",45,55,10,3.469000101,1,50,1
"243",6,"stim/21.jpeg",2,"Household items",45,55,10,4.279999971,1,50,1
"246",6,"stim/31.jpeg",3,"Music items",65,75,32,4.618000031,1,70,1
"245",6,"stim/41.jpeg",4,"Music items",65,75,57,4.673000097,1,70,1
"241",6,"stim/51.jpeg",5,"Household items",5,15,68,11.64499998,1,10,1
"242",6,"stim/61.jpeg",6,"Music items",5,15,81,4.101999998,1,10,1
"578",6,"stim/11.jpeg",1,"Music items",45,55,15,5.164000034,2,50,1
"582",6,"stim/21.jpeg",2,"Household items",45,55,20,3.325999975,2,50,1
"580",6,"stim/31.jpeg",3,"Music items",65,75,30,5.126000166,2,70,1
"583",6,"stim/41.jpeg",4,"Music items",65,75,40,4.312999964,2,70,1
"581",6,"stim/51.jpeg",5,"Household items",5,15,66,4.090000153,2,10,1
"579",6,"stim/61.jpeg",6,"Music items",5,15,80,3.319000006,2,10,1
