"","participant","OvsN","PE_level","object_cat","obj_file","scn_file","corr_scn_cat","corr_scn_inst","scn_file.1","corr_loc","key_resp_id.keys","key_resp_id.rt","key_resp_conf.keys","key_resp_assoc.keys","key_resp_assoc.rt","key_resp_loc.keys","key_resp_loc.rt","trialN","id_acc","assoc.acc","cond_assoc","loc.acc","cond_loc","group"
"1",24,2,0,2,"stim/objects/Instruments/grandpiano3.png","",0,0,"",0,"right",3.308000088,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1
"2",24,2,0,2,"stim/objects/Instruments/gong3.png","",0,0,"",0,"right",1.361000061,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,1
"3",24,1,0.1,2,"stim/objects/Instruments/oboe2.png","stim/21.jpeg",2,1,"stim/21.jpeg",4,"left",0.934999943,3,2,6.358000278,2,3.228000164,3,1,0,0,0,0,1
"4",24,1,0.3,1,"stim/objects/HouseObjects/ashtray2.png","stim/52.jpeg",5,2,"stim/52.jpeg",3,"left",1.43900013,3,4,4.903000355,3,2.058000326,4,1,0,0,1,1,1
"5",24,1,0.9,1,"stim/objects/HouseObjects/pitcher2.png","stim/23.jpeg",2,3,"stim/23.jpeg",2,"right",1.68900013,4,2,2.018000126,2,0.368000269,5,0,0,NA,1,NA,1
"6",24,1,0.5,1,"stim/objects/Instruments/harp.png","stim/34.jpeg",3,4,"stim/34.jpeg",2,"right",1.306000233,3,3,0.742000103,3,0.264000177,6,0,0,NA,0,NA,1
"7",24,1,0.5,1,"stim/objects/Instruments/guitarcase.png","stim/32.jpeg",3,2,"stim/32.jpeg",2,"right",2.120000124,3,3,0.173000097,3,1.562000036,7,0,0,NA,0,NA,1
"8",24,2,0,2,"stim/objects/Instruments/electricguitar4.png","",0,0,"",0,"right",1.14199996,NA,NA,NA,NA,NA,8,1,NA,NA,NA,NA,1
"9",24,2,0,1,"stim/objects/HouseObjects/clothesdryingrack3.png","",0,0,"",0,"right",1.71600008,NA,NA,NA,NA,NA,9,1,NA,NA,NA,NA,1
"10",24,1,0.7,2,"stim/objects/Instruments/bassdrum2.png","stim/53.jpeg",5,3,"stim/53.jpeg",2,"left",0.951000214,4,3,2.087000132,2,0.99600029,10,1,1,1,1,1,1
"11",24,2,0,2,"stim/objects/Instruments/electricdrumset3.png","",0,0,"",0,"right",1.19900012,NA,NA,NA,NA,NA,11,1,NA,NA,NA,NA,1
"12",24,1,0.5,1,"stim/objects/HouseObjects/handvacuum.png","stim/32.jpeg",3,2,"stim/32.jpeg",2,"left",0.90500021,4,1,1.431000233,2,1.813000202,12,1,0,0,1,1,1
"13",24,2,0,1,"stim/objects/HouseObjects/ashtray3.png","",0,0,"",0,"right",1.052000284,NA,NA,NA,NA,NA,13,1,NA,NA,NA,NA,1
