"","participant","iteration_index","scn_file","scn_cat","obj_cat_top","min_resp_top","max_resp_top","slider.response","slider.rt","rating_acc","corr_rat","group"
"256",24,1,"stim/11.jpeg",1,"Household items",45,55,86,3.946000099,1,50,1
"252",24,1,"stim/21.jpeg",2,"Music items",45,55,70,13.0769999,1,50,1
"254",24,1,"stim/31.jpeg",3,"Household items",65,75,14,6.250999928,1,70,1
"255",24,1,"stim/41.jpeg",4,"Household items",65,75,10,5.627000093,1,70,1
"253",24,1,"stim/51.jpeg",5,"Music items",5,15,87,6.312999964,1,10,1
"251",24,1,"stim/61.jpeg",6,"Household items",5,15,9,14.79399991,1,10,1
"499",24,2,"stim/11.jpeg",1,"Household items",45,55,96,4.15899992,0,50,1
"498",24,2,"stim/21.jpeg",2,"Music items",45,55,96,6.906000137,0,50,1
"500",24,2,"stim/31.jpeg",3,"Household items",65,75,16,2.344000101,0,70,1
"501",24,2,"stim/41.jpeg",4,"Household items",65,75,24,2.806999922,0,70,1
"502",24,2,"stim/51.jpeg",5,"Music items",5,15,34,2.259000063,0,10,1
"503",24,2,"stim/61.jpeg",6,"Household items",5,15,18,6.195999861,0,10,1
"748",24,3,"stim/11.jpeg",1,"Household items",45,55,10,2.325999975,1,50,1
"747",24,3,"stim/21.jpeg",2,"Music items",45,55,85,5.661000013,1,50,1
"745",24,3,"stim/31.jpeg",3,"Household items",65,75,36,9.653000116,0,70,1
"746",24,3,"stim/41.jpeg",4,"Household items",65,75,70,2.133000135,1,70,1
"749",24,3,"stim/51.jpeg",5,"Music items",5,15,10,4.342999935,2,10,1
"750",24,3,"stim/61.jpeg",6,"Household items",5,15,75,3.693000078,2,10,1
"993",24,4,"stim/11.jpeg",1,"Household items",45,55,94,4.593999863,0,50,1
"994",24,4,"stim/21.jpeg",2,"Music items",45,55,94,3.588999987,0,50,1
"995",24,4,"stim/31.jpeg",3,"Household items",65,75,28,3.246999979,0,70,1
"992",24,4,"stim/41.jpeg",4,"Household items",65,75,82,6.207000017,0,70,1
"997",24,4,"stim/51.jpeg",5,"Music items",5,15,16,3.160000086,1,10,1
"996",24,4,"stim/61.jpeg",6,"Household items",5,15,14,3.760999918,1,10,1
