"","participant","scn_file","scn_cat","obj_cat_top","min_resp_top","max_resp_top","slider.response","slider.rt","iteration_index","corr_rat","group"
"242",61,"stim/11.jpeg",1,"Music items",45,55,31,6.858999968,1,50,1
"246",61,"stim/21.jpeg",2,"Household items",45,55,7,7.513999939,1,50,1
"244",61,"stim/31.jpeg",3,"Music items",65,75,55,3.578999996,1,70,1
"243",61,"stim/41.jpeg",4,"Music items",65,75,32,3.530999899,1,70,1
"245",61,"stim/51.jpeg",5,"Household items",5,15,42,5.59100008,1,10,1
"241",61,"stim/61.jpeg",6,"Music items",5,15,57,5.962000132,1,10,1
"583",61,"stim/11.jpeg",1,"Music items",45,55,44,2.063999891,2,50,1
"581",61,"stim/21.jpeg",2,"Household items",45,55,46,1.687999964,2,50,1
"578",61,"stim/31.jpeg",3,"Music items",65,75,60,9.729000092,2,70,1
"579",61,"stim/41.jpeg",4,"Music items",65,75,40,1.743000031,2,70,1
"582",61,"stim/51.jpeg",5,"Household items",5,15,45,2.406000137,2,10,1
"580",61,"stim/61.jpeg",6,"Music items",5,15,52,3.071999788,2,10,1
