"","participant","scn_file","scn_cat","obj_cat_top","min_resp_top","max_resp_top","slider.response","slider.rt","iteration_index","corr_rat","group"
"243",74,"stim/11.jpeg",1,"Household items",45,55,30,4.406000137,1,50,1
"245",74,"stim/21.jpeg",2,"Music items",45,55,4,6.528000116,1,50,1
"242",74,"stim/31.jpeg",3,"Household items",65,75,65,2.50999999,1,70,1
"244",74,"stim/41.jpeg",4,"Household items",65,75,26,7.739000082,1,70,1
"246",74,"stim/51.jpeg",5,"Music items",5,15,65,5.971000195,1,10,1
"241",74,"stim/61.jpeg",6,"Household items",5,15,70,5.94900012,1,10,1
"582",74,"stim/11.jpeg",1,"Household items",45,55,10,3.779999971,2,50,1
"580",74,"stim/21.jpeg",2,"Music items",45,55,20,4.980999947,2,50,1
"583",74,"stim/31.jpeg",3,"Household items",65,75,25,3.042999983,2,70,1
"581",74,"stim/41.jpeg",4,"Household items",65,75,30,3.144999981,2,70,1
"578",74,"stim/51.jpeg",5,"Music items",5,15,70,4.522000074,2,10,1
"579",74,"stim/61.jpeg",6,"Household items",5,15,79,4.264000177,2,10,1
