"","PE_level","trialN","id_acc","trial_acc","session","SubNum","PEchoice","PEobs"
"3258","0.5",138,1,0,"DelayedRec",12,-0.00108899361871902,0.64645080305835
"3261","0.5",141,1,0,"ImmediateRec",12,-0.0227588445505097,0.673526950993943
"3263","0.5",143,1,0,"ImmediateRec",12,-0.000508346909441652,0.709699723689561
"3265","0.5",145,1,0,"DelayedRec",12,-0.00139265054302468,0.665494051604811
"3267","0.9",147,1,0,"ImmediateRec",12,-0.94175647517895,0.858069775222727
"3269","0.5",149,1,0,"ImmediateRec",12,-0.000237298525810329,0.698713426739699
"3271","0.9",151,0,0,"ImmediateRec",12,-0.984071233417174,0.860050715850599
"3273","0.5",153,0,1,"DelayedRec",12,0.714039178770861,0.660551336155642
"3274","0.1",154,0,1,"ImmediateRec",12,0.356562984511537,0.322412723281353
"3276","0.5",156,0,1,"DelayedRec",12,0.992741406282588,0.65700807769488
"3278","0.1",158,1,1,"ImmediateRec",12,0.0553245903257642,0.305670371793928
"3282","0.5",162,0,0,"DelayedRec",12,-0.321728510028125,0.657846668168088
"3284","0.5",164,1,0,"ImmediateRec",12,-0.000110771973441532,0.649767954221906
"3285","0.5",165,0,0,"ImmediateRec",12,-0.512146451615473,0.666499914319919
"3286","0.5",166,1,1,"DelayedRec",12,0.999696532729717,0.721270968808013
"3289","0.9",169,1,0,"ImmediateRec",12,-0.886279558986697,0.848802369624136
"3291","0.5",171,1,1,"DelayedRec",12,0.650085778005562,0.653141164161709
"3293","0.5",173,1,0,"ImmediateRec",12,-0.555841383801569,0.710035217295896
"3296","0.9",176,1,0,"DelayedRec",12,-0.882193053225991,0.857767866719701
"3297","0.5",177,0,0,"ImmediateRec",12,-0.316976553528293,0.642875299696448
"3299","0.1",179,0,1,"ImmediateRec",12,0.00562759408768443,0.263739367839498
"3300","0.9",180,1,0,"DelayedRec",12,-0.996155054475763,0.88429896427225
"3301","0.5",181,1,0,"ImmediateRec",12,-0.0701066561167118,0.710946732305367
"3302","0.5",182,0,0,"DelayedRec",12,-0.222723766362271,0.681740913452117
"3303","0.5",183,1,0,"DelayedRec",12,-0.379767944797299,0.667092275127696
"3305","0.9",185,1,0,"DelayedRec",12,-0.602741451970931,0.836931747134175
"3306","0.1",186,0,1,"ImmediateRec",12,0.125809208295897,0.293991204611248
"3307","0.9",187,1,0,"ImmediateRec",12,-0.411811515172927,0.816601759680928
"3308","0.9",188,1,0,"ImmediateRec",12,-0.680603799505427,0.86373369828778
