"","model","N","BIC","sd","se","ci"
"1","dfLR_Instr",32,277.00821861887,11.4325496796085,2.02100835117582,4.12187370750252
"2","dLR_Instr",32,289.329404146355,14.3381402181776,2.53464904446923,5.16945080809081
"3","fLR_Eval",32,271.394554573184,15.4766243754011,2.73590651143078,5.57991811814657
"4","fLR_Instr",32,266.401046981231,9.89504806241176,1.74921389627454,3.56754526207538
