"","model","N","BIC","sd","se","ci"
"1","dLR_Instr",40,801.249561777605,31.2452821343199,4.9403128839509,9.9927260125081
"2","fLR_Eval",40,783.117974534676,20.2962609388704,3.2091206275969,6.49105915474292
"3","fLR_Instr",40,774.352966026218,14.475142858182,2.28872104440874,4.62937527502262
