"","PartNum","OptimalBayesian_feedb","RescorlaWagner_feedb","RescorlaWagner_feedbALL","RescorlaWagner_feedbALLdualLR","RescorlaWagner_feedbAndObs","RescorlaWagner_feedbAndQ","RescorlaWagner_feedbCK","RescorlaWagner_feedbmin1","RescorlaWagner_obs","RescorlaWagner_obsALL","RescorlaWagner_obsALL1n","RescorlaWagner_obsALL1nfree","RescorlaWagner_obsALL1nstick","RescorlaWagner_obsALLdualLR","RescorlaWagner_obsALLnobeta","RescorlaWagner_obsALLstick","RescorlaWagner_obsdualLR","BestModel"
"21",23,313.853625636471,304.652119398994,301.616610205884,447.135170688103,491.686103448994,307.295716155438,318.932110654118,304.652118504119,300.444646688247,299.265784072185,336.946029355616,342.912176094739,342.912176094739,447.135170688228,479.753809971061,305.231602955917,305.640463586844,"RescorlaWagner_obsALL"
"22",24,438.665590284186,482.936395521673,434.848977619697,511.887647162858,532.86829210439,470.302887974566,446.299612105105,465.707224173546,472.761991974075,466.842974336721,467.694448842177,473.660595581301,473.660595581301,511.719403603857,522.218814823001,472.809121075823,457.084473590196,"RescorlaWagner_obsdualLR"
"23",25,208.482922174527,213.410592626622,217.101437771796,399.315512676794,461.474053720187,219.080340612311,235.127429260565,213.410592626604,215.345898894186,212.378213190306,221.845360502221,227.811507241344,226.233708605612,399.31417091665,456.235484574753,216.581263272415,218.898768485128,"RescorlaWagner_obsALL"
"24",26,138.532411607191,158.99515536547,137.055810642421,372.517076244717,430.550209881018,147.912486435977,158.047327889395,158.995155367376,142.331649786685,142.939971344754,153.918980550616,159.88512728974,158.59038760781,372.516718328914,435.683708315652,147.80516861539,142.129438444471,"RescorlaWagner_obsdualLR"
"25",27,153.660967463285,156.893887512821,151.005834128129,384.039115227719,443.175666086432,154.343445332699,172.74018095084,156.893887516133,144.867440051223,142.571346402259,155.93624318187,161.859325323186,161.902389921,384.03911522772,446.22963665043,148.53749312711,147.515022405929,"RescorlaWagner_obsALL"
"26",28,219.285696427133,225.650759204524,212.746203708488,406.945978141889,458.701997309826,219.999781597026,231.349545792405,225.650759132429,222.950038327757,224.159374285123,248.434700393494,253.184372549225,254.400847132618,406.945978141889,454.921047848376,230.125764722028,216.358160132466,"RescorlaWagner_obsdualLR"
"27",29,151.615001884712,153.419337196991,149.670040302362,386.616549337801,442.575342882346,158.170089371632,173.134456226385,153.419337242089,152.197394888796,148.735413275824,166.226427765857,172.123053069382,172.065233418133,386.616549337801,447.540384358218,153.810947837747,158.144109243331,"RescorlaWagner_obsALL"
"28",30,311.623669362649,298.738521735265,293.959956491832,442.426610192944,493.263657701676,302.988296083025,313.909356540063,298.738521753206,300.786685882326,300.674184866144,331.359505781358,331.569949313173,337.325652520482,442.426610192934,481.701808332901,306.640335338929,303.35898943393,"RescorlaWagner_obsALL"
"29",31,145.396068956429,146.367020678786,141.484025499669,383.315146467635,444.1877499911,145.859695103672,164.227529514931,146.367020739049,137.603249312985,136.207150294596,173.281750722554,177.554004470587,179.247897461678,383.31417091665,447.321406980295,142.173298714525,140.690892645722,"RescorlaWagner_obsALL"
"30",32,514.489918089601,564.005728039349,535.737390258561,553.429760641288,567.033233442094,553.72589488458,550.681354417594,564.00572804294,529.976028338299,547.602513154446,528.163007669047,534.129154408171,534.129154408171,553.429760641285,555.100939963848,553.56865989258,535.548918836388,"RescorlaWagner_obsALL1n"
"31",33,126.549709745103,128.135275161333,124.432292894041,381.349004220181,438.410630328614,129.742071210009,147.028000216022,128.13527530806,124.221037013696,117.939198229349,144.831223298666,150.206411948494,149.856068117293,381.349004220181,441.536109706645,121.360148860481,125.358367811858,"RescorlaWagner_obsALL"
"32",34,160.041263855479,157.366499648143,150.082882856229,388.828161003491,439.702474594466,161.309877850833,159.17445179435,157.366499646587,160.898780978602,155.386618350501,184.008642361154,189.97478910023,189.97478910023,388.828161003491,439.331873765734,161.352765020775,163.628548693148,"RescorlaWagner_obsALL"
