"simBeta","fitBeta","BIC"
NA,NA,NA
24.2526795888755,10,1409.82793907385
13.4131207776474,10,1710.34772954668
0.500872237658163,0,1984.99766154648
11.6008082412421,10,1681.6100316041
10.2415175452353,10,1717.83486523958
0.232368775177747,0,1984.99766154648
10.5297847551512,10,1708.99737891682
13.0045688611673,10,1716.03689991301
1.4417248731479,1.60101827376666,1976.53025097607
0.000434140674769878,0,1984.99766154648
2.43004797957838,1.58090757479105,1977.91730968006
0.489863493480334,0.424724214924598,1984.28354644228
2.67405395628884,2.56758988226116,1965.95982963733
2.67359803741048,2.38109881037755,1964.61184930201
1.0631937906146,1.33152185216762,1978.2017825061
1.69942045888916,2.3823030119969,1966.85565563383
6.44395786782211,6.72065020035364,1891.80020040755
0.339207530487329,0.945381826738338,1980.67170743094
5.25224190649992,5.01168011294989,1936.98359046828
6.05738618855781,4.86094041907465,1929.319691713
8.04539097431016,7.15576247763503,1858.86933345696
6.43022672252214,6.36732558162313,1869.60716596641
7.56886311764729,7.257078222375,1857.45161784607
5.9453744672001,6.22192485693061,1885.88819963131
4.6456445052982,5.20509963986917,1919.96493884747
5.61894369290626,5.39216902229908,1896.83148480443
0.214236893225461,0,1984.99766154648
9.1984987534107,9.60896145816638,1818.1751175366
3.85744066369481,4.12626145862389,1926.94316137074
3.33757732529193,4.23148481320159,1928.81987050988
0.853022819165134,0.733307648983439,1983.01474062196
0.334526400547475,0.570077763953113,1983.64791260841
10.4860763152348,10,1726.18735869032
7.68029013977778,7.32858438590207,1875.16283160689
19.3037503481585,10,1577.83029593718
17.7525715053755,10,1728.59247766654
1.72813385725021,1.01787969449503,1980.88036415789
9.94645980144751,9.89318322691193,1831.48002320861
1.28824994433671,1.6516750910061,1975.7975422078
7.17722726195999,6.71897420077257,1886.35249144523
1.24627007990385,0.728434426275566,1982.06826274253
8.89849620749979,8.61534014356374,1791.76251309515
3.79118390989486,3.7382021150345,1936.27255127882
9.5335119120301,8.98805608207488,1825.83239029963
1.83524871710688,1.53901354803367,1978.21482758725
10.1517690620841,9.79450086601608,1811.87165372212
5.09305657070778,4.93076103230045,1919.71519611373
12.9601388511466,10,1689.51137552031
1.11967261966124,1.8946663136571,1971.31266355631
5.59068053939796,5.71196286267845,1887.23058021207
3.61550767040085,3.83973184899418,1940.17138071402
7.29286913127925,6.78177946643661,1871.47538771846
10.6055535006329,10,1778.08367045559
1.51036902932296,1.66293083481721,1973.39083347729
5.53530303274697,4.90009437620278,1897.36272832467
4.00532078908241,4.20732778018195,1930.23732133824
9.07779909650818,9.68243234192137,1777.63185569821
6.79806192850179,6.99191148497625,1829.53282135741
0.824898687506266,0,1984.99766154648
28.9486318555274,10,1483.61840952578
11.3713836197959,10,1721.00560208903
2.83990052994341,2.5625152794436,1967.58799938898
5.57201648110008,4.84368600134798,1935.74637437543
15.5918196952882,10,1666.52597089466
2.7948355791159,2.45373013317514,1961.85181582918
5.43620104007359,4.39415748088232,1913.66525777966
0.213313795042302,0.461698146353447,1983.9297204994
16.0549520692768,10,1537.89818752642
4.96340509017414,4.10195689220255,1937.29264419048
1.48530314443633,1.42598143732177,1974.27224123395
1.35689090704545,1.91293309769223,1967.10002714624
0.914142444184318,0.754520685310896,1982.10322871187
11.4920181867884,10,1579.90603211379
4.09639370903503,4.5667923958654,1893.64670657429
0.986488830406241,1.02215662074081,1979.42419831014
14.6035186565461,10,1749.8691698701
5.28342221842563,5.21089699826077,1909.86093150712
1.98097589658573,3.17936846792284,1947.45705715733
3.93849944209164,4.9751976912254,1915.98591145732
6.47950177810263,6.82685847587322,1728.35320621824
2.263242774643,2.30804223022513,1957.95988014624
3.97463216425336,5.48461377804443,1919.44024464633
0.503621276002377,0.505649040597477,1983.6108544072
7.66660455458219,7.21128627907007,1860.88925382543
4.5766600338664,4.60829031988205,1934.49219140227
3.05823039030656,1.71215554521156,1973.86653279986
3.16472795791924,3.07931757340801,1963.73232937317
3.22343945270404,3.13360483432794,1964.31147996721
4.48872981400812,5.01055347977731,1910.85192935424
2.24188622245837,1.79587625726588,1976.24671059301
0.676742757538292,1.47287749003064,1975.74315285103
0.232057016777681,0.0195219435236526,1984.99606483233
7.68207386094046,7.3700669172487,1802.5992700146
1.8519443529658,2.90243267118522,1964.03487781119
1.02086000464953,0.085985717088403,1984.97708322901
1.83890702668577,0.950213589542286,1980.5605538919
2.36179711064324,1.3333716682314,1976.83246160317
6.09116566812104,6.95082138041839,1865.83998898625
5.7542814684794,5.76130373828078,1920.10448461903
0.580592444166541,0.993356001356915,1980.5020047732
