"","PartNum","RescorlaWagner_absPE","RescorlaWagner_absPEchoiceLR","RescorlaWagner_decay","RescorlaWagner_feedbALL","RescorlaWagner_feedbALLdualLR","RescorlaWagner_feedbAndObs","RescorlaWagner_feedbCK","RescorlaWagner_obs","RescorlaWagner_obsALL","RescorlaWagner_obsALL1n","RescorlaWagner_obsALL1nstick","RescorlaWagner_obsALLabs","RescorlaWagner_obsALLstick","BestModel"
"1",1,750.588020011772,686.147523131589,742.772358514011,682.873714918667,903.206742640825,1008.32265785498,814.684028991091,743.262146212455,728.106298288116,751.724781950455,753.739928903221,NA,730.465509174735,"RescorlaWagner_feedbALL"
"2",2,524.726756235571,478.434952990709,494.969820306716,474.052792163008,843.465040479444,948.045399670074,595.386265028115,542.966358574587,480.303781162751,511.920840665567,515.326248905748,NA,484.664273230739,"RescorlaWagner_feedbALL"
"3",3,946.085419210391,933.488952772614,954.33297487521,928.387592498104,1066.04888577053,1123.21678169917,1121.28110969898,944.481081747281,952.978616275698,957.099623646244,956.695095078286,NA,951.932811638143,"RescorlaWagner_feedbALL"
"4",4,1496.21084522241,573.515280027275,619.027505156359,571.252650403765,888.372889326549,987.460814028593,705.571356243331,633.807846006987,604.35999377079,678.423762651759,685.756785666145,NA,611.693103319051,"RescorlaWagner_feedbALL"
"5",5,1393.22951343886,696.869838773029,742.479540548642,683.119779844236,895.851021589954,991.757123888522,860.293388373789,719.33507694797,727.813501583346,767.370544850246,774.703567864632,NA,735.14652426339,"RescorlaWagner_feedbALL"
"6",6,542.673768556161,415.921077787433,452.189563187083,416.646507576523,805.270866570931,919.99669457722,536.533569423733,545.451203371596,456.861523945112,455.02085021953,454.78466959734,NA,456.723780716136,"RescorlaWagner_feedbALL"
"7",7,720.467878035808,628.433307713389,712.173668510607,627.718675602473,879.501521743576,989.38058788722,737.560944720516,714.341980900053,697.506821608706,672.286038761401,679.619061775788,NA,704.83984432702,"RescorlaWagner_feedbALL"
"8",8,897.848065212306,863.948791998575,928.02295167718,856.232847752897,1012.22315832184,1087.82174996009,1047.41110145394,893.988969833363,932.584140840119,916.362260943871,923.695283958257,NA,939.917163907452,"RescorlaWagner_feedbALL"
"9",9,796.594962982275,706.850567641618,773.954405011422,709.561757480609,902.266254768347,1008.01510218077,859.406412478074,790.870349356046,759.290422373333,757.262937885506,763.691696137464,NA,765.879715776336,"RescorlaWagner_feedbALL"
"10",10,1444.59169155795,538.522281925283,620.005505443075,540.004987410855,881.058192967016,960.05534420114,659.791023572998,626.405481044472,605.339552891201,702.781764575346,704.934599622821,NA,606.057376033465,"RescorlaWagner_feedbALL"
"11",11,512.610581747689,412.645746696763,478.887710394592,406.152536772983,809.459020136287,928.76183214967,500.751660417462,541.683624813654,468.599269051713,540.566823388423,547.89941182011,NA,475.922004448218,"RescorlaWagner_feedbALL"
"12",12,1475.617459103,603.210651741024,638.994855509674,597.453497283437,880.654538646953,984.395352323605,744.128697141439,646.961024412442,626.219953963237,680.160341010459,687.493364024845,NA,633.552982785432,"RescorlaWagner_feedbALL"
