"","SimAlphaPos","fitAlphaPos","SimAlphaNeg","fitAlphaNeg","simBeta","fitBeta","BIC"
"result.1",0.0404040404040404,0.015043699941991,0.303030303030303,0.255188599926042,4.92276982383287,4.21059828517415,1629.05637012758
"result.2",0.181818181818182,0,0.525252525252525,0.789602640594623,2.54432780435309,3.91328148001029,1667.0453152646
"result.3",0.797979797979798,0.56659978977996,0.707070707070707,0.914445700897885,0.366501240434542,0,1686.03985917552
"result.4",0.676767676767677,1,0.888888888888889,0.652766599405822,0.35755030112341,0,1686.03985917552
"result.5",0.626262626262626,1,0.96969696969697,1,5.11267957722253,3.34795142549766,1676.27443467889
"result.6",0.313131313131313,0.180551048967946,0.898989898989899,0.710523659352703,4.62369946276254,4.47536152803132,1675.03604101022
"result.7",0.424242424242424,0.222106791431794,0.97979797979798,0.92156117714913,4.36966125366694,5.41210448959283,1679.64269714461
"result.8",0.585858585858586,1,0.333333333333333,0.369724676041787,4.52039138992975,4.72914300698724,1658.05557201889
"result.9",0.939393939393939,0.882676853322192,0.454545454545455,0.579426362066128,2.04625955317169,2.71607518341966,1671.72074741385
"result.10",0.343434343434343,0.586382315626195,0.282828282828283,0.271845737660778,11.3403883663224,10,1495.78924308303
"result.11",0.97979797979798,0,0.848484848484849,0.8700184579129,1.1305674770847,2.06385741379011,1682.88141580824
"result.12",0.222222222222222,0,0.868686868686869,0.936946505222809,8.3573008231343,7.37825270156629,1644.82937234336
"result.13",0.555555555555556,0.499838394604105,0.797979797979798,1,0.13969193212688,1.0703967391487,1684.05405002438
"result.14",0.171717171717172,0.338116162785096,0.616161616161616,0.773653914430775,10.3450645595313,10,1666.15961044571
"result.15",0.777777777777778,0.0124823406872959,0.737373737373737,0.647215672950572,2.40020959172398,1.59689702642902,1683.5584790613
"result.16",0.818181818181818,0,0.828282828282828,0.930564323697255,1.39106633607298,2.93088547376386,1675.40522614953
"result.17",0.909090909090909,0.943887434852312,0.222222222222222,0.261871354235095,1.33454544046377,4.26652884439789,1678.37345785633
"result.18",0.383838383838384,0.509660232653407,0.0707070707070707,0.0358133520882852,4.02608321487078,3.62583056737825,1597.52254110426
"result.19",0.727272727272727,0.601283360087933,0.202020202020202,0.191818282695017,9.60202343719912,10,1543.1162177565
"result.20",0.474747474747475,0.381322233928383,0.515151515151515,0.069406551161239,2.26534997113049,1.52381942523802,1674.01454080551
"result.21",0.858585858585859,1,0.191919191919192,0.917020235283995,0.0100858104689098,3.9920941980672,1680.76517213213
"result.22",0.272727272727273,0,0.94949494949495,1,0.920931178556178,2.0996442601423,1679.51306916058
"result.23",0.808080808080808,1,0.636363636363636,0.522378297378684,10.4916979650853,8.80822498773438,1643.68536709281
"result.24",0.202020202020202,1,0.212121212121212,0.0858032645691927,0.567732635259518,0.626787966187812,1684.50785646954
"result.25",0.515151515151515,0.572274895185656,0.939393939393939,0.794193269207953,5.6097376672101,5.64878506233058,1655.40142505634
"result.26",0.929292929292929,0,0.666666666666667,0.875717994425733,2.17653464525938,3.25391517705499,1673.16514334351
"result.27",0.191919191919192,1,0.232323232323232,1,0.733050543349236,0.645546794005023,1684.75434113874
"result.28",0.686868686868687,0.125610436689941,0.414141414141414,0.658808093842,3.26042566914111,3.02325321390128,1650.17225629462
"result.29",0.393939393939394,0.248916268002134,0.242424242424242,0.269302489340866,10.0359291772696,9.88632096653102,1557.64614398522
"result.30",0.696969696969697,0.936711322057198,0.686868686868687,0.898822134134884,3.600206878591,10,1671.31682757155
"result.31",0.636363636363636,0.82522353420627,1,0.61425021577893,0.665742317214608,1.33535378368589,1681.35346975287
"result.32",0.94949494949495,1,0.585858585858586,0.677049137861355,8.53213938842428,10,1623.83847676658
"result.33",0.0606060606060606,0.105080090983411,0.101010101010101,0.0372926171452305,2.41522065363824,2.65264617726315,1621.68761996411
"result.34",0.131313131313131,0.0652864950417057,0.313131313131313,0.481715609066537,3.12454978236929,4.39419062263849,1665.20471755985
"result.35",0.262626262626263,0.718713699701307,0.595959595959596,0.243042902417228,2.06939731826042,1.52590821022909,1677.11782820892
"result.36",0.575757575757576,0.647788207795502,0.858585858585859,0.833893395873082,9.67303051571262,7.28312523295523,1651.44820846094
"result.37",0.242424242424242,0,0.353535353535354,0.0232780097449314,1.82345932879373,0.929332444821803,1675.62614564803
"result.38",0.121212121212121,0.48985418942128,0.717171717171717,0.39095978042011,3.23575170245022,5.67370654693788,1673.70543869665
"result.39",0.656565656565657,0.61905303760579,0,0.0362673084590357,2.93039325159043,3.28997740912479,1584.9499415505
"result.40",0.95959595959596,0.796789236866778,0.161616161616162,0.552992474119828,0.624652122726046,1.84715963037743,1682.72439652532
"result.41",0.767676767676768,1,0.444444444444444,0.589600013101254,4.24952560549086,4.74047416993009,1669.17382915808
"result.42",0.838383838383838,1,0.0606060606060606,0.0424929293726066,12.5083987129139,10,1033.45292422651
"result.43",0.484848484848485,0.50911727043468,0.272727272727273,0.189126197196363,14.0449868578754,10,1518.73141792724
"result.44",0.323232323232323,0,0.505050505050505,0.587042540834944,4.42959773798889,3.65072143186657,1671.51308914223
"result.45",0.494949494949495,0.500290787462605,0.0101010101010101,0.00861786642720119,5.20528794245279,4.78102686445671,1447.94751449891
"result.46",1,1,0.404040404040404,0.286526754228162,4.29778291103178,4.04286840273515,1666.07770904303
"result.47",0.0707070707070707,1,0.929292929292929,1,5.75036777162409,6.43773436164649,1658.47343452018
"result.48",0.0202020202020202,0.598404983833713,0.363636363636364,0.956858176533513,0.228139207725826,1.34142064234143,1684.01954348178
"result.49",0.98989898989899,0.894073753773157,0.0202020202020202,0.00630360610342288,18.1488073141056,10,538.061504021679
"result.50",0.373737373737374,0.340940718484327,0.484848484848485,0.755642744886676,3.49542209857559,6.29117488393943,1639.16496541007
"result.51",0.666666666666667,0.981615243824752,0.393939393939394,0.324256405326748,6.05730587129897,4.88185957298949,1635.09763656751
"result.52",0.0303030303030303,0,0.252525252525253,0.221252580606621,7.82341707920396,6.92074493805431,1638.01264757424
"result.53",0.141414141414141,0.150864550538189,0.747474747474748,0.740662767614227,4.2826585609228,3.84060381826866,1659.22687177503
"result.54",0.333333333333333,0.611655643137855,0.909090909090909,0.678865755581758,1.91209020093083,2.24590051255254,1677.29150501474
"result.55",0.545454545454546,0.273130497319819,0.727272727272727,0.875361702712933,4.33422740191699,9.81647323924408,1673.67015525705
"result.56",0.707070707070707,0.394866484257908,0.474747474747475,0.0774437696331414,2.36239833990112,2.48276381412227,1672.59885464463
"result.57",0.161616161616162,0.127651903504132,0.575757575757576,0.506132001867658,12.8790692326831,10,1612.83354676024
"result.58",0.303030303030303,0.311778222640237,0.696969696969697,0.248496786538359,0.711691845208406,0.874071734046088,1684.45671481193
"result.59",0.434343434343434,0.453817704562494,0.838383838383838,0.621873255395522,12.9773836088196,10,1653.81801340358
"result.60",0.212121212121212,0.100633994425173,0.424242424242424,0.251017402250418,6.23716619776046,4.0327335455641,1665.57927638867
"result.61",0.444444444444444,0,0.767676767676768,0.88396375808906,2.31087625259534,3.14585839454432,1683.1247946956
"result.62",0.96969696969697,1,0.121212121212121,1,1.16935122990981,3.58351440716106,1666.22769881654
"result.63",0.616161616161616,1,0.131313131313131,0.262598103734314,0.422740095760993,0.525852030313338,1685.42118273541
"result.64",0.363636363636364,0,0.676767676767677,0.876254329844009,6.49515884907401,10,1645.24589027687
"result.65",0.111111111111111,0,0.656565656565657,0.712855065200964,5.08758249671614,4.94563921722701,1664.28503802243
"result.66",0.404040404040404,0.66892550746714,0.181818181818182,0.115551264583508,2.63609267072752,3.42010860403661,1615.19462064021
"result.67",0.414141414141414,0.179446032911746,0.777777777777778,1,2.10418368689716,5.23885478380928,1677.7746701326
"result.68",0.0101010101010101,0,0.323232323232323,0.392745714184794,2.88487577112392,4.26920772092173,1670.70576067523
"result.69",0.737373737373737,0.876359319790138,0.0404040404040404,0.135201984764791,1.82449062820524,2.78312497505474,1662.62563578964
"result.70",0.464646464646465,0.363801199034544,0.757575757575758,0.634364779652323,14.711625415021,10,1633.03229474898
"result.71",0.717171717171717,0.563720377142068,0.141414141414141,0.164828081357348,8.15539101098833,9.38386981256024,1483.75965527803
"result.72",0.828282828282828,1,0.0909090909090909,0.386873347361864,0.535596461319335,1.40810216638276,1681.2922514976
"result.73",0.919191919191919,1,0.111111111111111,0.136021965591906,1.99563801288605,2.44701879455351,1672.19933953389
"result.74",0.232323232323232,0.154611705447693,0.606060606060606,0.467443423505119,4.68321761561042,5.74521909746434,1664.92601798533
"result.75",0.757575757575758,1,0.808080808080808,0.707950123536723,10.2744852552458,10,1660.44672518005
"result.76",0.151515151515152,0,0.95959595959596,1,3.01652704771797,2.7090920433797,1671.553916145
"result.77",0.606060606060606,0.61540990645623,0.646464646464647,0.754687936412872,3.2214533444494,5.68031641618775,1671.38275543774
"result.78",0.787878787878788,0.951523020809094,0.0505050505050505,0.0893931193359361,2.02059660572559,1.87764278435665,1674.63599788404
"result.79",0.595959595959596,0.785472688483528,0.787878787878788,1,2.92065964080393,3.05635607149824,1676.13079450105
"result.80",0.747474747474748,0,0.818181818181818,1,0.364901744760573,0,1686.03985917552
"result.81",0.0505050505050505,1,0.878787878787879,0.830898327145868,20.0914278150278,6.72607921944084,1653.89022737935
"result.82",0.101010101010101,0.355357536923705,0.98989898989899,1,2.80206688912585,3.06318435312751,1674.75832446859
"result.83",0.282828282828283,0.387614991777878,0.343434343434343,0.740040796770801,2.12581926956773,1.68489450046505,1675.47106720617
"result.84",0.0909090909090909,0.0598385929690979,0.383838383838384,0.187524584888065,0.871827227529138,0.337691556410245,1685.41757134664
"result.85",0.292929292929293,0.359545284299527,0.373737373737374,0.34532725543104,5.28182274640954,6.6279614464131,1649.82430787906
"result.86",0.898989898989899,0.323270439287764,0.464646464646465,0.472191643868852,1.96691465564072,3.74062482078178,1668.93423328477
"result.87",0.353535353535354,1,0.151515151515152,0.0616035322095885,1.4822034376253,0,1686.03985917552
"result.88",0.888888888888889,0.864663032463674,0.545454545454546,0.495906073276044,12.666462568297,10,1663.30858351343
"result.89",0.505050505050505,0.750787166828727,0.555555555555556,0.318272247205755,1.36789371259511,2.94041713729411,1665.70302805941
"result.90",0.878787878787879,0.902335177750865,0.494949494949495,0.336724107359251,9.35032046358001,6.33857501687402,1627.11498716225
"result.91",0.525252525252525,1,0.535353535353535,0.434440602110186,3.60938647275275,4.36890799406117,1618.16892436842
"result.92",0.454545454545455,0.38429078680747,0.0303030303030303,0.0812053170478516,1.84860861627385,2.37136841634808,1667.2971831987
"result.93",0,1,0.262626262626263,0,0.0740513903740726,0,1686.03985917552
"result.94",0.848484848484849,0.402127788685085,0.0808080808080808,0.0869804912051193,0.881146024912596,1.20710552957889,1683.57534185969
"result.95",0.868686868686869,0.680392973167572,0.626262626262626,0.443098987399839,1.85782791348174,0.850476947370171,1684.80294475116
"result.96",0.252525252525253,0.31464161893603,0.434343434343434,0.801644243402537,2.77843795949593,5.12925397936761,1672.86221837888
"result.97",0.535353535353535,0.725020640605328,0.292929292929293,0.228763942363711,7.4353987459691,6.32966826716399,1628.21662105697
"result.98",0.0808080808080808,0,0.171717171717172,0.259958331271786,4.0261740493131,4.73968609783098,1656.72981180723
"result.99",0.565656565656566,0,0.919191919191919,0.807171783410465,3.18685816135257,3.56536457559301,1664.16915088031
"result.100",0.646464646464647,1,0.565656565656566,1,1.09257461589309,0,1686.03985917552
