"","participant","scn_file","scn_cat","obj_cat_top","min_resp_top","max_resp_top","slider.response","slider.rt","iteration_index","corr_rat","group"
"242",36,"stim/11.jpeg",1,"Music items",45,55,17,10.61899996,1,50,1
"244",36,"stim/21.jpeg",2,"Household items",45,55,20,5.09800005,1,50,1
"243",36,"stim/31.jpeg",3,"Music items",65,75,60,7.77699995,1,70,1
"241",36,"stim/41.jpeg",4,"Music items",65,75,61,4.157999992,1,70,1
"245",36,"stim/51.jpeg",5,"Household items",5,15,80,2.891000032,1,10,1
"246",36,"stim/61.jpeg",6,"Music items",5,15,60,5.947000027,1,10,1
"578",36,"stim/11.jpeg",1,"Music items",45,55,8,7.644999981,2,50,1
"579",36,"stim/21.jpeg",2,"Household items",45,55,25,6.826000214,2,50,1
"580",36,"stim/31.jpeg",3,"Music items",65,75,54,3.997999907,2,70,1
"583",36,"stim/41.jpeg",4,"Music items",65,75,63,3.342999935,2,70,1
"582",36,"stim/51.jpeg",5,"Household items",5,15,85,3.610000134,2,10,1
"581",36,"stim/61.jpeg",6,"Music items",5,15,55,3.174000025,2,10,1
