"","participant","scn_file","scn_cat","obj_cat_top","min_resp_top","max_resp_top","slider.response","slider.rt","iteration_index","corr_rat","group"
"244",14,"stim/11.jpeg",1,"Household items",45,55,90,2.501999855,1,50,1
"242",14,"stim/21.jpeg",2,"Music items",45,55,4,5.414000034,1,50,1
"241",14,"stim/31.jpeg",3,"Household items",65,75,40,7.713999987,1,70,1
"245",14,"stim/41.jpeg",4,"Household items",65,75,10,6.20299983,1,70,1
"243",14,"stim/51.jpeg",5,"Music items",5,15,80,4.296999931,1,10,1
"246",14,"stim/61.jpeg",6,"Household items",5,15,60,7.260999918,1,10,1
"578",14,"stim/11.jpeg",1,"Household items",45,55,16,5.326999903,2,50,1
"581",14,"stim/21.jpeg",2,"Music items",45,55,4,7.390999794,2,50,1
"583",14,"stim/31.jpeg",3,"Household items",65,75,20,6.178000212,2,70,1
"579",14,"stim/41.jpeg",4,"Household items",65,75,30,3.297999859,2,70,1
"582",14,"stim/51.jpeg",5,"Music items",5,15,89,4.166000128,2,10,1
"580",14,"stim/61.jpeg",6,"Household items",5,15,43,3.631999969,2,10,1
