"","participant","trial_index","trial_cond","scn_file","scn_cat","scn_inst","scn_condition","fillers","obj_cat","obj_cat_num","obj_file","quadrant","corr_ans","key_resp_trial.keys","key_resp_trial.rt","trial_acc","trial_acc_manual","group"
"1",14,1,0.9,"stim/22.jpeg",2,2,3,NA,"HouseObjects",1,"stim/objects/HouseObjects/towel2.png",4,"left","right",0.739000082,0,0,1
"2",14,2,0.5,"stim/42.jpeg",4,2,1,NA,"Instruments",2,"stim/objects/Instruments/triangle.png",1,"right","right",0.667999983,1,1,1
"3",14,3,0.7,"stim/54.jpeg",5,4,2,NA,"Instruments",2,"stim/objects/Instruments/xylophone.png",1,"right","right",0.778000116,1,1,1
"4",14,4,0.5,"stim/41.jpeg",4,1,1,NA,"HouseObjects",1,"stim/objects/HouseObjects/sponge.png",4,"left","",NA,0,0,1
"5",14,5,0.1,"stim/23.jpeg",2,3,3,NA,"Instruments",2,"stim/objects/Instruments/vuvuzela2.png",2,"right","left",0.540999889,0,0,1
"6",14,6,0.9,"stim/23.jpeg",2,3,3,NA,"HouseObjects",1,"stim/objects/HouseObjects/vacuumcleaner2.png",4,"left","left",0.356999874,1,1,1
"7",14,7,0.9,"stim/11.jpeg",1,1,3,NA,"Instruments",2,"stim/objects/Instruments/timbal2.png",1,"right","right",0.764000177,1,1,1
"8",14,8,0.5,"stim/32.jpeg",3,2,1,NA,"Instruments",2,"stim/objects/Instruments/saxophone.png",1,"right","right",0.625999928,1,1,1
"9",14,9,0.9,"stim/22.jpeg",2,2,3,NA,"HouseObjects",1,"stim/objects/HouseObjects/towel2.png",2,"left","left",0.546000004,1,1,1
"10",14,10,0.5,"stim/43.jpeg",4,3,1,NA,"HouseObjects",1,"stim/objects/HouseObjects/teapot.png",4,"left","right",0.812000036,0,0,1
"11",14,11,0.9,"stim/22.jpeg",2,2,3,NA,"HouseObjects",1,"stim/objects/HouseObjects/towel2.png",4,"left","left",0.551000118,1,1,1
"12",14,12,0.1,"stim/24.jpeg",2,4,3,NA,"Instruments",2,"stim/objects/Instruments/xylophone2.png",3,"right","left",0.52699995,0,0,1
"13",14,13,0.5,"stim/32.jpeg",3,2,1,NA,"Instruments",2,"stim/objects/Instruments/saxophone.png",3,"right","right",0.646999836,1,1,1
"14",14,14,0.7,"stim/52.jpeg",5,2,2,NA,"Instruments",2,"stim/objects/Instruments/violin.png",2,"right","right",0.646000147,1,1,1
"15",14,15,0.1,"stim/12.jpeg",1,2,3,NA,"HouseObjects",1,"stim/objects/HouseObjects/spraybottle2.png",3,"left","right",0.887000084,0,0,1
"16",14,16,0.9,"stim/13.jpeg",1,3,3,NA,"Instruments",2,"stim/objects/Instruments/trombone2.png",2,"right","right",0.637000084,1,1,1
"17",14,17,0.9,"stim/14.jpeg",1,4,3,NA,"Instruments",2,"stim/objects/Instruments/trumpet2.png",3,"right","right",0.700999975,1,1,1
"18",14,18,0.5,"stim/34.jpeg",3,4,1,NA,"HouseObjects",1,"stim/objects/HouseObjects/scale.png",4,"left","right",0.618999958,0,0,1
"19",14,19,0.7,"stim/64.jpeg",6,4,2,NA,"HouseObjects",1,"stim/objects/HouseObjects/scale2.png",4,"left","left",0.93900013,1,1,1
"20",14,20,0.5,"stim/42.jpeg",4,2,1,NA,"Instruments",2,"stim/objects/Instruments/triangle.png",2,"right","right",0.661000013,1,1,1
"21",14,21,0.7,"stim/54.jpeg",5,4,2,NA,"Instruments",2,"stim/objects/Instruments/xylophone.png",1,"right","right",0.710000038,1,1,1
"22",14,22,0.5,"stim/42.jpeg",4,2,1,NA,"HouseObjects",1,"stim/objects/HouseObjects/spraybottle.png",2,"left","right",0.743999958,0,0,1
"23",14,23,0.9,"stim/22.jpeg",2,2,3,NA,"HouseObjects",1,"stim/objects/HouseObjects/towel2.png",2,"left","left",0.562000036,1,1,1
"24",14,24,0.9,"stim/12.jpeg",1,2,3,NA,"Instruments",2,"stim/objects/Instruments/triangle2.png",2,"right","right",0.671999931,1,1,1
"25",14,25,0.5,"stim/31.jpeg",3,1,1,NA,"Instruments",2,"stim/objects/Instruments/record_player.png",1,"right","right",0.555000067,1,1,1
"26",14,26,0.5,"stim/44.jpeg",4,4,1,NA,"HouseObjects",1,"stim/objects/HouseObjects/thermometer.png",2,"left","right",0.545000076,0,0,1
"27",14,27,0.7,"stim/52.jpeg",5,2,2,NA,"Instruments",2,"stim/objects/Instruments/violin.png",2,"right","left",0.917000055,0,0,1
"28",14,28,0.9,"stim/23.jpeg",2,3,3,NA,"HouseObjects",1,"stim/objects/HouseObjects/vacuumcleaner2.png",3,"left","left",0.650000095,1,1,1
"29",14,29,0.5,"stim/32.jpeg",3,2,1,NA,"HouseObjects",1,"stim/objects/HouseObjects/safetypin.png",1,"left","right",0.549000025,0,0,1
"30",14,30,0.5,"stim/33.jpeg",3,3,1,NA,"Instruments",2,"stim/objects/Instruments/speaker.png",3,"right","right",0.710000038,1,1,1
"31",14,31,0.9,"stim/11.jpeg",1,1,3,NA,"Instruments",2,"stim/objects/Instruments/timbal2.png",1,"right","",NA,0,0,1
"32",14,32,0.9,"stim/11.jpeg",1,1,3,NA,"Instruments",2,"stim/objects/Instruments/timbal2.png",4,"right","right",0.618000031,1,1,1
"33",14,33,0.9,"stim/12.jpeg",1,2,3,NA,"Instruments",2,"stim/objects/Instruments/triangle2.png",3,"right","right",0.534999847,1,1,1
"34",14,34,0.1,"stim/11.jpeg",1,1,3,NA,"HouseObjects",1,"stim/objects/HouseObjects/sponge2.png",2,"left","right",0.549999952,0,0,1
"35",14,35,0.9,"stim/13.jpeg",1,3,3,NA,"Instruments",2,"stim/objects/Instruments/trombone2.png",2,"right","right",0.60800004,1,1,1
"36",14,36,0.9,"stim/13.jpeg",1,3,3,NA,"Instruments",2,"stim/objects/Instruments/trombone2.png",3,"right","right",0.677000046,1,1,1
"37",14,37,0.5,"stim/34.jpeg",3,4,1,NA,"Instruments",2,"stim/objects/Instruments/tambourine.png",2,"right","right",0.460999966,1,1,1
"38",14,38,0.5,"stim/41.jpeg",4,1,1,NA,"Instruments",2,"stim/objects/Instruments/timbal.png",2,"right","right",0.558000088,1,1,1
"39",14,39,0.9,"stim/14.jpeg",1,4,3,NA,"Instruments",2,"stim/objects/Instruments/trumpet2.png",2,"right","right",0.546999931,1,1,1
"40",14,40,0.9,"stim/14.jpeg",1,4,3,NA,"Instruments",2,"stim/objects/Instruments/trumpet2.png",3,"right","right",0.497999907,1,1,1
"41",14,41,0.5,"stim/31.jpeg",3,1,1,NA,"HouseObjects",1,"stim/objects/HouseObjects/rug.png",1,"left","left",0.924999952,1,1,1
"42",14,42,0.9,"stim/11.jpeg",1,1,3,NA,"Instruments",2,"stim/objects/Instruments/timbal2.png",1,"right","right",0.555999994,1,1,1
"43",14,43,0.5,"stim/44.jpeg",4,4,1,NA,"Instruments",2,"stim/objects/Instruments/trumpet.png",4,"right","right",0.693000078,1,1,1
"44",14,44,0.3,"stim/64.jpeg",6,4,2,NA,"Instruments",2,"stim/objects/Instruments/tambourine2.png",1,"right","",NA,0,0,1
"45",14,45,0.7,"stim/51.jpeg",5,1,2,NA,"Instruments",2,"stim/objects/Instruments/tuba.png",2,"right","right",0.375999928,1,1,1
"46",14,46,0.5,"stim/43.jpeg",4,3,1,NA,"HouseObjects",1,"stim/objects/HouseObjects/teapot.png",2,"left","right",0.545000076,0,0,1
"47",14,47,0.9,"stim/21.jpeg",2,1,3,NA,"HouseObjects",1,"stim/objects/HouseObjects/thread2.png",1,"left","left",0.670000076,1,1,1
"48",14,48,0.9,"stim/13.jpeg",1,3,3,NA,"Instruments",2,"stim/objects/Instruments/trombone2.png",2,"right","right",0.553999901,1,1,1
"49",14,49,0.7,"stim/64.jpeg",6,4,2,NA,"HouseObjects",1,"stim/objects/HouseObjects/scale2.png",2,"left","left",0.753000021,1,1,1
"50",14,50,0.9,"stim/24.jpeg",2,4,3,NA,"HouseObjects",1,"stim/objects/HouseObjects/wateringcan2.png",2,"left","left",0.534999847,1,1,1
"51",14,51,0.7,"stim/52.jpeg",5,2,2,NA,"Instruments",2,"stim/objects/Instruments/violin.png",3,"right","right",0.539999962,1,1,1
"52",14,52,0.3,"stim/62.jpeg",6,2,2,NA,"Instruments",2,"stim/objects/Instruments/saxophone2.png",3,"right","left",0.542999983,0,0,1
"53",14,53,0.5,"stim/43.jpeg",4,3,1,NA,"Instruments",2,"stim/objects/Instruments/trombone.png",4,"right","left",0.771999836,0,0,1
"54",14,54,0.5,"stim/34.jpeg",3,4,1,NA,"Instruments",2,"stim/objects/Instruments/tambourine.png",1,"right","right",0.514999866,1,1,1
"55",14,55,0.9,"stim/14.jpeg",1,4,3,NA,"Instruments",2,"stim/objects/Instruments/trumpet2.png",3,"right","left",0.545000076,0,0,1
"56",14,56,0.5,"stim/33.jpeg",3,3,1,NA,"Instruments",2,"stim/objects/Instruments/speaker.png",1,"right","right",0.489000082,1,1,1
"57",14,57,0.5,"stim/43.jpeg",4,3,1,NA,"HouseObjects",1,"stim/objects/HouseObjects/teapot.png",4,"left","left",0.832000017,1,1,1
"58",14,58,0.5,"stim/31.jpeg",3,1,1,NA,"HouseObjects",1,"stim/objects/HouseObjects/rug.png",3,"left","right",0.569999933,0,0,1
