"","participant","scn_file","scn_cat","obj_cat_top","min_resp_top","max_resp_top","slider.response","slider.rt","iteration_index","corr_rat","group"
"242",30,"stim/11.jpeg",1,"Household items",45,55,70,3.437000036,1,50,1
"245",30,"stim/21.jpeg",2,"Music items",45,55,19,4.914000034,1,50,1
"244",30,"stim/31.jpeg",3,"Household items",65,75,10,4.073999882,1,70,1
"243",30,"stim/41.jpeg",4,"Household items",65,75,69,4.421999931,1,70,1
"246",30,"stim/51.jpeg",5,"Music items",5,15,90,3.504000187,1,10,1
"241",30,"stim/61.jpeg",6,"Household items",5,15,80,6.154999971,1,10,1
"583",30,"stim/11.jpeg",1,"Household items",45,55,61,3.763999939,2,50,1
"582",30,"stim/21.jpeg",2,"Music items",45,55,49,4.407999992,2,50,1
"581",30,"stim/31.jpeg",3,"Household items",65,75,29,4.898000002,2,70,1
"579",30,"stim/41.jpeg",4,"Household items",65,75,70,4.648000002,2,70,1
"578",30,"stim/51.jpeg",5,"Music items",5,15,80,6.042000055,2,10,1
"580",30,"stim/61.jpeg",6,"Household items",5,15,59,2.736000061,2,10,1
