"","participant","trial_index","trial_cond","scn_file","scn_cat","scn_inst","scn_condition","fillers","obj_cat","obj_cat_num","obj_file","quadrant","corr_ans","key_resp_trial.keys","key_resp_trial.rt","trial_acc","trial_acc_manual","group"
"1",71,1,0.9,"stim/23.jpeg",2,3,3,NA,"Instruments",1,"stim/objects/Instruments/harp2.png",3,"left","",NA,0,0,0
"2",71,2,0.7,"stim/62.jpeg",6,2,2,NA,"Instruments",1,"stim/objects/Instruments/electricdrumset2.png",3,"left","left",0.549999952,1,1,0
"3",71,3,0.9,"stim/14.jpeg",1,4,3,NA,"HouseObjects",2,"stim/objects/HouseObjects/glass2.png",3,"right","right",0.669999838,1,1,0
"4",71,4,0.7,"stim/64.jpeg",6,4,2,NA,"Instruments",1,"stim/objects/Instruments/flute2.png",4,"left","left",0.485999823,1,1,0
"5",71,5,0.5,"stim/43.jpeg",4,3,1,NA,"Instruments",1,"stim/objects/Instruments/gong.png",1,"left","right",0.61500001,0,0,0
"6",71,6,0.7,"stim/51.jpeg",5,1,2,NA,"HouseObjects",2,"stim/objects/HouseObjects/glassmop.png",3,"right","left",0.595999956,0,0,0
"7",71,7,0.9,"stim/14.jpeg",1,4,3,NA,"HouseObjects",2,"stim/objects/HouseObjects/glass2.png",4,"right","right",0.821999788,1,1,0
"8",71,8,0.7,"stim/63.jpeg",6,3,2,NA,"Instruments",1,"stim/objects/Instruments/electricguitar2.png",3,"left","left",0.644999981,1,1,0
"9",71,9,0.9,"stim/13.jpeg",1,3,3,NA,"HouseObjects",2,"stim/objects/HouseObjects/garbagebin2.png",1,"right","right",0.592000008,1,1,0
"10",71,10,0.5,"stim/31.jpeg",3,1,1,NA,"Instruments",1,"stim/objects/Instruments/drums.png",2,"left","left",0.578999996,1,1,0
"11",71,11,0.9,"stim/22.jpeg",2,2,3,NA,"Instruments",1,"stim/objects/Instruments/harmonica2.png",4,"left","",NA,0,0,0
"12",71,12,0.7,"stim/61.jpeg",6,1,2,NA,"Instruments",1,"stim/objects/Instruments/drums2.png",4,"left","left",0.578999996,1,1,0
"13",71,13,0.7,"stim/61.jpeg",6,1,2,NA,"Instruments",1,"stim/objects/Instruments/drums2.png",1,"left","left",0.450999975,1,1,0
"14",71,14,0.7,"stim/64.jpeg",6,4,2,NA,"Instruments",1,"stim/objects/Instruments/flute2.png",2,"left","left",0.506999969,1,1,0
"15",71,15,0.5,"stim/33.jpeg",3,3,1,NA,"Instruments",1,"stim/objects/Instruments/electricguitar.png",1,"left","right",0.416999817,0,0,0
"16",71,16,0.9,"stim/21.jpeg",2,1,3,NA,"Instruments",1,"stim/objects/Instruments/guitarcase2.png",1,"left","left",0.5,1,1,0
"17",71,17,0.7,"stim/51.jpeg",5,1,2,NA,"HouseObjects",2,"stim/objects/HouseObjects/glassmop.png",3,"right","left",0.541000128,0,0,0
"18",71,18,0.7,"stim/63.jpeg",6,3,2,NA,"Instruments",1,"stim/objects/Instruments/electricguitar2.png",3,"left","left",0.573999882,1,1,0
"19",71,19,0.9,"stim/13.jpeg",1,3,3,NA,"HouseObjects",2,"stim/objects/HouseObjects/garbagebin2.png",3,"right","right",0.498999834,1,1,0
"20",71,20,0.9,"stim/14.jpeg",1,4,3,NA,"HouseObjects",2,"stim/objects/HouseObjects/glass2.png",3,"right","right",0.529999971,1,1,0
"21",71,21,0.5,"stim/41.jpeg",4,1,1,NA,"HouseObjects",2,"stim/objects/HouseObjects/dustpan.png",4,"right","right",0.588000059,1,1,0
"22",71,22,0.5,"stim/31.jpeg",3,1,1,NA,"Instruments",1,"stim/objects/Instruments/drums.png",1,"left","right",0.755999804,0,0,0
"23",71,23,0.5,"stim/42.jpeg",4,2,1,NA,"HouseObjects",2,"stim/objects/HouseObjects/flyswatter.png",2,"right","left",0.832999945,0,0,0
"24",71,24,0.7,"stim/63.jpeg",6,3,2,NA,"Instruments",1,"stim/objects/Instruments/electricguitar2.png",2,"left","left",0.622999907,1,1,0
"25",71,25,0.3,"stim/51.jpeg",5,1,2,NA,"Instruments",1,"stim/objects/Instruments/guitarcase.png",3,"left","left",0.613999844,1,1,0
"26",71,26,0.7,"stim/62.jpeg",6,2,2,NA,"Instruments",1,"stim/objects/Instruments/electricdrumset2.png",4,"left","left",0.5849998,1,1,0
"27",71,27,0.5,"stim/32.jpeg",3,2,1,NA,"HouseObjects",2,"stim/objects/HouseObjects/cushion.png",1,"right","right",0.701999903,1,1,0
"28",71,28,0.3,"stim/62.jpeg",6,2,2,NA,"HouseObjects",2,"stim/objects/HouseObjects/cushion2.png",4,"right","left",0.580999851,0,0,0
"29",71,29,0.9,"stim/21.jpeg",2,1,3,NA,"Instruments",1,"stim/objects/Instruments/guitarcase2.png",1,"left","left",0.710999727,1,1,0
"30",71,30,0.7,"stim/54.jpeg",5,4,2,NA,"HouseObjects",2,"stim/objects/HouseObjects/handvacuum.png",1,"right","right",0.714999914,1,1,0
"31",71,31,0.5,"stim/41.jpeg",4,1,1,NA,"HouseObjects",2,"stim/objects/HouseObjects/dustpan.png",1,"right","right",0.703999996,1,1,0
"32",71,32,0.7,"stim/64.jpeg",6,4,2,NA,"Instruments",1,"stim/objects/Instruments/flute2.png",4,"left","left",0.57799983,1,1,0
"33",71,33,0.5,"stim/31.jpeg",3,1,1,NA,"Instruments",1,"stim/objects/Instruments/drums.png",2,"left","right",0.838999987,0,0,0
"34",71,34,0.3,"stim/53.jpeg",5,3,2,NA,"Instruments",1,"stim/objects/Instruments/harp.png",4,"left","right",0.802999735,0,0,0
"35",71,35,0.5,"stim/34.jpeg",3,4,1,NA,"HouseObjects",2,"stim/objects/HouseObjects/doormat.png",3,"right","right",0.517999887,1,1,0
"36",71,36,0.5,"stim/43.jpeg",4,3,1,NA,"HouseObjects",2,"stim/objects/HouseObjects/garbagebin.png",3,"right","right",0.628999949,1,1,0
"37",71,37,0.7,"stim/62.jpeg",6,2,2,NA,"Instruments",1,"stim/objects/Instruments/electricdrumset2.png",3,"left","left",0.61500001,1,1,0
"38",71,38,0.5,"stim/44.jpeg",4,4,1,NA,"HouseObjects",2,"stim/objects/HouseObjects/glass.png",3,"right","left",0.619999886,0,0,0
"39",71,39,0.9,"stim/21.jpeg",2,1,3,NA,"Instruments",1,"stim/objects/Instruments/guitarcase2.png",2,"left","left",0.67599988,1,1,0
"40",71,40,0.9,"stim/14.jpeg",1,4,3,NA,"HouseObjects",2,"stim/objects/HouseObjects/glass2.png",4,"right","right",0.538000107,1,1,0
"41",71,41,0.7,"stim/61.jpeg",6,1,2,NA,"Instruments",1,"stim/objects/Instruments/drums2.png",3,"left","left",0.523000002,1,1,0
"42",71,42,0.5,"stim/41.jpeg",4,1,1,NA,"Instruments",1,"stim/objects/Instruments/flutetrans.png",2,"left","right",0.690999985,0,0,0
"43",71,43,0.5,"stim/34.jpeg",3,4,1,NA,"HouseObjects",2,"stim/objects/HouseObjects/doormat.png",3,"right","left",0.875,0,0,0
