"","participant","scn_file","scn_cat","obj_cat_top","min_resp_top","max_resp_top","slider.response","slider.rt","iteration_index","corr_rat","group"
"243",21,"stim/11.jpeg",1,"Music items",45,55,19,9.428999901,1,50,1
"244",21,"stim/21.jpeg",2,"Household items",45,55,23,5.960999966,1,50,1
"241",21,"stim/31.jpeg",3,"Music items",65,75,33,10.26400018,1,70,1
"242",21,"stim/41.jpeg",4,"Music items",65,75,58,5.128999949,1,70,1
"245",21,"stim/51.jpeg",5,"Household items",5,15,44,8.412999868,1,10,1
"246",21,"stim/61.jpeg",6,"Music items",5,15,35,12.85900021,1,10,1
"582",21,"stim/11.jpeg",1,"Music items",45,55,10,7.246000051,2,50,1
"583",21,"stim/21.jpeg",2,"Household items",45,55,28,6.378999949,2,50,1
"579",21,"stim/31.jpeg",3,"Music items",65,75,37,6.263000011,2,70,1
"580",21,"stim/41.jpeg",4,"Music items",65,75,50,4.702000141,2,70,1
"581",21,"stim/51.jpeg",5,"Household items",5,15,54,5.350000143,2,10,1
"578",21,"stim/61.jpeg",6,"Music items",5,15,76,9.104000092,2,10,1
