"","participant","scn_file","scn_cat","obj_cat_top","min_resp_top","max_resp_top","slider.response","slider.rt","iteration_index","corr_rat","group"
"244",77,"stim/11.jpeg",1,"Household items",45,55,21,7.316999912,1,50,1
"243",77,"stim/21.jpeg",2,"Music items",45,55,23,9.067000151,1,50,1
"245",77,"stim/31.jpeg",3,"Household items",65,75,6,8.062000036,1,70,1
"246",77,"stim/41.jpeg",4,"Household items",65,75,90,9.36500001,1,70,1
"242",77,"stim/51.jpeg",5,"Music items",5,15,59,13.22000003,1,10,1
"241",77,"stim/61.jpeg",6,"Household items",5,15,40,8.219000101,1,10,1
"583",77,"stim/11.jpeg",1,"Household items",45,55,46,8.690999985,2,50,1
"580",77,"stim/21.jpeg",2,"Music items",45,55,33,13.36400008,2,50,1
"582",77,"stim/31.jpeg",3,"Household items",65,75,15,11.13300014,2,70,1
"578",77,"stim/41.jpeg",4,"Household items",65,75,89,7.600999832,2,70,1
"581",77,"stim/51.jpeg",5,"Music items",5,15,60,6.371999979,2,10,1
"579",77,"stim/61.jpeg",6,"Household items",5,15,85,1.812000036,2,10,1
