"","participant","scn_file","scn_cat","obj_cat_top","min_resp_top","max_resp_top","slider.response","slider.rt","iteration_index","corr_rat","group"
"242",37,"stim/11.jpeg",1,"Household items",45,55,20,5.589999914,1,50,1
"244",37,"stim/21.jpeg",2,"Music items",45,55,30,7.167999983,1,50,1
"243",37,"stim/31.jpeg",3,"Household items",65,75,10,3.819999933,1,70,1
"246",37,"stim/41.jpeg",4,"Household items",65,75,90,3.785000086,1,70,1
"245",37,"stim/51.jpeg",5,"Music items",5,15,80,6.048000097,1,10,1
"241",37,"stim/61.jpeg",6,"Household items",5,15,40,8.274000168,1,10,1
"583",37,"stim/11.jpeg",1,"Household items",45,55,30,7.923000097,2,50,1
"582",37,"stim/21.jpeg",2,"Music items",45,55,30,8.210000038,2,50,1
"578",37,"stim/31.jpeg",3,"Household items",65,75,20,27.08599997,2,70,1
"580",37,"stim/41.jpeg",4,"Household items",65,75,80,2.819000006,2,70,1
"581",37,"stim/51.jpeg",5,"Music items",5,15,70,4.72300005,2,10,1
"579",37,"stim/61.jpeg",6,"Household items",5,15,60,7.893999815,2,10,1
