"","participant","OvsN","PE_level","object_cat","obj_file","scn_file","corr_scn_cat","corr_scn_inst","scn_file.1","corr_loc","key_resp_id.keys","key_resp_id.rt","key_resp_conf.keys","key_resp_assoc.keys","key_resp_assoc.rt","key_resp_loc.keys","key_resp_loc.rt","trialN","id_acc","assoc.acc","cond_assoc","loc.acc","cond_loc","group"
"1",63,2,0,1,"stim/objects/Instruments/banjo2.png","",0,0,"",0,"left",1.156999826,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,0
"2",63,2,0,1,"stim/objects/Instruments/grandpiano.png","",0,0,"",0,"left",1.592000008,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,0
"3",63,2,0,2,"stim/objects/HouseObjects/key.png","",0,0,"",0,"right",0.917999983,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,0
"4",63,2,0,2,"stim/objects/HouseObjects/vacuumcleaner.png","",0,0,"",0,"left",0.899999857,NA,NA,NA,NA,NA,4,0,NA,NA,NA,NA,0
"5",63,1,0.9,2,"stim/objects/HouseObjects/iron4.png","stim/54.jpeg",5,4,"stim/54.jpeg",2,"left",0.932999849,4,2,7.806999922,2,2.82400012,5,1,0,0,1,1,0
"6",63,2,0,1,"stim/objects/Instruments/doublebass.png","",0,0,"",0,"left",1.278000116,NA,NA,NA,NA,NA,6,0,NA,NA,NA,NA,0
"7",63,2,0,2,"stim/objects/HouseObjects/wateringcan.png","",0,0,"",0,"right",1.744999886,NA,NA,NA,NA,NA,7,1,NA,NA,NA,NA,0
"8",63,2,0,1,"stim/objects/Instruments/doublebass2.png","",0,0,"",0,"left",0.667999983,NA,NA,NA,NA,NA,8,0,NA,NA,NA,NA,0
"9",63,1,0.3,2,"stim/objects/HouseObjects/blender4.png","stim/42.jpeg",4,2,"stim/42.jpeg",2,"right",2.046000004,2,3,3.691999912,1,3.832999945,9,0,0,NA,0,NA,0
"10",63,1,0.3,2,"stim/objects/HouseObjects/cushion4.png","stim/42.jpeg",4,2,"stim/42.jpeg",2,"right",2,2,1,3.453000069,1,2.211999893,10,0,0,NA,0,NA,0
"11",63,2,0,1,"stim/objects/Instruments/balalaika2.png","",0,0,"",0,"right",1.255999804,NA,NA,NA,NA,NA,11,1,NA,NA,NA,NA,0
"12",63,1,0.5,1,"stim/objects/Instruments/harp3.png","stim/11.jpeg",1,1,"stim/11.jpeg",2,"left",0.92599988,3,4,8.167999983,2,3.105999947,12,1,0,0,1,1,0
"13",63,2,0,1,"stim/objects/Instruments/bassdrum2.png","",0,0,"",0,"right",1.135999918,NA,NA,NA,NA,NA,13,1,NA,NA,NA,NA,0
"14",63,2,0,2,"stim/objects/HouseObjects/iron.png","",0,0,"",0,"right",1.114000082,NA,NA,NA,NA,NA,14,1,NA,NA,NA,NA,0
"15",63,2,0,1,"stim/objects/Instruments/bassguitar2.png","",0,0,"",0,"right",0.917000055,NA,NA,NA,NA,NA,15,1,NA,NA,NA,NA,0
"16",63,2,0,1,"stim/objects/Instruments/clarinet2.png","",0,0,"",0,"left",2.065999985,NA,NA,NA,NA,NA,16,0,NA,NA,NA,NA,0
"17",63,1,0.3,2,"stim/objects/HouseObjects/bucket4.png","stim/41.jpeg",4,1,"stim/41.jpeg",1,"left",1.78399992,2,4,3.657000065,1,1.954999924,17,1,0,0,1,1,0
"18",63,1,0.7,1,"stim/objects/Instruments/cello4.png","stim/41.jpeg",4,1,"stim/41.jpeg",1,"left",1.621000051,3,3,3.920000076,4,2.478999853,18,1,0,0,0,0,0
"19",63,2,0,2,"stim/objects/HouseObjects/broom.png","",0,0,"",0,"left",0.926999807,NA,NA,NA,NA,NA,19,0,NA,NA,NA,NA,0
"20",63,1,0.5,1,"stim/objects/HouseObjects/hairdryer3.png","stim/13.jpeg",1,3,"stim/13.jpeg",1,"right",0.916999817,3,1,2.423999786,3,2.672999859,20,0,0,NA,0,NA,0
"21",63,2,0,1,"stim/objects/Instruments/drums2.png","",0,0,"",0,"left",1.160999775,NA,NA,NA,NA,NA,21,0,NA,NA,NA,NA,0
"22",63,1,0.1,2,"stim/objects/HouseObjects/towel4.png","stim/62.jpeg",6,2,"stim/62.jpeg",2,"right",0.933000088,2,1,2.894000053,4,1.823999882,22,0,0,NA,0,NA,0
"23",63,1,0.9,2,"stim/objects/HouseObjects/doormat4.png","stim/53.jpeg",5,3,"stim/53.jpeg",1,"left",1.138999939,4,4,3.462999821,2,2.303999901,23,1,0,0,0,0,0
"24",63,2,0,2,"stim/objects/HouseObjects/handbrush.png","",0,0,"",0,"left",2.7099998,NA,NA,NA,NA,NA,24,0,NA,NA,NA,NA,0
"25",63,1,0.5,1,"stim/objects/HouseObjects/iron3.png","stim/12.jpeg",1,2,"stim/12.jpeg",2,"right",1.029999971,3,4,2.48300004,3,2.372999907,25,0,0,NA,0,NA,0
"26",63,1,0.1,2,"stim/objects/HouseObjects/pan4.png","stim/64.jpeg",6,4,"stim/64.jpeg",2,"right",0.950000048,3,3,3.977999926,3,2.290999889,26,0,0,NA,0,NA,0
"27",63,2,0,2,"stim/objects/HouseObjects/ashtray2.png","",0,0,"",0,"left",1.052999973,NA,NA,NA,NA,NA,27,0,NA,NA,NA,NA,0
"28",63,1,0.7,1,"stim/objects/Instruments/bassguitar4.png","stim/44.jpeg",4,4,"stim/44.jpeg",1,"left",1.118999958,2,1,5.166999817,4,2.823999882,28,1,0,0,0,0,0
"29",63,1,0.7,1,"stim/objects/Instruments/drums4.png","stim/43.jpeg",4,3,"stim/43.jpeg",4,"left",1.017999887,2,2,4.618999958,1,2.36199975,29,1,0,0,0,0,0
"30",63,1,0.1,2,"stim/objects/HouseObjects/match4.png","stim/63.jpeg",6,3,"stim/63.jpeg",2,"left",1.615999937,2,4,4.820999861,1,2.044999838,30,1,0,0,0,0,0
"31",63,1,0.9,2,"stim/objects/HouseObjects/handvacuum4.png","stim/53.jpeg",5,3,"stim/53.jpeg",3,"left",1.680000067,2,3,4.101000071,1,1.139999866,31,1,1,1,0,0,0
"32",63,1,0.9,1,"stim/objects/Instruments/oboe4.png","stim/63.jpeg",6,3,"stim/63.jpeg",1,"left",0.977999926,2,4,2.657999992,1,1.226999998,32,1,0,0,1,1,0
"33",63,2,0,1,"stim/objects/Instruments/harmonica.png","",0,0,"",0,"left",1.919999838,NA,NA,NA,NA,NA,33,0,NA,NA,NA,NA,0
"34",63,2,0,2,"stim/objects/HouseObjects/towel.png","",0,0,"",0,"right",1.068000078,NA,NA,NA,NA,NA,34,1,NA,NA,NA,NA,0
"35",63,2,0,2,"stim/objects/HouseObjects/dishsoap2.png","",0,0,"",0,"right",0.852999926,NA,NA,NA,NA,NA,35,1,NA,NA,NA,NA,0
"36",63,1,0.3,2,"stim/objects/HouseObjects/clothespin4.png","stim/44.jpeg",4,4,"stim/44.jpeg",4,"right",0.984999895,3,2,2.367999792,1,1.850999832,36,0,0,NA,0,NA,0
