"","X","participant","scn_file","scn_cat","obj_cat_top","min_resp_top","max_resp_top","slider.response","slider.rt","iteration_index","corr_rat","group"
"319",581,27,"stim/11.jpeg",1,"Household items",45,55,20,8.737999916,2,50,1
"320",580,27,"stim/21.jpeg",2,"Music items",45,55,NA,NA,2,50,1
"321",578,27,"stim/31.jpeg",3,"Household items",65,75,0,5.046999931,2,70,1
"322",583,27,"stim/41.jpeg",4,"Household items",65,75,90,4.885999918,2,70,1
"323",582,27,"stim/51.jpeg",5,"Music items",5,15,50,5.112999916,2,10,1
"324",579,27,"stim/61.jpeg",6,"Household items",5,15,50,4.071000099,2,10,1
"325",244,28,"stim/11.jpeg",1,"Music items",45,55,50,3.999000072,1,50,1
"326",243,28,"stim/21.jpeg",2,"Household items",45,55,38,2.534999847,1,50,1
"327",242,28,"stim/31.jpeg",3,"Music items",65,75,54,2.246999979,1,70,1
"328",245,28,"stim/41.jpeg",4,"Music items",65,75,69,3.116000175,1,70,1
"329",241,28,"stim/51.jpeg",5,"Household items",5,15,75,47.48600006,1,10,1
"330",246,28,"stim/61.jpeg",6,"Music items",5,15,80,2.805000067,1,10,1
"331",582,28,"stim/11.jpeg",1,"Music items",45,55,40,5.09800005,2,50,1
"332",580,28,"stim/21.jpeg",2,"Household items",45,55,60,3.916999817,2,50,1
"333",581,28,"stim/31.jpeg",3,"Music items",65,75,35,4.638000011,2,70,1
"334",578,28,"stim/41.jpeg",4,"Music items",65,75,75,5.625999928,2,70,1
"335",583,28,"stim/51.jpeg",5,"Household items",5,15,95,10.35000014,2,10,1
"336",579,28,"stim/61.jpeg",6,"Music items",5,15,94,4.596999884,2,10,1
"337",245,29,"stim/11.jpeg",1,"Household items",45,55,20,3.593999863,1,50,1
"338",242,29,"stim/21.jpeg",2,"Music items",45,55,10,7.352999926,1,50,1
"339",246,29,"stim/31.jpeg",3,"Household items",65,75,60,5.720000029,1,70,1
"340",243,29,"stim/41.jpeg",4,"Household items",65,75,50,5.703000069,1,70,1
"341",244,29,"stim/51.jpeg",5,"Music items",5,15,61,3.526000023,1,10,1
"342",241,29,"stim/61.jpeg",6,"Household items",5,15,80,7.138999939,1,10,1
"343",581,29,"stim/11.jpeg",1,"Household items",45,55,85,7.819999933,2,50,1
"344",580,29,"stim/21.jpeg",2,"Music items",45,55,5,7.190000057,2,50,1
"345",583,29,"stim/31.jpeg",3,"Household items",65,75,60,6.384000063,2,70,1
"346",582,29,"stim/41.jpeg",4,"Household items",65,75,50,6.88499999,2,70,1
"347",578,29,"stim/51.jpeg",5,"Music items",5,15,60,6.851999998,2,10,1
"348",579,29,"stim/61.jpeg",6,"Household items",5,15,80,8.588000059,2,10,1
"349",242,30,"stim/11.jpeg",1,"Household items",45,55,70,3.437000036,1,50,1
"350",245,30,"stim/21.jpeg",2,"Music items",45,55,19,4.914000034,1,50,1
"351",244,30,"stim/31.jpeg",3,"Household items",65,75,10,4.073999882,1,70,1
"352",243,30,"stim/41.jpeg",4,"Household items",65,75,69,4.421999931,1,70,1
"353",246,30,"stim/51.jpeg",5,"Music items",5,15,90,3.504000187,1,10,1
"354",241,30,"stim/61.jpeg",6,"Household items",5,15,80,6.154999971,1,10,1
"355",583,30,"stim/11.jpeg",1,"Household items",45,55,61,3.763999939,2,50,1
"356",582,30,"stim/21.jpeg",2,"Music items",45,55,49,4.407999992,2,50,1
"357",581,30,"stim/31.jpeg",3,"Household items",65,75,29,4.898000002,2,70,1
"358",579,30,"stim/41.jpeg",4,"Household items",65,75,70,4.648000002,2,70,1
"359",578,30,"stim/51.jpeg",5,"Music items",5,15,80,6.042000055,2,10,1
"360",580,30,"stim/61.jpeg",6,"Household items",5,15,59,2.736000061,2,10,1
"361",242,31,"stim/11.jpeg",1,"Music items",45,55,10,4.375999928,1,50,1
"362",244,31,"stim/21.jpeg",2,"Household items",45,55,10,5.945999861,1,50,1
"363",243,31,"stim/31.jpeg",3,"Music items",65,75,70,7.812000036,1,70,1
"364",245,31,"stim/41.jpeg",4,"Music items",65,75,38,4.046000004,1,70,1
"365",241,31,"stim/51.jpeg",5,"Household items",5,15,80,6.351999998,1,10,1
"366",246,31,"stim/61.jpeg",6,"Music items",5,15,76,4.864000082,1,10,1
"367",579,31,"stim/11.jpeg",1,"Music items",45,55,10,4.792000055,2,50,1
"368",583,31,"stim/21.jpeg",2,"Household items",45,55,20,5.27699995,2,50,1
"369",582,31,"stim/31.jpeg",3,"Music items",65,75,70,6.394000053,2,70,1
"370",581,31,"stim/41.jpeg",4,"Music items",65,75,30,5.065999985,2,70,1
"371",580,31,"stim/51.jpeg",5,"Household items",5,15,80,5.727999926,2,10,1
"372",578,31,"stim/61.jpeg",6,"Music items",5,15,71,4.501999855,2,10,1
"373",241,32,"stim/11.jpeg",1,"Household items",45,55,30,14.12700009,1,50,1
"374",246,32,"stim/21.jpeg",2,"Music items",45,55,60,7.446000099,1,50,1
"375",243,32,"stim/31.jpeg",3,"Household items",65,75,100,2.101999998,1,70,1
"376",244,32,"stim/41.jpeg",4,"Household items",65,75,100,2.931999922,1,70,1
"377",242,32,"stim/51.jpeg",5,"Music items",5,15,90,2.977999926,1,10,1
"378",245,32,"stim/61.jpeg",6,"Household items",5,15,50,4.528999805,1,10,1
"379",581,32,"stim/11.jpeg",1,"Household items",45,55,10,2.950999975,2,50,1
"380",582,32,"stim/21.jpeg",2,"Music items",45,55,10,2.911000013,2,50,1
"381",578,32,"stim/31.jpeg",3,"Household items",65,75,20,4.984999895,2,70,1
"382",583,32,"stim/41.jpeg",4,"Household items",65,75,81,2.912000179,2,70,1
"383",580,32,"stim/51.jpeg",5,"Music items",5,15,30,4.258000135,2,10,1
"384",579,32,"stim/61.jpeg",6,"Household items",5,15,40,3.253999949,2,10,1
"385",246,33,"stim/11.jpeg",1,"Music items",45,55,58,2.411999941,1,50,1
"386",245,33,"stim/21.jpeg",2,"Household items",45,55,45,2.882999897,1,50,1
"387",242,33,"stim/31.jpeg",3,"Music items",65,75,61,3.245000124,1,70,1
"388",244,33,"stim/41.jpeg",4,"Music items",65,75,54,2.897000074,1,70,1
"389",241,33,"stim/51.jpeg",5,"Household items",5,15,79,6.43900013,1,10,1
"390",243,33,"stim/61.jpeg",6,"Music items",5,15,89,2.881000042,1,10,1
"391",580,33,"stim/11.jpeg",1,"Music items",45,55,61,2.994999886,2,50,1
"392",581,33,"stim/21.jpeg",2,"Household items",45,55,36,2.628999949,2,50,1
"393",578,33,"stim/31.jpeg",3,"Music items",65,75,40,4.881999969,2,70,1
"394",583,33,"stim/41.jpeg",4,"Music items",65,75,76,2.647000074,2,70,1
"395",579,33,"stim/51.jpeg",5,"Household items",5,15,51,2.194999933,2,10,1
"396",582,33,"stim/61.jpeg",6,"Music items",5,15,93,2.83100009,2,10,1
"397",243,34,"stim/11.jpeg",1,"Household items",45,55,13,6.697000027,1,50,1
"398",244,34,"stim/21.jpeg",2,"Music items",45,55,2,6.68900013,1,50,1
"399",245,34,"stim/31.jpeg",3,"Household items",65,75,25,7.156000137,1,70,1
"400",241,34,"stim/41.jpeg",4,"Household items",65,75,70,7.637000084,1,70,1
"401",246,34,"stim/51.jpeg",5,"Music items",5,15,90,4.506000042,1,10,1
"402",242,34,"stim/61.jpeg",6,"Household items",5,15,88,5.963000059,1,10,1
"403",578,34,"stim/11.jpeg",1,"Household items",45,55,5,6.933999777,2,50,1
"404",579,34,"stim/21.jpeg",2,"Music items",45,55,8,7.332999945,2,50,1
"405",582,34,"stim/31.jpeg",3,"Household items",65,75,70,5.146000147,2,70,1
"406",580,34,"stim/41.jpeg",4,"Household items",65,75,82,5.196999788,2,70,1
"407",583,34,"stim/51.jpeg",5,"Music items",5,15,85,6.553000212,2,10,1
"408",581,34,"stim/61.jpeg",6,"Household items",5,15,85,4.720999956,2,10,1
"409",244,35,"stim/11.jpeg",1,"Household items",45,55,50,3.167000055,1,50,1
"410",245,35,"stim/21.jpeg",2,"Music items",45,55,50,1.930000067,1,50,1
"411",242,35,"stim/31.jpeg",3,"Household items",65,75,36,3.83100009,1,70,1
"412",243,35,"stim/41.jpeg",4,"Household items",65,75,73,5.020999908,1,70,1
"413",246,35,"stim/51.jpeg",5,"Music items",5,15,85,4.74000001,1,10,1
"414",241,35,"stim/61.jpeg",6,"Household items",5,15,81,4.947999954,1,10,1
"415",582,35,"stim/11.jpeg",1,"Household items",45,55,52,3.503999949,2,50,1
"416",578,35,"stim/21.jpeg",2,"Music items",45,55,39,5.509000063,2,50,1
"417",579,35,"stim/31.jpeg",3,"Household items",65,75,59,2.981000185,2,70,1
"418",583,35,"stim/41.jpeg",4,"Household items",65,75,60,4.03399992,2,70,1
"419",581,35,"stim/51.jpeg",5,"Music items",5,15,89,3.667000055,2,10,1
"420",580,35,"stim/61.jpeg",6,"Household items",5,15,90,5.105999947,2,10,1
"421",242,36,"stim/11.jpeg",1,"Music items",45,55,17,10.61899996,1,50,1
"422",244,36,"stim/21.jpeg",2,"Household items",45,55,20,5.09800005,1,50,1
"423",243,36,"stim/31.jpeg",3,"Music items",65,75,60,7.77699995,1,70,1
"424",241,36,"stim/41.jpeg",4,"Music items",65,75,61,4.157999992,1,70,1
"425",245,36,"stim/51.jpeg",5,"Household items",5,15,80,2.891000032,1,10,1
"426",246,36,"stim/61.jpeg",6,"Music items",5,15,60,5.947000027,1,10,1
"427",578,36,"stim/11.jpeg",1,"Music items",45,55,8,7.644999981,2,50,1
"428",579,36,"stim/21.jpeg",2,"Household items",45,55,25,6.826000214,2,50,1
"429",580,36,"stim/31.jpeg",3,"Music items",65,75,54,3.997999907,2,70,1
"430",583,36,"stim/41.jpeg",4,"Music items",65,75,63,3.342999935,2,70,1
"431",582,36,"stim/51.jpeg",5,"Household items",5,15,85,3.610000134,2,10,1
"432",581,36,"stim/61.jpeg",6,"Music items",5,15,55,3.174000025,2,10,1
"433",242,37,"stim/11.jpeg",1,"Household items",45,55,20,5.589999914,1,50,1
"434",244,37,"stim/21.jpeg",2,"Music items",45,55,30,7.167999983,1,50,1
"435",243,37,"stim/31.jpeg",3,"Household items",65,75,10,3.819999933,1,70,1
"436",246,37,"stim/41.jpeg",4,"Household items",65,75,90,3.785000086,1,70,1
"437",245,37,"stim/51.jpeg",5,"Music items",5,15,80,6.048000097,1,10,1
"438",241,37,"stim/61.jpeg",6,"Household items",5,15,40,8.274000168,1,10,1
"439",583,37,"stim/11.jpeg",1,"Household items",45,55,30,7.923000097,2,50,1
"440",582,37,"stim/21.jpeg",2,"Music items",45,55,30,8.210000038,2,50,1
"441",578,37,"stim/31.jpeg",3,"Household items",65,75,20,27.08599997,2,70,1
"442",580,37,"stim/41.jpeg",4,"Household items",65,75,80,2.819000006,2,70,1
"443",581,37,"stim/51.jpeg",5,"Music items",5,15,70,4.72300005,2,10,1
"444",579,37,"stim/61.jpeg",6,"Household items",5,15,60,7.893999815,2,10,1
"445",242,38,"stim/11.jpeg",1,"Music items",45,55,57,8.366999865,1,50,1
"446",243,38,"stim/21.jpeg",2,"Household items",45,55,54,10.24499989,1,50,1
"447",245,38,"stim/31.jpeg",3,"Music items",65,75,25,9.101999998,1,70,1
"448",241,38,"stim/41.jpeg",4,"Music items",65,75,72,9.723999977,1,70,1
"449",244,38,"stim/51.jpeg",5,"Household items",5,15,93,9.265000105,1,10,1
"450",246,38,"stim/61.jpeg",6,"Music items",5,15,95,4.710000038,1,10,1
"451",580,38,"stim/11.jpeg",1,"Music items",45,55,45,6.907000065,2,50,1
"452",578,38,"stim/21.jpeg",2,"Household items",45,55,54,12.79399991,2,50,1
"453",583,38,"stim/31.jpeg",3,"Music items",65,75,28,5.485000134,2,70,1
"454",579,38,"stim/41.jpeg",4,"Music items",65,75,75,8.63499999,2,70,1
"455",581,38,"stim/51.jpeg",5,"Household items",5,15,89,6.05700016,2,10,1
"456",582,38,"stim/61.jpeg",6,"Music items",5,15,92,4.042000055,2,10,1
"457",243,39,"stim/11.jpeg",1,"Household items",45,55,13,5.039000034,1,50,1
"458",242,39,"stim/21.jpeg",2,"Music items",45,55,34,5.121999979,1,50,1
"459",246,39,"stim/31.jpeg",3,"Household items",65,75,66,4.711999893,1,70,1
"460",241,39,"stim/41.jpeg",4,"Household items",65,75,73,4.980999947,1,70,1
"461",244,39,"stim/51.jpeg",5,"Music items",5,15,70,5.995000124,1,10,1
"462",245,39,"stim/61.jpeg",6,"Household items",5,15,77,4.559999943,1,10,1
"463",582,39,"stim/11.jpeg",1,"Household items",45,55,14,4.075999975,2,50,1
"464",579,39,"stim/21.jpeg",2,"Music items",45,55,27,4.592999935,2,50,1
"465",578,39,"stim/31.jpeg",3,"Household items",65,75,77,4.315999985,2,70,1
"466",583,39,"stim/41.jpeg",4,"Household items",65,75,58,2.309000015,2,70,1
"467",581,39,"stim/51.jpeg",5,"Music items",5,15,41,5.292999983,2,10,1
"468",580,39,"stim/61.jpeg",6,"Household items",5,15,75,5.055999994,2,10,1
"469",245,40,"stim/11.jpeg",1,"Household items",45,55,39,2.613000154,1,50,1
"470",244,40,"stim/21.jpeg",2,"Music items",45,55,38,6.602999926,1,50,1
"471",242,40,"stim/31.jpeg",3,"Household items",65,75,53,1.934000015,1,70,1
"472",241,40,"stim/41.jpeg",4,"Household items",65,75,58,7.070999861,1,70,1
"473",246,40,"stim/51.jpeg",5,"Music items",5,15,93,4.194000006,1,10,1
"474",243,40,"stim/61.jpeg",6,"Household items",5,15,91,3.423000097,1,10,1
"475",578,40,"stim/11.jpeg",1,"Household items",45,55,41,8.203999996,2,50,1
"476",581,40,"stim/21.jpeg",2,"Music items",45,55,56,2.497999907,2,50,1
"477",583,40,"stim/31.jpeg",3,"Household items",65,75,56,2.103000164,2,70,1
"478",582,40,"stim/41.jpeg",4,"Household items",65,75,57,2.492000103,2,70,1
"479",580,40,"stim/51.jpeg",5,"Music items",5,15,93,5.741000175,2,10,1
"480",579,40,"stim/61.jpeg",6,"Household items",5,15,92,5.747999907,2,10,1
"481",246,41,"stim/11.jpeg",1,"Music items",45,55,11,2.832000017,1,50,1
"482",245,41,"stim/21.jpeg",2,"Household items",45,55,11,5.785000086,1,50,1
"483",244,41,"stim/31.jpeg",3,"Music items",65,75,31,4.24000001,1,70,1
"484",242,41,"stim/41.jpeg",4,"Music items",65,75,68,2.211000204,1,70,1
"485",241,41,"stim/51.jpeg",5,"Household items",5,15,88,4.30099988,1,10,1
"486",243,41,"stim/61.jpeg",6,"Music items",5,15,84,4.263000011,1,10,1
"487",583,41,"stim/11.jpeg",1,"Music items",45,55,21,4.537999868,2,50,1
"488",579,41,"stim/21.jpeg",2,"Household items",45,55,12,5.111000061,2,50,1
"489",582,41,"stim/31.jpeg",3,"Music items",65,75,69,2.828999996,2,70,1
"490",581,41,"stim/41.jpeg",4,"Music items",65,75,59,3.319000006,2,70,1
"491",580,41,"stim/51.jpeg",5,"Household items",5,15,87,3.161000013,2,10,1
"492",578,41,"stim/61.jpeg",6,"Music items",5,15,87,4.056999922,2,10,1
"493",244,42,"stim/11.jpeg",1,"Household items",45,55,66,5.882999897,1,50,1
"494",245,42,"stim/21.jpeg",2,"Music items",45,55,32,2.501999855,1,50,1
"495",241,42,"stim/31.jpeg",3,"Household items",65,75,58,7.320000172,1,70,1
"496",246,42,"stim/41.jpeg",4,"Household items",65,75,60,1.878999949,1,70,1
"497",243,42,"stim/51.jpeg",5,"Music items",5,15,40,1.486999989,1,10,1
"498",242,42,"stim/61.jpeg",6,"Household items",5,15,NA,NA,1,10,1
"499",578,42,"stim/11.jpeg",1,"Household items",45,55,65,3.895999908,2,50,1
"500",579,42,"stim/21.jpeg",2,"Music items",45,55,NA,NA,2,50,1
"501",582,42,"stim/31.jpeg",3,"Household items",65,75,39,1.812000036,2,70,1
"502",581,42,"stim/41.jpeg",4,"Household items",65,75,72,1.351000071,2,70,1
"503",583,42,"stim/51.jpeg",5,"Music items",5,15,62,3.312999964,2,10,1
"504",580,42,"stim/61.jpeg",6,"Household items",5,15,67,3.555999994,2,10,1
"505",246,43,"stim/11.jpeg",1,"Music items",45,55,0,3.776000023,1,50,1
"506",241,43,"stim/21.jpeg",2,"Household items",45,55,0,4.558999777,1,50,1
"507",245,43,"stim/31.jpeg",3,"Music items",65,75,0,3.74000001,1,70,1
"508",242,43,"stim/41.jpeg",4,"Music items",65,75,100,6.348999977,1,70,1
"509",244,43,"stim/51.jpeg",5,"Household items",5,15,100,2.904999971,1,10,1
"510",243,43,"stim/61.jpeg",6,"Music items",5,15,0,3.376000166,1,10,1
"511",579,43,"stim/11.jpeg",1,"Music items",45,55,0,2.170000076,2,50,1
"512",583,43,"stim/21.jpeg",2,"Household items",45,55,21,2.770000219,2,50,1
"513",578,43,"stim/31.jpeg",3,"Music items",65,75,0,2.45600009,2,70,1
"514",580,43,"stim/41.jpeg",4,"Music items",65,75,100,2.169000149,2,70,1
"515",582,43,"stim/51.jpeg",5,"Household items",5,15,49,5.375,2,10,1
"516",581,43,"stim/61.jpeg",6,"Music items",5,15,100,1.756000042,2,10,1
"517",243,44,"stim/11.jpeg",1,"Household items",45,55,0,2.464999914,1,50,1
"518",246,44,"stim/21.jpeg",2,"Music items",45,55,0,4.475999832,1,50,1
"519",245,44,"stim/31.jpeg",3,"Household items",65,75,27,4.302000046,1,70,1
"520",242,44,"stim/41.jpeg",4,"Household items",65,75,50,4.315999985,1,70,1
"521",244,44,"stim/51.jpeg",5,"Music items",5,15,0,1.538000107,1,10,1
"522",241,44,"stim/61.jpeg",6,"Household items",5,15,64,5.99000001,1,10,1
"523",580,44,"stim/11.jpeg",1,"Household items",45,55,0,3.128999949,2,50,1
"524",582,44,"stim/21.jpeg",2,"Music items",45,55,0,7.788000107,2,50,1
"525",579,44,"stim/31.jpeg",3,"Household items",65,75,65,3.312000036,2,70,1
"526",583,44,"stim/41.jpeg",4,"Household items",65,75,50,5.023999929,2,70,1
"527",578,44,"stim/51.jpeg",5,"Music items",5,15,82,5.470000029,2,10,1
"528",581,44,"stim/61.jpeg",6,"Household items",5,15,66,3.569999933,2,10,1
"529",246,45,"stim/11.jpeg",1,"Household items",45,55,48,5.881000042,1,50,1
"530",244,45,"stim/21.jpeg",2,"Music items",45,55,35,7.796000004,1,50,1
"531",241,45,"stim/31.jpeg",3,"Household items",65,75,33,5.548000097,1,70,1
"532",243,45,"stim/41.jpeg",4,"Household items",65,75,60,4.082999945,1,70,1
"533",242,45,"stim/51.jpeg",5,"Music items",5,15,87,4.095000029,1,10,1
"534",245,45,"stim/61.jpeg",6,"Household items",5,15,91,4.74000001,1,10,1
"535",579,45,"stim/11.jpeg",1,"Household items",45,55,50,6.529999971,2,50,1
"536",582,45,"stim/21.jpeg",2,"Music items",45,55,40,8.378999949,2,50,1
"537",578,45,"stim/31.jpeg",3,"Household items",65,75,39,6.460000038,2,70,1
"538",580,45,"stim/41.jpeg",4,"Household items",65,75,60,3.890000105,2,70,1
"539",583,45,"stim/51.jpeg",5,"Music items",5,15,80,5.032000065,2,10,1
"540",581,45,"stim/61.jpeg",6,"Household items",5,15,75,4.583999872,2,10,1
"541",244,47,"stim/11.jpeg",1,"Household items",45,55,30,7.354000092,1,50,1
"542",241,47,"stim/21.jpeg",2,"Music items",45,55,10,7.343000174,1,50,1
"543",245,47,"stim/31.jpeg",3,"Household items",65,75,10,7.236999989,1,70,1
"544",242,47,"stim/41.jpeg",4,"Household items",65,75,90,5.867000103,1,70,1
"545",243,47,"stim/51.jpeg",5,"Music items",5,15,60,4.432999849,1,10,1
"546",246,47,"stim/61.jpeg",6,"Household items",5,15,50,4.066999912,1,10,1
"547",581,47,"stim/11.jpeg",1,"Household items",45,55,60,7.069000006,2,50,1
"548",583,47,"stim/21.jpeg",2,"Music items",45,55,4,4.983999968,2,50,1
"549",578,47,"stim/31.jpeg",3,"Household items",65,75,10,6.41899991,2,70,1
"550",582,47,"stim/41.jpeg",4,"Household items",65,75,85,8.010999918,2,70,1
"551",579,47,"stim/51.jpeg",5,"Music items",5,15,30,6.801000118,2,10,1
"552",580,47,"stim/61.jpeg",6,"Household items",5,15,50,5.118000031,2,10,1
"553",246,48,"stim/11.jpeg",1,"Music items",45,55,61,4.113000154,1,50,1
"554",243,48,"stim/21.jpeg",2,"Household items",45,55,60,4.447000027,1,50,1
"555",241,48,"stim/31.jpeg",3,"Music items",65,75,40,12.74000001,1,70,1
"556",245,48,"stim/41.jpeg",4,"Music items",65,75,84,3.292000055,1,70,1
"557",244,48,"stim/51.jpeg",5,"Household items",5,15,95,3.109999895,1,10,1
"558",242,48,"stim/61.jpeg",6,"Music items",5,15,93,4.000999928,1,10,1
"559",579,48,"stim/11.jpeg",1,"Music items",45,55,37,5.318000078,2,50,1
"560",578,48,"stim/21.jpeg",2,"Household items",45,55,60,12.14899993,2,50,1
"561",581,48,"stim/31.jpeg",3,"Music items",65,75,32,5.65899992,2,70,1
"562",580,48,"stim/41.jpeg",4,"Music items",65,75,62,9.178999901,2,70,1
"563",583,48,"stim/51.jpeg",5,"Household items",5,15,90,2.910000086,2,10,1
"564",582,48,"stim/61.jpeg",6,"Music items",5,15,90,4.395999908,2,10,1
"565",241,49,"stim/11.jpeg",1,"Household items",45,55,16,12.74599981,1,50,1
"566",242,49,"stim/21.jpeg",2,"Music items",45,55,7,3.163000107,1,50,1
"567",244,49,"stim/31.jpeg",3,"Household items",65,75,30,5.525000095,1,70,1
"568",243,49,"stim/41.jpeg",4,"Household items",65,75,24,4.041999817,1,70,1
"569",245,49,"stim/51.jpeg",5,"Music items",5,15,78,3.676999807,1,10,1
"570",246,49,"stim/61.jpeg",6,"Household items",5,15,76,5.218000174,1,10,1
"571",582,49,"stim/11.jpeg",1,"Household items",45,55,90,3.741000175,2,50,1
"572",583,49,"stim/21.jpeg",2,"Music items",45,55,18,3.140000105,2,50,1
"573",581,49,"stim/31.jpeg",3,"Household items",65,75,74,2.694999933,2,70,1
"574",580,49,"stim/41.jpeg",4,"Household items",65,75,65,2.343999863,2,70,1
"575",579,49,"stim/51.jpeg",5,"Music items",5,15,88,3.49000001,2,10,1
"576",578,49,"stim/61.jpeg",6,"Household items",5,15,79,7.90899992,2,10,1
"577",242,50,"stim/11.jpeg",1,"Household items",45,55,20,7.26699996,1,50,1
"578",246,50,"stim/21.jpeg",2,"Music items",45,55,60,6.133999825,1,50,1
"579",245,50,"stim/31.jpeg",3,"Household items",65,75,10,4.410999775,1,70,1
"580",244,50,"stim/41.jpeg",4,"Household items",65,75,90,11.48600006,1,70,1
"581",243,50,"stim/51.jpeg",5,"Music items",5,15,80,9.667999983,1,10,1
"582",241,50,"stim/61.jpeg",6,"Household items",5,15,90,5.268000126,1,10,1
"583",581,50,"stim/11.jpeg",1,"Household items",45,55,20,3.228999853,2,50,1
"584",583,50,"stim/21.jpeg",2,"Music items",45,55,70,5.382999897,2,50,1
"585",579,50,"stim/31.jpeg",3,"Household items",65,75,70,3.368000031,2,70,1
"586",580,50,"stim/41.jpeg",4,"Household items",65,75,80,3.480999947,2,70,1
"587",582,50,"stim/51.jpeg",5,"Music items",5,15,80,9.878000021,2,10,1
"588",578,50,"stim/61.jpeg",6,"Household items",5,15,90,21.65700006,2,10,1
"589",243,51,"stim/11.jpeg",1,"Music items",45,55,2,8.925000191,1,50,1
"590",244,51,"stim/21.jpeg",2,"Household items",45,55,0,7.738000154,1,50,1
"591",241,51,"stim/31.jpeg",3,"Music items",65,75,90,12.90999985,1,70,1
"592",242,51,"stim/41.jpeg",4,"Music items",65,75,81,7.687999964,1,70,1
"593",246,51,"stim/51.jpeg",5,"Household items",5,15,76,7.705000162,1,10,1
"594",245,51,"stim/61.jpeg",6,"Music items",5,15,50,4.433000088,1,10,1
"595",581,51,"stim/11.jpeg",1,"Music items",45,55,4,8.787999868,2,50,1
"596",580,51,"stim/21.jpeg",2,"Household items",45,55,0,4.355999947,2,50,1
"597",583,51,"stim/31.jpeg",3,"Music items",65,75,20,5.154000044,2,70,1
"598",582,51,"stim/41.jpeg",4,"Music items",65,75,50,3.411000013,2,70,1
"599",578,51,"stim/51.jpeg",5,"Household items",5,15,74,4.975000143,2,10,1
"600",579,51,"stim/61.jpeg",6,"Music items",5,15,10,9.059999943,2,10,1
"601",244,52,"stim/11.jpeg",1,"Household items",45,55,70,9.90199995,1,50,1
"602",241,52,"stim/21.jpeg",2,"Music items",45,55,0,19.16999984,1,50,1
"603",243,52,"stim/31.jpeg",3,"Household items",65,75,10,4.345000029,1,70,1
"604",245,52,"stim/41.jpeg",4,"Household items",65,75,90,5.035000086,1,70,1
"605",242,52,"stim/51.jpeg",5,"Music items",5,15,50,5.644000053,1,10,1
"606",246,52,"stim/61.jpeg",6,"Household items",5,15,20,12.37000012,1,10,1
"607",580,52,"stim/11.jpeg",1,"Household items",45,55,30,4.495999813,2,50,1
"608",583,52,"stim/21.jpeg",2,"Music items",45,55,15,9.369999886,2,50,1
"609",582,52,"stim/31.jpeg",3,"Household items",65,75,10,5.486999989,2,70,1
"610",579,52,"stim/41.jpeg",4,"Household items",65,75,90,8.384000063,2,70,1
"611",578,52,"stim/51.jpeg",5,"Music items",5,15,30,12.625,2,10,1
"612",581,52,"stim/61.jpeg",6,"Household items",5,15,20,13.20099998,2,10,1
"613",245,53,"stim/11.jpeg",1,"Music items",45,55,70,6.251000166,1,50,1
"614",246,53,"stim/21.jpeg",2,"Household items",45,55,60,6.245999813,1,50,1
"615",242,53,"stim/31.jpeg",3,"Music items",65,75,4,7.5,1,70,1
"616",244,53,"stim/41.jpeg",4,"Music items",65,75,20,7.468000174,1,70,1
"617",243,53,"stim/51.jpeg",5,"Household items",5,15,100,3.571000099,1,10,1
"618",241,53,"stim/61.jpeg",6,"Music items",5,15,100,6.53399992,1,10,1
"619",580,53,"stim/11.jpeg",1,"Music items",45,55,73,3.878000021,2,50,1
"620",581,53,"stim/21.jpeg",2,"Household items",45,55,20,6.618000031,2,50,1
"621",578,53,"stim/31.jpeg",3,"Music items",65,75,40,11.48199987,2,70,1
"622",583,53,"stim/41.jpeg",4,"Music items",65,75,81,2.973999977,2,70,1
"623",582,53,"stim/51.jpeg",5,"Household items",5,15,100,2.713000059,2,10,1
"624",579,53,"stim/61.jpeg",6,"Music items",5,15,86,3.796000004,2,10,1
"625",242,54,"stim/11.jpeg",1,"Household items",45,55,0,6.005000114,1,50,1
"626",244,54,"stim/21.jpeg",2,"Music items",45,55,NA,NA,1,50,1
"627",246,54,"stim/31.jpeg",3,"Household items",65,75,77,9.470000029,1,70,1
"628",245,54,"stim/41.jpeg",4,"Household items",65,75,NA,NA,1,70,1
"629",241,54,"stim/51.jpeg",5,"Music items",5,15,85,9.286000013,1,10,1
"630",243,54,"stim/61.jpeg",6,"Household items",5,15,80,6.571000099,1,10,1
"631",581,54,"stim/11.jpeg",1,"Household items",45,55,NA,NA,2,50,1
"632",582,54,"stim/21.jpeg",2,"Music items",45,55,NA,NA,2,50,1
"633",583,54,"stim/31.jpeg",3,"Household items",65,75,70,5.107000113,2,70,1
"634",579,54,"stim/41.jpeg",4,"Household items",65,75,NA,NA,2,70,1
"635",580,54,"stim/51.jpeg",5,"Music items",5,15,85,13.6170001,2,10,1
"636",578,54,"stim/61.jpeg",6,"Household items",5,15,80,6.151000023,2,10,1
"637",243,55,"stim/11.jpeg",1,"Household items",45,55,50,4.18599987,1,50,1
"638",246,55,"stim/21.jpeg",2,"Music items",45,55,45,9.008999825,1,50,1
"639",245,55,"stim/31.jpeg",3,"Household items",65,75,30,6.721999884,1,70,1
"640",244,55,"stim/41.jpeg",4,"Household items",65,75,100,6.646000147,1,70,1
"641",242,55,"stim/51.jpeg",5,"Music items",5,15,100,7.265000105,1,10,1
"642",241,55,"stim/61.jpeg",6,"Household items",5,15,100,8.417999983,1,10,1
