"","X","participant","scn_file","scn_cat","obj_cat_top","min_resp_top","max_resp_top","slider.response","slider.rt","iteration_index","corr_rat","group"
"64",245,6,"stim/41.jpeg",4,"Music items",65,75,57,4.673000097,1,70,1
"65",241,6,"stim/51.jpeg",5,"Household items",5,15,68,11.64499998,1,10,1
"66",242,6,"stim/61.jpeg",6,"Music items",5,15,81,4.101999998,1,10,1
"67",578,6,"stim/11.jpeg",1,"Music items",45,55,15,5.164000034,2,50,1
"68",582,6,"stim/21.jpeg",2,"Household items",45,55,20,3.325999975,2,50,1
"69",580,6,"stim/31.jpeg",3,"Music items",65,75,30,5.126000166,2,70,1
"70",583,6,"stim/41.jpeg",4,"Music items",65,75,40,4.312999964,2,70,1
"71",581,6,"stim/51.jpeg",5,"Household items",5,15,66,4.090000153,2,10,1
"72",579,6,"stim/61.jpeg",6,"Music items",5,15,80,3.319000006,2,10,1
"73",242,7,"stim/11.jpeg",1,"Household items",45,55,20,4.983999968,1,50,1
"74",246,7,"stim/21.jpeg",2,"Music items",45,55,20,6.710999966,1,50,1
"75",241,7,"stim/31.jpeg",3,"Household items",65,75,10,5.951999903,1,70,1
"76",244,7,"stim/41.jpeg",4,"Household items",65,75,90,4.032000065,1,70,1
"77",243,7,"stim/51.jpeg",5,"Music items",5,15,47,7.674999952,1,10,1
"78",245,7,"stim/61.jpeg",6,"Household items",5,15,40,9.57400012,1,10,1
"79",583,7,"stim/11.jpeg",1,"Household items",45,55,10,6.593000174,2,50,1
"80",582,7,"stim/21.jpeg",2,"Music items",45,55,13,9.977999926,2,50,1
"81",581,7,"stim/31.jpeg",3,"Household items",65,75,14,6.58100009,2,70,1
"82",578,7,"stim/41.jpeg",4,"Household items",65,75,96,8.145999908,2,70,1
"83",579,7,"stim/51.jpeg",5,"Music items",5,15,50,5.684000015,2,10,1
"84",580,7,"stim/61.jpeg",6,"Household items",5,15,40,8.66899991,2,10,1
"85",243,8,"stim/11.jpeg",1,"Music items",45,55,40,7.313999891,1,50,1
"86",242,8,"stim/21.jpeg",2,"Household items",45,55,70,9.457999945,1,50,1
"87",244,8,"stim/31.jpeg",3,"Music items",65,75,40,5.640000105,1,70,1
"88",246,8,"stim/41.jpeg",4,"Music items",65,75,86,3.573000193,1,70,1
"89",241,8,"stim/51.jpeg",5,"Household items",5,15,80,9.263000011,1,10,1
"90",245,8,"stim/61.jpeg",6,"Music items",5,15,90,6.187999964,1,10,1
"91",578,8,"stim/11.jpeg",1,"Music items",45,55,60,7.259000063,2,50,1
"92",581,8,"stim/21.jpeg",2,"Household items",45,55,50,5.470999956,2,50,1
"93",580,8,"stim/31.jpeg",3,"Music items",65,75,20,5.786000013,2,70,1
"94",579,8,"stim/41.jpeg",4,"Music items",65,75,90,5.803999901,2,70,1
"95",582,8,"stim/51.jpeg",5,"Household items",5,15,90,3.960000038,2,10,1
"96",583,8,"stim/61.jpeg",6,"Music items",5,15,90,5.554999828,2,10,1
"97",246,9,"stim/11.jpeg",1,"Household items",45,55,10,6.603000164,1,50,1
"98",242,9,"stim/21.jpeg",2,"Music items",45,55,10,5.210000038,1,50,1
"99",244,9,"stim/31.jpeg",3,"Household items",65,75,80,4.063999891,1,70,1
"100",243,9,"stim/41.jpeg",4,"Household items",65,75,60,12.99699998,1,70,1
"101",241,9,"stim/51.jpeg",5,"Music items",5,15,90,16.76499987,1,10,1
"102",245,9,"stim/61.jpeg",6,"Household items",5,15,90,5.967999935,1,10,1
"103",583,9,"stim/11.jpeg",1,"Household items",45,55,10,6.220000029,2,50,1
"104",579,9,"stim/21.jpeg",2,"Music items",45,55,10,5.53399992,2,50,1
"105",581,9,"stim/31.jpeg",3,"Household items",65,75,60,6.552999973,2,70,1
"106",582,9,"stim/41.jpeg",4,"Household items",65,75,40,7.373000145,2,70,1
"107",580,9,"stim/51.jpeg",5,"Music items",5,15,90,4.898000002,2,10,1
"108",578,9,"stim/61.jpeg",6,"Household items",5,15,90,7.799000025,2,10,1
"109",243,10,"stim/11.jpeg",1,"Household items",45,55,50,3.635999918,1,50,1
"110",245,10,"stim/21.jpeg",2,"Music items",45,55,80,5.513000011,1,50,1
"111",241,10,"stim/31.jpeg",3,"Household items",65,75,12,7.542999983,1,70,1
"112",246,10,"stim/41.jpeg",4,"Household items",65,75,70,6.802000046,1,70,1
"113",242,10,"stim/51.jpeg",5,"Music items",5,15,80,6.088000059,1,10,1
"114",244,10,"stim/61.jpeg",6,"Household items",5,15,90,5.284000158,1,10,1
"115",581,10,"stim/11.jpeg",1,"Household items",45,55,40,7.417999983,2,50,1
"116",582,10,"stim/21.jpeg",2,"Music items",45,55,30,10.13700008,2,50,1
"117",579,10,"stim/31.jpeg",3,"Household items",65,75,20,10.20000005,2,70,1
"118",583,10,"stim/41.jpeg",4,"Household items",65,75,70,9.879000187,2,70,1
"119",578,10,"stim/51.jpeg",5,"Music items",5,15,90,8.444000006,2,10,1
"120",580,10,"stim/61.jpeg",6,"Household items",5,15,95,6.536999941,2,10,1
"121",245,11,"stim/11.jpeg",1,"Music items",45,55,10,5.101000071,1,50,1
"122",243,11,"stim/21.jpeg",2,"Household items",45,55,0,4.022000074,1,50,1
"123",246,11,"stim/31.jpeg",3,"Music items",65,75,90,6.042000055,1,70,1
"124",241,11,"stim/41.jpeg",4,"Music items",65,75,50,8.667999983,1,70,1
"125",242,11,"stim/51.jpeg",5,"Household items",5,15,100,8.885999918,1,10,1
"126",244,11,"stim/61.jpeg",6,"Music items",5,15,50,3.768000126,1,10,1
"127",579,11,"stim/11.jpeg",1,"Music items",45,55,0,4.717000008,2,50,1
"128",582,11,"stim/21.jpeg",2,"Household items",45,55,10,4.419000149,2,50,1
