"","X","participant","trialN","trial_cond","scn_file","scn_cat","scn_inst","scn_condition","fillers","obj_cat","obj_cat_num","obj_file","quadrant","corr_ans","key_resp_trial.keys","key_resp_trial.rt","trial_acc","trial_acc_manual","group"
"22517",324,70,317,0.5,"stim/11.jpeg",1,1,1,1,"HouseObjects",1,"stim/objects/HouseObjects/rubbergloves.png",4,"left","right",0.405999899,0,0,1
"22518",325,70,318,0.7,"stim/42.jpeg",4,2,2,2,"HouseObjects",1,"stim/objects/HouseObjects/ironingboard.png",1,"left","left",0.667999983,1,1,1
"22519",326,70,319,0.1,"stim/64.jpeg",6,4,3,1,"Instruments",2,"stim/objects/Instruments/xylophone2.png",4,"right","left",0.556999922,0,0,1
"22520",327,70,320,0.9,"stim/62.jpeg",6,2,3,2,"HouseObjects",1,"stim/objects/HouseObjects/pitcher.png",3,"left","left",0.505999804,1,1,1
"22521",328,70,321,0.5,"stim/14.jpeg",1,4,1,2,"Instruments",2,"stim/objects/Instruments/drums.png",2,"right","left",0.595999956,0,0,1
"22522",329,70,322,0.9,"stim/53.jpeg",5,3,3,1,"Instruments",2,"stim/objects/Instruments/marimba2.png",1,"right","right",0.465999842,1,1,1
"22523",330,70,323,0.7,"stim/44.jpeg",4,4,2,2,"HouseObjects",1,"stim/objects/HouseObjects/handvacuum.png",2,"left","left",0.66899991,1,1,1
"22524",331,70,324,0.9,"stim/52.jpeg",5,2,3,2,"Instruments",2,"stim/objects/Instruments/marimba.png",2,"right","right",0.444999933,1,1,1
"22525",332,70,325,0.9,"stim/63.jpeg",6,3,3,2,"HouseObjects",1,"stim/objects/HouseObjects/knife.png",4,"left","left",0.523000002,1,1,1
"22526",333,70,326,0.7,"stim/32.jpeg",3,2,2,1,"Instruments",2,"stim/objects/Instruments/xylophone.png",2,"right","right",0.493999958,1,1,1
"22527",334,70,327,0.9,"stim/61.jpeg",6,1,3,2,"HouseObjects",1,"stim/objects/HouseObjects/pitcher.png",2,"left","left",0.517999887,1,1,1
"22528",335,70,328,0.7,"stim/44.jpeg",4,4,2,2,"HouseObjects",1,"stim/objects/HouseObjects/iron.png",3,"left","left",0.47300005,1,1,1
"22529",336,70,329,0.9,"stim/64.jpeg",6,4,3,1,"HouseObjects",1,"stim/objects/HouseObjects/towel2.png",2,"left","left",0.518999815,1,1,1
"22530",337,70,330,0.9,"stim/62.jpeg",6,2,3,2,"HouseObjects",1,"stim/objects/HouseObjects/lintroller.png",3,"left","left",0.440000057,1,1,1
"22531",338,70,331,0.7,"stim/41.jpeg",4,1,2,1,"HouseObjects",1,"stim/objects/HouseObjects/garbagebin2.png",1,"left","left",0.482000113,1,1,1
"22532",339,70,332,0.7,"stim/32.jpeg",3,2,2,2,"Instruments",2,"stim/objects/Instruments/keyboard.png",3,"right","right",0.555999756,1,1,1
"22533",340,70,333,0.9,"stim/61.jpeg",6,1,3,2,"HouseObjects",1,"stim/objects/HouseObjects/lintroller.png",3,"left","left",0.475999832,1,1,1
"22534",341,70,334,0.9,"stim/54.jpeg",5,4,3,2,"Instruments",2,"stim/objects/Instruments/metronome.png",2,"right","right",0.494999886,1,1,1
"22535",342,70,335,0.7,"stim/41.jpeg",4,1,2,2,"HouseObjects",1,"stim/objects/HouseObjects/handbrush.png",2,"left","left",0.576999903,1,1,1
"22536",343,70,336,0.9,"stim/64.jpeg",6,4,3,2,"HouseObjects",1,"stim/objects/HouseObjects/pitcher.png",4,"left","left",0.521999836,1,1,1
"22537",344,70,337,0.9,"stim/62.jpeg",6,2,3,2,"HouseObjects",1,"stim/objects/HouseObjects/lintroller.png",2,"left","left",0.676999807,1,1,1
"22538",345,70,338,0.9,"stim/63.jpeg",6,3,3,2,"HouseObjects",1,"stim/objects/HouseObjects/knife.png",1,"left","left",0.467999935,1,1,1
"22539",346,70,339,0.9,"stim/63.jpeg",6,3,3,2,"HouseObjects",1,"stim/objects/HouseObjects/pitcher.png",4,"left","left",0.40199995,1,1,1
"22540",347,70,340,0.5,"stim/11.jpeg",1,1,1,2,"HouseObjects",1,"stim/objects/HouseObjects/coffee.png",2,"left","right",0.631000042,0,0,1
"22541",348,70,341,0.9,"stim/64.jpeg",6,4,3,2,"HouseObjects",1,"stim/objects/HouseObjects/knife.png",4,"left","left",0.444999933,1,1,1
"22542",349,70,342,0.9,"stim/54.jpeg",5,4,3,2,"Instruments",2,"stim/objects/Instruments/musicstand.png",3,"right","right",0.541000128,1,1,1
"22543",350,70,343,0.5,"stim/11.jpeg",1,1,1,2,"Instruments",2,"stim/objects/Instruments/electricdrumset.png",1,"right","right",0.421999931,1,1,1
"22544",351,70,344,0.9,"stim/63.jpeg",6,3,3,1,"HouseObjects",1,"stim/objects/HouseObjects/thread2.png",3,"left","left",0.454999924,1,1,1
"22545",352,70,345,0.9,"stim/63.jpeg",6,3,3,2,"HouseObjects",1,"stim/objects/HouseObjects/lintroller.png",4,"left","left",0.493999958,1,1,1
"22546",353,70,346,0.7,"stim/43.jpeg",4,3,2,2,"HouseObjects",1,"stim/objects/HouseObjects/iron.png",3,"left","left",0.585000038,1,1,1
