"","X","participant","iteration_index","scn_file","scn_cat","obj_cat_top","min_resp_top","max_resp_top","slider.response","slider.rt","rating_acc","corr_rat","group"
"61",749,3,3,"stim/11.jpeg",1,"Music items",45,55,50,3.338000059,1,50,1
"62",746,3,3,"stim/21.jpeg",2,"Household items",45,55,60,11.13300014,0,50,1
"63",748,3,3,"stim/31.jpeg",3,"Music items",65,75,41,6.011000156,0,70,1
"64",745,3,3,"stim/41.jpeg",4,"Music items",65,75,80,4.285000086,0,70,1
"65",750,3,3,"stim/51.jpeg",5,"Household items",5,15,97,3.768999815,1,10,1
"66",747,3,3,"stim/61.jpeg",6,"Music items",5,15,96,4.480000019,0,10,1
"67",995,3,4,"stim/11.jpeg",1,"Music items",45,55,70,6.243999958,0,50,1
"68",992,3,4,"stim/21.jpeg",2,"Household items",45,55,42,5.301000118,0,50,1
"69",996,3,4,"stim/31.jpeg",3,"Music items",65,75,58,6.454999924,0,70,1
"70",997,3,4,"stim/41.jpeg",4,"Music items",65,75,80,2.812999964,0,70,1
"71",993,3,4,"stim/51.jpeg",5,"Household items",5,15,88,3.006000042,0,10,1
"72",994,3,4,"stim/61.jpeg",6,"Music items",5,15,92,3.743000031,0,10,1
"73",252,4,1,"stim/11.jpeg",1,"Household items",45,55,31,7.786000013,0,50,1
"74",256,4,1,"stim/21.jpeg",2,"Music items",45,55,6,3.36500001,0,50,1
"75",254,4,1,"stim/31.jpeg",3,"Household items",65,75,31,3.619999886,0,70,1
"76",255,4,1,"stim/41.jpeg",4,"Household items",65,75,20,3.119999886,0,70,1
"77",253,4,1,"stim/51.jpeg",5,"Music items",5,15,65,5.092000008,0,10,1
"78",251,4,1,"stim/61.jpeg",6,"Household items",5,15,82,6.898000002,0,10,1
"79",500,4,2,"stim/11.jpeg",1,"Household items",45,55,15,3.924999952,0,50,1
"80",502,4,2,"stim/21.jpeg",2,"Music items",45,55,5,4.855000019,0,50,1
"81",501,4,2,"stim/31.jpeg",3,"Household items",65,75,43,5.380000114,0,70,1
"82",498,4,2,"stim/41.jpeg",4,"Household items",65,75,40,7.69900012,0,70,1
"83",499,4,2,"stim/51.jpeg",5,"Music items",5,15,65,8.822000027,0,10,1
"84",503,4,2,"stim/61.jpeg",6,"Household items",5,15,75,12.0480001,0,10,1
"85",745,4,3,"stim/11.jpeg",1,"Household items",45,55,5,5.185000181,0,50,1
"86",747,4,3,"stim/21.jpeg",2,"Music items",45,55,5,6.541000128,0,50,1
"87",746,4,3,"stim/31.jpeg",3,"Household items",65,75,53,5.009000063,0,70,1
"88",749,4,3,"stim/41.jpeg",4,"Household items",65,75,50,4.710000038,0,70,1
"89",748,4,3,"stim/51.jpeg",5,"Music items",5,15,65,5.888000011,0,10,1
"90",750,4,3,"stim/61.jpeg",6,"Household items",5,15,63,3.088000059,0,10,1
"91",996,4,4,"stim/11.jpeg",1,"Household items",45,55,10,4.542000055,0,50,1
"92",993,4,4,"stim/21.jpeg",2,"Music items",45,55,3,6.772000074,0,50,1
"93",994,4,4,"stim/31.jpeg",3,"Household items",65,75,40,3.245000124,0,70,1
"94",992,4,4,"stim/41.jpeg",4,"Household items",65,75,40,4.51699996,0,70,1
"95",997,4,4,"stim/51.jpeg",5,"Music items",5,15,20,3.109999895,0,10,1
"96",995,4,4,"stim/61.jpeg",6,"Household items",5,15,50,3.657999992,0,10,1
"97",255,5,1,"stim/11.jpeg",1,"Household items",45,55,68,9.626999855,0,50,1
"98",252,5,1,"stim/21.jpeg",2,"Music items",45,55,26,18.42799997,0,50,1
"99",254,5,1,"stim/31.jpeg",3,"Household items",65,75,79,5.888000011,0,70,1
"100",251,5,1,"stim/41.jpeg",4,"Household items",65,75,78,30.46099997,0,70,1
"101",253,5,1,"stim/51.jpeg",5,"Music items",5,15,86,5.839999914,0,10,1
"102",256,5,1,"stim/61.jpeg",6,"Household items",5,15,70,10.78200006,0,10,1
"103",499,5,2,"stim/11.jpeg",1,"Household items",45,55,65,12.80100012,0,50,1
"104",503,5,2,"stim/21.jpeg",2,"Music items",45,55,44,11.36000013,0,50,1
"105",500,5,2,"stim/31.jpeg",3,"Household items",65,75,16,8.463000059,0,70,1
"106",502,5,2,"stim/41.jpeg",4,"Household items",65,75,79,7.173999786,0,70,1
"107",501,5,2,"stim/51.jpeg",5,"Music items",5,15,90,5.905999899,0,10,1
"108",498,5,2,"stim/61.jpeg",6,"Household items",5,15,90,6.921000004,0,10,1
"109",749,5,3,"stim/11.jpeg",1,"Household items",45,55,53,14.86600018,2,50,1
"110",750,5,3,"stim/21.jpeg",2,"Music items",45,55,53,2.192000151,3,50,1
