"","obj_file","X.x","participant.x","trialN.x","trial_cond","scn_file.x","scn_cat","scn_inst","scn_condition","fillers","obj_cat","obj_cat_num","quadrant","corr_ans","key_resp_trial.keys","key_resp_trial.rt","trial_acc","trial_acc_manual","group.x","practice","X.y","participant.y","OvsN","PE_level","object_cat","scn_file.y","corr_scn_cat","corr_scn_inst","scn_file.1","corr_loc","key_resp_id.keys","key_resp_id.rt","key_resp_conf.keys","key_resp_assoc.keys","key_resp_assoc.rt","key_resp_loc.keys","key_resp_loc.rt","trialN.y","id_acc","assoc.acc","cond_assoc","loc.acc","cond_loc","group.y"
"560","stim/objects/Instruments/trombone2.png",492,67,485,0.1,"stim/43.jpeg",4,3,3,1,"Instruments",2,4,"right","left",0.541000128,0,0,1,0,33,67,1,0.1,2,"stim/43.jpeg",4,3,"stim/43.jpeg",4,"right",0.792999744,2,4,1.748999834,2,1.145999908,33,0,0,NA,0,NA,0
"339","stim/objects/HouseObjects/flyswatter.png",493,67,486,0.9,"stim/42.jpeg",4,2,3,2,"HouseObjects",1,2,"left","right",0.729999781,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"391","stim/objects/HouseObjects/sponge2.png",494,67,487,0.9,"stim/43.jpeg",4,3,3,1,"HouseObjects",1,4,"left","left",0.552000046,1,1,1,0,42,67,1,0.9,1,"stim/43.jpeg",4,3,"stim/43.jpeg",4,"left",1.391000032,4,1,1.736000061,4,3.404000044,42,1,0,0,1,1,0
"303","stim/objects/HouseObjects/doormat.png",495,67,488,0.9,"stim/43.jpeg",4,3,3,2,"HouseObjects",1,3,"left","left",0.654999971,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"437","stim/objects/Instruments/cymbal.png",496,67,489,0.7,"stim/11.jpeg",1,1,2,2,"Instruments",2,4,"right","right",0.513999939,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"499","stim/objects/Instruments/frenchhorn.png",497,67,490,0.9,"stim/34.jpeg",3,4,3,2,"Instruments",2,2,"right","",NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251","stim/objects/HouseObjects/basket.png",498,67,491,0.5,"stim/51.jpeg",5,1,1,2,"HouseObjects",1,1,"left","left",0.544000149,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269","stim/objects/HouseObjects/clock.png",499,67,492,0.5,"stim/64.jpeg",6,4,1,2,"HouseObjects",1,1,"left","right",0.529000044,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"533","stim/objects/Instruments/grandpiano.png",500,67,493,0.9,"stim/34.jpeg",3,4,3,2,"Instruments",2,4,"right","right",0.491999865,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267","stim/objects/HouseObjects/bucket2.png",501,67,494,0.7,"stim/23.jpeg",2,3,2,1,"HouseObjects",1,3,"left","left",0.565999985,1,1,1,0,178,67,1,0.7,1,"stim/23.jpeg",2,3,"stim/23.jpeg",3,"left",1.032999992,4,4,3.012999773,1,1.164999962,178,1,0,0,0,0,0
