"","participant","scn_file","scn_cat","obj_cat_top","min_resp_top","max_resp_top","slider.response","slider.rt","iteration_index","corr_rat","group"
"243",67,"stim/11.jpeg",1,"Household items",45,55,10,8.191999912,1,50,1
"245",67,"stim/21.jpeg",2,"Music items",45,55,10,11.39999986,1,50,1
"241",67,"stim/31.jpeg",3,"Household items",65,75,10,7.135999918,1,70,1
"246",67,"stim/41.jpeg",4,"Household items",65,75,100,4.342000008,1,70,1
"242",67,"stim/51.jpeg",5,"Music items",5,15,20,7.697000027,1,10,1
"244",67,"stim/61.jpeg",6,"Household items",5,15,10,10.70900011,1,10,1
"578",67,"stim/11.jpeg",1,"Household items",45,55,20,9.015000105,2,50,1
"581",67,"stim/21.jpeg",2,"Music items",45,55,10,4.509000063,2,50,1
"582",67,"stim/31.jpeg",3,"Household items",65,75,2,4.535000086,2,70,1
"583",67,"stim/41.jpeg",4,"Household items",65,75,100,3.350000143,2,70,1
"579",67,"stim/51.jpeg",5,"Music items",5,15,11,6.69900012,2,10,1
"580",67,"stim/61.jpeg",6,"Household items",5,15,40,6.480999947,2,10,1
