"","participant","scn_file","scn_cat","obj_cat_top","min_resp_top","max_resp_top","slider.response","slider.rt","iteration_index","corr_rat","group"
"246",76,"stim/11.jpeg",1,"Music items",45,55,9,8.111999989,1,50,1
"245",76,"stim/21.jpeg",2,"Household items",45,55,5,17.52100015,1,50,1
"242",76,"stim/31.jpeg",3,"Music items",65,75,65,6.884000063,1,70,1
"241",76,"stim/41.jpeg",4,"Music items",65,75,64,9.891000032,1,70,1
"244",76,"stim/51.jpeg",5,"Household items",5,15,80,6.038000107,1,10,1
"243",76,"stim/61.jpeg",6,"Music items",5,15,82,4.170000076,1,10,1
"578",76,"stim/11.jpeg",1,"Music items",45,55,14,9.029000044,2,50,1
"580",76,"stim/21.jpeg",2,"Household items",45,55,5,4.568000078,2,50,1
"579",76,"stim/31.jpeg",3,"Music items",65,75,32,3.552000046,2,70,1
"583",76,"stim/41.jpeg",4,"Music items",65,75,74,4.801999807,2,70,1
"581",76,"stim/51.jpeg",5,"Household items",5,15,76,11.93199992,2,10,1
"582",76,"stim/61.jpeg",6,"Music items",5,15,80,2.67200017,2,10,1
