"","participant","scn_file","scn_cat","obj_cat_top","min_resp_top","max_resp_top","slider.response","slider.rt","iteration_index","corr_rat","group"
"242",50,"stim/11.jpeg",1,"Household items",45,55,20,7.26699996,1,50,1
"246",50,"stim/21.jpeg",2,"Music items",45,55,60,6.133999825,1,50,1
"245",50,"stim/31.jpeg",3,"Household items",65,75,10,4.410999775,1,70,1
"244",50,"stim/41.jpeg",4,"Household items",65,75,90,11.48600006,1,70,1
"243",50,"stim/51.jpeg",5,"Music items",5,15,80,9.667999983,1,10,1
"241",50,"stim/61.jpeg",6,"Household items",5,15,90,5.268000126,1,10,1
"581",50,"stim/11.jpeg",1,"Household items",45,55,20,3.228999853,2,50,1
"583",50,"stim/21.jpeg",2,"Music items",45,55,70,5.382999897,2,50,1
"579",50,"stim/31.jpeg",3,"Household items",65,75,70,3.368000031,2,70,1
"580",50,"stim/41.jpeg",4,"Household items",65,75,80,3.480999947,2,70,1
"582",50,"stim/51.jpeg",5,"Music items",5,15,80,9.878000021,2,10,1
"578",50,"stim/61.jpeg",6,"Household items",5,15,90,21.65700006,2,10,1
