"","participant","scn_file","scn_cat","obj_cat_top","min_resp_top","max_resp_top","slider.response","slider.rt","iteration_index","corr_rat","group"
"242",18,"stim/11.jpeg",1,"Music items",45,55,11,9.42200017,1,50,1
"246",18,"stim/21.jpeg",2,"Household items",45,55,59,9.84800005,1,50,1
"241",18,"stim/31.jpeg",3,"Music items",65,75,24,22.61999989,1,70,1
"243",18,"stim/41.jpeg",4,"Music items",65,75,100,6.320000172,1,70,1
"245",18,"stim/51.jpeg",5,"Household items",5,15,92,6.917999983,1,10,1
"244",18,"stim/61.jpeg",6,"Music items",5,15,90,7.889999866,1,10,1
"580",18,"stim/11.jpeg",1,"Music items",45,55,48,12.81399989,2,50,1
"581",18,"stim/21.jpeg",2,"Household items",45,55,45,11.12100005,2,50,1
"578",18,"stim/31.jpeg",3,"Music items",65,75,87,11.44199991,2,70,1
"582",18,"stim/41.jpeg",4,"Music items",65,75,96,10.76300001,2,70,1
"583",18,"stim/51.jpeg",5,"Household items",5,15,96,7.666999817,2,10,1
"579",18,"stim/61.jpeg",6,"Music items",5,15,99,11.12699986,2,10,1
