"","participant","scn_file","scn_cat","obj_cat_top","min_resp_top","max_resp_top","slider.response","slider.rt","iteration_index","corr_rat","group"
"244",79,"stim/11.jpeg",1,"Household items",45,55,12,4.196000099,1,50,1
"245",79,"stim/21.jpeg",2,"Music items",45,55,96,3.351000071,1,50,1
"246",79,"stim/31.jpeg",3,"Household items",65,75,82,2.030999899,1,70,1
"241",79,"stim/41.jpeg",4,"Household items",65,75,78,17.61400008,1,70,1
"242",79,"stim/51.jpeg",5,"Music items",5,15,82,9.39199996,1,10,1
"243",79,"stim/61.jpeg",6,"Household items",5,15,69,3.525000095,1,10,1
"582",79,"stim/11.jpeg",1,"Household items",45,55,8,3.476999998,2,50,1
"578",79,"stim/21.jpeg",2,"Music items",45,55,20,6.845000029,2,50,1
"579",79,"stim/31.jpeg",3,"Household items",65,75,71,4.884000063,2,70,1
"583",79,"stim/41.jpeg",4,"Household items",65,75,20,2.515000105,2,70,1
"580",79,"stim/51.jpeg",5,"Music items",5,15,60,2.583999872,2,10,1
"581",79,"stim/61.jpeg",6,"Household items",5,15,83,3.190999985,2,10,1
