"","participant","scn_file","scn_cat","obj_cat_top","min_resp_top","max_resp_top","slider.response","slider.rt","iteration_index","corr_rat","group"
"246",9,"stim/11.jpeg",1,"Household items",45,55,10,6.603000164,1,50,1
"242",9,"stim/21.jpeg",2,"Music items",45,55,10,5.210000038,1,50,1
"244",9,"stim/31.jpeg",3,"Household items",65,75,80,4.063999891,1,70,1
"243",9,"stim/41.jpeg",4,"Household items",65,75,60,12.99699998,1,70,1
"241",9,"stim/51.jpeg",5,"Music items",5,15,90,16.76499987,1,10,1
"245",9,"stim/61.jpeg",6,"Household items",5,15,90,5.967999935,1,10,1
"583",9,"stim/11.jpeg",1,"Household items",45,55,10,6.220000029,2,50,1
"579",9,"stim/21.jpeg",2,"Music items",45,55,10,5.53399992,2,50,1
"581",9,"stim/31.jpeg",3,"Household items",65,75,60,6.552999973,2,70,1
"582",9,"stim/41.jpeg",4,"Household items",65,75,40,7.373000145,2,70,1
"580",9,"stim/51.jpeg",5,"Music items",5,15,90,4.898000002,2,10,1
"578",9,"stim/61.jpeg",6,"Household items",5,15,90,7.799000025,2,10,1
