"","participant","OvsN","PE_level","object_cat","obj_file","scn_file","corr_scn_cat","corr_scn_inst","scn_file.1","corr_loc","key_resp_id.keys","key_resp_id.rt","key_resp_conf.keys","key_resp_assoc.keys","key_resp_assoc.rt","key_resp_loc.keys","key_resp_loc.rt","trialN","id_acc","assoc.acc","cond_assoc","loc.acc","cond_loc","group"
"1",73,1,0.1,1,"stim/objects/Instruments/flute4.png","stim/51.jpeg",5,1,"stim/51.jpeg",3,"right",1.235999823,4,4,13.26399994,4,1.406000137,1,0,0,NA,0,NA,0
"2",73,1,0.1,1,"stim/objects/Instruments/guitarcase4.png","stim/52.jpeg",5,2,"stim/52.jpeg",2,"right",1.055999994,3,2,5.414999962,2,1.484999895,2,0,1,NA,1,NA,0
"3",73,2,0,1,"stim/objects/Instruments/vuvuzela.png","",0,0,"",0,"right",3.247999907,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,0
"4",73,2,0,2,"stim/objects/HouseObjects/cushion2.png","",0,0,"",0,"right",6.486000061,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,0
"5",73,2,0,1,"stim/objects/Instruments/acousticguitar.png","",0,0,"",0,"right",5.321000099,NA,NA,NA,NA,NA,5,1,NA,NA,NA,NA,0
"6",73,2,0,2,"stim/objects/HouseObjects/bottle2.png","",0,0,"",0,"right",1.013999939,NA,NA,NA,NA,NA,6,1,NA,NA,NA,NA,0
"7",73,1,0.3,2,"stim/objects/HouseObjects/clothespin4.png","stim/44.jpeg",4,4,"stim/44.jpeg",4,"left",1.042999983,4,3,8.691999912,3,1.223999977,7,1,0,0,0,0,0
"8",73,1,0.7,2,"stim/objects/HouseObjects/ashtray4.png","stim/33.jpeg",3,3,"stim/33.jpeg",1,"left",1.573999882,4,3,2.641000032,4,2.411000013,8,1,1,1,0,0,0
"9",73,2,0,2,"stim/objects/HouseObjects/glassmop.png","",0,0,"",0,"right",1.438999891,NA,NA,NA,NA,NA,9,1,NA,NA,NA,NA,0
"10",73,2,0,1,"stim/objects/Instruments/marimba.png","",0,0,"",0,"right",1.753999949,NA,NA,NA,NA,NA,10,1,NA,NA,NA,NA,0
"11",73,2,0,2,"stim/objects/HouseObjects/doormat.png","",0,0,"",0,"left",2.386999846,NA,NA,NA,NA,NA,11,0,NA,NA,NA,NA,0
"12",73,2,0,1,"stim/objects/Instruments/balalaika.png","",0,0,"",0,"right",2.824999809,NA,NA,NA,NA,NA,12,1,NA,NA,NA,NA,0
"13",73,1,0.9,2,"stim/objects/HouseObjects/handbrush4.png","stim/52.jpeg",5,2,"stim/52.jpeg",1,"right",0.809000015,4,4,1.367000103,3,7.226999998,13,0,0,NA,0,NA,0
"14",73,2,0,2,"stim/objects/HouseObjects/towel.png","",0,0,"",0,"right",1.575000048,NA,NA,NA,NA,NA,14,1,NA,NA,NA,NA,0
"15",73,2,0,2,"stim/objects/HouseObjects/dustpan.png","",0,0,"",0,"right",3.085999966,NA,NA,NA,NA,NA,15,1,NA,NA,NA,NA,0
"16",73,1,0.5,2,"stim/objects/Instruments/musicsheet3.png","stim/21.jpeg",2,1,"stim/21.jpeg",1,"right",0.888000011,4,4,0.707999945,4,0.859999895,16,0,0,NA,0,NA,0
"17",73,2,0,2,"stim/objects/HouseObjects/broom2.png","",0,0,"",0,"right",4.530999899,NA,NA,NA,NA,NA,17,1,NA,NA,NA,NA,0
"18",73,2,0,2,"stim/objects/HouseObjects/barbecuelighter.png","",0,0,"",0,"right",1.345999956,NA,NA,NA,NA,NA,18,1,NA,NA,NA,NA,0
"19",73,2,0,1,"stim/objects/Instruments/bassguitar.png","",0,0,"",0,"right",1.049000025,NA,NA,NA,NA,NA,19,1,NA,NA,NA,NA,0
"20",73,1,0.5,1,"stim/objects/HouseObjects/iron3.png","stim/12.jpeg",1,2,"stim/12.jpeg",2,"right",1.65199995,4,4,0.963000059,4,0.746999979,20,0,0,NA,0,NA,0
"21",73,2,0,1,"stim/objects/Instruments/chime.png","",0,0,"",0,"right",1.278000116,NA,NA,NA,NA,NA,21,1,NA,NA,NA,NA,0
"22",73,2,0,2,"stim/objects/HouseObjects/ashtray2.png","",0,0,"",0,"right",1.220999956,NA,NA,NA,NA,NA,22,1,NA,NA,NA,NA,0
"23",73,2,0,1,"stim/objects/Instruments/harp.png","",0,0,"",0,"left",0.854000092,NA,NA,NA,NA,NA,23,0,NA,NA,NA,NA,0
"24",73,2,0,2,"stim/objects/HouseObjects/clothesdryingrack2.png","",0,0,"",0,"right",1.77699995,NA,NA,NA,NA,NA,24,1,NA,NA,NA,NA,0
"25",73,1,0.1,2,"stim/objects/HouseObjects/wateringcan4.png","stim/64.jpeg",6,4,"stim/64.jpeg",2,"left",1.648999929,3,4,2.424999952,4,0.72300005,25,1,1,1,0,0,0
"26",73,1,0.3,1,"stim/objects/Instruments/balalaika4.png","stim/34.jpeg",3,4,"stim/34.jpeg",2,"right",2.275000095,2,3,5.400000095,4,0,26,0,0,NA,0,NA,0
"27",73,1,0.1,2,"stim/objects/HouseObjects/pan4.png","stim/64.jpeg",6,4,"stim/64.jpeg",2,"right",5.063999891,3,3,2.246999979,4,1.422999859,27,0,0,NA,0,NA,0
"28",73,1,0.3,2,"stim/objects/HouseObjects/bucket4.png","stim/41.jpeg",4,1,"stim/41.jpeg",1,"right",1.977999926,2,2,0.546000004,4,2.132999897,28,0,0,NA,0,NA,0
"29",73,2,0,2,"stim/objects/HouseObjects/bucket.png","",0,0,"",0,"right",1.539000034,NA,NA,NA,NA,NA,29,1,NA,NA,NA,NA,0
"30",73,2,0,2,"stim/objects/HouseObjects/ironingboard.png","",0,0,"",0,"right",1.197999954,NA,NA,NA,NA,NA,30,1,NA,NA,NA,NA,0
"31",73,1,0.9,2,"stim/objects/HouseObjects/hairdryer4.png","stim/51.jpeg",5,1,"stim/51.jpeg",4,"right",1.042999983,2,3,4.406999826,1,2.397000074,31,0,0,NA,0,NA,0
"32",73,2,0,2,"stim/objects/HouseObjects/broom.png","",0,0,"",0,"right",2.148000002,NA,NA,NA,NA,NA,32,1,NA,NA,NA,NA,0
"33",73,1,0.3,1,"stim/objects/Instruments/banjo4.png","stim/31.jpeg",3,1,"stim/31.jpeg",3,"right",1.055000067,3,4,1.414999962,4,1.276000023,33,0,0,NA,0,NA,0
"34",73,1,0.9,1,"stim/objects/Instruments/maraca4.png","stim/62.jpeg",6,2,"stim/62.jpeg",4,"left",1.792999983,3,3,3.809000015,1,2.198999882,34,1,0,0,0,0,0
"35",73,2,0,1,"stim/objects/Instruments/clarinet2.png","",0,0,"",0,"left",1.944000006,NA,NA,NA,NA,NA,35,0,NA,NA,NA,NA,0
"36",73,2,0,2,"stim/objects/HouseObjects/clothespin2.png","",0,0,"",0,"right",2.134000063,NA,NA,NA,NA,NA,36,1,NA,NA,NA,NA,0
"37",73,2,0,2,"stim/objects/HouseObjects/blender.png","",0,0,"",0,"right",1.838999987,NA,NA,NA,NA,NA,37,1,NA,NA,NA,NA,0
"38",73,1,0.3,1,"stim/objects/Instruments/oboe3.png","stim/32.jpeg",3,2,"stim/32.jpeg",4,"left",1.79399991,3,4,2.595999956,2,1.46600008,38,1,0,0,0,0,0
"39",73,1,0.9,2,"stim/objects/HouseObjects/garbagebin4.png","stim/52.jpeg",5,2,"stim/52.jpeg",1,"right",1.354999781,3,1,2.49000001,4,3.798000097,39,0,0,NA,0,NA,0
