"","participant","scn_file","scn_cat","obj_cat_top","min_resp_top","max_resp_top","slider.response","slider.rt","iteration_index","corr_rat","group"
"246",78,"stim/11.jpeg",1,"Music items",45,55,50,3.908000231,1,50,1
"243",78,"stim/21.jpeg",2,"Household items",45,55,60,7.071000099,1,50,1
"244",78,"stim/31.jpeg",3,"Music items",65,75,20,5.84800005,1,70,1
"242",78,"stim/41.jpeg",4,"Music items",65,75,90,4.07400012,1,70,1
"241",78,"stim/51.jpeg",5,"Household items",5,15,97,8.756999969,1,10,1
"245",78,"stim/61.jpeg",6,"Music items",5,15,97,3.59100008,1,10,1
"578",78,"stim/11.jpeg",1,"Music items",45,55,40,6.337000132,2,50,1
"580",78,"stim/21.jpeg",2,"Household items",45,55,50,4.486000061,2,50,1
"581",78,"stim/31.jpeg",3,"Music items",65,75,10,7.022000074,2,70,1
"583",78,"stim/41.jpeg",4,"Music items",65,75,95,6.571000099,2,70,1
"582",78,"stim/51.jpeg",5,"Household items",5,15,80,3.059000015,2,10,1
"579",78,"stim/61.jpeg",6,"Music items",5,15,80,3.233999968,2,10,1
