"PartNum","alpha","beta","BIC","LogLikel"
1,0.014234542512878,3.25700230458872,294.569563140014,-140.939145209178
2,0,6.3297136692327,115.113867551794,-51.2112974150682
3,0,2.89477980330085,333.246363026473,-160.277545152408
4,0.00894385338765556,5.72333876298958,127.393364159653,-57.3510457189979
5,0,3.27328399805842,306.301228989074,-146.804978133708
6,0.0524779866284965,5.5882939419405,133.759000146959,-60.5338637126511
7,0.0119260778648654,3.54637914234082,262.072952340744,-124.690839809543
8,0.0311382262732126,2.194363060821,414.294874940805,-200.801801109574
9,0.0732643172322113,4.41678679356744,189.846951073133,-88.577839175738
10,0.135408990440102,3.66784360518367,246.892540155289,-117.100633716816
11,0.00435528230570159,5.75775407367258,138.404853999095,-62.8567906387188
12,0.0406755744327736,4.54558258999478,199.29733275437,-93.3030300163563
13,0.0256899389225334,3.56924309082066,267.384022437939,-127.346374858141
14,0.000934186436820992,3.31869942189027,327.956967015738,-157.632847147041
15,0.00432461053509222,5.67342387772922,151.685633566591,-69.4971804224668
16,0,2.81693600260454,319.0441386455,-153.176432961921
17,0.0981216287794874,3.7529343054812,249.849565400685,-118.579146339514
18,0.000368677680056903,2.5801919273046,363.997170355968,-175.652948817156
19,0.0512579435017361,6.94746362819521,102.357017738244,-44.8328725082935
20,0.0110690906693144,4.11635196204372,209.656362637921,-98.482544958132
21,0.0147655578491275,2.61344715268672,360.837201380088,-174.072964329216
22,0.0253098355671997,5.53788772153987,142.31014904941,-64.8094381638765
23,0.122161444701645,2.20472260747527,412.9685704184,-200.138648848371
24,0,10,167.108665385834,-77.2086963320883
25,0.0137963283786778,4.49859154404585,205.003492517778,-96.1561098980605
26,0.0360013370445605,3.18698029150215,310.871053205414,-149.089890241878
27,0,4.31715480202362,191.853925233928,-89.5813262561355
28,0.600106011550376,0.279782085562525,70.3922413090425,-28.8504842936927
29,0,3.69794191989187,245.380917770105,-116.344822524224
30,0,8.85066754962621,104.192179887176,-45.7504535827593
31,0,2.95382281161779,337.141632999622,-162.225180138982
32,0.0590750916409469,2.62627816357123,376.016120854608,-181.662424066475
33,0.0717307831730582,1.80804177154433,452.928215318341,-220.118471298342
34,0.121308254327745,3.98438166761726,238.626525595023,-112.967626436683
35,0.0250224319632712,2.04526509474596,431.887104840251,-209.597916059297
36,0.0123437753699367,4.36323498636457,210.877010606854,-99.0928689425985
37,0,1.8621051264746,465.437354460126,-226.373040869234
38,0.0312724382185809,4.81890894836597,172.789409118973,-80.049068198658
39,0.0352999577144203,3.12310364608714,355.971564098895,-171.640145688619
40,0.0852348401145883,2.63540869376221,367.748401355832,-177.528564317087
41,0,6.9153643817795,257.460235182724,-122.384481230533
42,0.114028698095359,0,603.252670558731,-295.280698918537
43,0.153834204171612,1.91186482585236,450.949818095696,-219.129272687019
44,0.0145476464811225,3.25932028190345,316.726445213023,-152.017586245683
45,0.0422248290687275,3.93504391154345,247.029947143041,-117.169337210692
47,0.0665892379375352,3.44506061660213,285.774669583338,-136.541698430841
48,0.0374443328551239,5.67509099159079,152.200062814438,-69.7543950463905
49,0.0732779039580649,2.38528052680777,388.845411702829,-188.077069490586
50,0.0966620491021682,1.61989505999528,475.784057239993,-231.546392259168
51,0.0247238744963887,3.45576455002359,284.441697391591,-135.875212334967
52,0.0514982407764375,2.32577973796533,394.556961666156,-190.932844472249
53,0,3.4945441237087,266.520623063356,-126.91467517085
54,0,6.82382703987883,110.748690080099,-49.0287086792209
55,0.349870765664808,1.20458443480573,473.262337645778,-230.28553246206
56,0.0176077813147026,2.55366057566455,375.204286045445,-181.256506661894
57,0.0992736472252498,2.75828753142247,341.386550588943,-164.347638933643
58,0.0149780490435023,2.98199680676232,314.745594608418,-151.027160943381
59,0.0165533462751142,4.00111619182962,237.106027148484,-112.207377213414
60,0,3.12512213262698,320.569688960062,-153.939208119202
61,0.0498446447016391,0.899930020497058,527.770333119922,-257.539530199132
62,0,0.0196084760657207,578.260155744059,-282.784441511201
63,0.0370891810126243,2.64295259866882,346.883246607524,-167.095986942934
64,0,4.65790841377188,189.433822376952,-88.3712748276473
65,0.00847612404007651,2.58193676304344,419.186700769993,-203.247714024168
66,0,4.55057179884631,193.86952694058,-90.5891271094616
67,0.111886974416967,4.31804797750169,214.046485387841,-100.677606333092
68,0.653991473299549,0.369573204584517,577.889434508052,-282.599080893197
69,0.00881568708354425,2.63911095943317,369.554598761603,-178.431663019973
70,0.0155190846884527,5.10777207131181,164.635368611441,-75.9720479448919
71,0.000314530943751173,3.77186044270839,243.280177328524,-115.294452303433
72,0,6.20545783798426,109.752241430525,-48.530484354434
73,0.0182986724733971,3.47344064105293,291.369433382675,-139.339080330509
74,0,1.00756832756062,540.901332370979,-264.105029824661
75,0.151275099059232,3.84663454240159,229.981947721875,-108.645337500109
76,0.0125701504982911,4.58686580189797,208.934160414404,-98.1214438463732
77,0.0351889449182303,3.20049110980934,306.105478799441,-146.707103038892
78,0.0419737420421446,4.29129188891147,201.151028660571,-94.2298779694568
79,0.0742276394824132,1.02796476222585,543.257867491588,-265.283297384965
80,0.0121832825637587,3.53512866296088,277.184808316819,-132.246767797581
