"PartNum","alpha","beta","BIC","LogLikel"
1,NA,3.31331699611763,751.724781950455,-372.195879468034
2,NA,4.59397368333973,511.920840665568,-252.293908825591
3,NA,2.52737273670598,957.099623646245,-474.883300315929
4,NA,3.79304110914329,678.423762651759,-335.545369818686
5,NA,3.13493287233587,767.370544850246,-380.01876091793
6,NA,4.93795677224947,455.020850219531,-223.843913602572
7,NA,3.75852147735491,672.286038761415,-332.476507873514
8,NA,2.7476843887212,916.362260943871,-454.514618964742
9,NA,3.18413526340663,757.262937885507,-374.96495743556
10,NA,3.55721791363802,702.781764575346,-347.72437078048
11,NA,4.5804361371153,540.566823386832,-266.616900186223
12,NA,3.66957972665161,680.16034101046,-336.413658998037
13,NA,3.43019052351497,715.855306959439,-354.261141972526
14,NA,2.20785760771047,1063.5771039533,-528.122040469458
15,NA,5.16356169335253,438.62749360042,-215.647235293017
16,NA,2.63473148641828,931.945564693585,-462.306270839599
17,NA,2.49879030674961,974.687259865412,-483.677118425513
18,NA,2.82442954969172,875.333913044759,-434.000445015186
19,NA,5.0759250409912,423.361485668953,-208.014231327284
20,NA,4.31512949025805,560.207347267257,-276.437162126435
21,NA,2.11866940778024,1078.22350246828,-535.445239726947
22,NA,4.07823330892453,598.43169403754,-295.549335511577
23,NA,1.67641893979961,1098.87413911272,-545.770558049166
24,NA,3.02029917928989,873.108527730596,-432.887752358105
25,NA,3.69656509868732,702.422140467133,-347.544558726373
26,NA,2.54627749070949,957.978720603654,-475.322848794634
27,NA,4.14626894962461,582.941329675112,-287.804153330363
28,NA,2.95015299733218,542.158832858405,-267.412904922009
29,NA,3.74166705426441,682.994905375388,-337.830941180501
30,NA,4.04121911327278,620.608450489333,-306.637713737473
31,NA,2.44522063251581,1007.64022386938,-500.153600427498
32,NA,1.61020300851391,1218.53793363994,-605.602455312776
33,NA,2.37796425012894,1001.74361363124,-497.205295308427
34,NA,2.76958984186201,901.017830627362,-446.842403806488
35,NA,2.34044274961287,1027.12120710235,-509.894092043981
36,NA,3.3167517822757,791.052013583032,-391.859495284323
37,NA,1.95758393363571,1119.31243309022,-555.989705037916
38,NA,4.43548992576874,542.388297012947,-267.52763699928
39,NA,1.30173156516344,1288.39602885098,-640.531502918296
40,NA,2.29075208315479,1040.45460127821,-516.560789131912
41,NA,1.90510412819302,1110.77324418311,-551.720110584364
42,NA,0.0115828906113218,1472.62996698729,-732.648471986452
43,NA,1.92153940599546,1130.1683450194,-561.417661002504
44,NA,2.64805010282647,935.027884244871,-463.847430615242
45,NA,3.4326075342175,738.791978093102,-365.729477539358
47,NA,3.58750506018732,693.360344999077,-343.013660992345
48,NA,3.90349210314782,653.531085333132,-323.099031159373
49,NA,2.84706718225129,871.250020763964,-431.958498874789
50,NA,1.19380410406567,1301.67068221589,-647.168829600751
51,NA,2.67374533447504,920.062650108646,-456.36481354713
52,NA,1.87059274408826,1136.13680520748,-564.401891096547
53,NA,3.1091331243072,789.849721483078,-391.258349234346
54,NA,4.79238812375917,469.260379258274,-230.963678121944
55,NA,0.942321218791662,1321.19946478724,-656.933220886428
56,NA,3.02536460589887,846.889719799291,-419.778348392452
57,NA,2.77841171417929,895.285981448866,-443.97647921724
58,NA,2.07226372160003,1080.93667604354,-536.801826514577
59,NA,3.26284047039829,790.895978862274,-391.781477923944
60,NA,3.18004484888932,798.154070286112,-395.410523635863
61,NA,0.784355820464132,1352.15930440516,-672.413140695386
62,NA,0.0316719767579746,1446.19380324855,-719.430390117081
63,NA,2.03786610691094,1090.34866604643,-541.507821516021
64,NA,4.7309415742462,525.980201298298,-259.323589141956
65,NA,1.51011478456397,1225.08371566236,-608.875346323985
66,NA,3.97915361791182,637.132788329178,-314.899882657396
67,NA,3.10145641137348,811.73425889879,-402.200617942202
68,NA,0.558790528384403,1419.36667796558,-706.016827475598
69,NA,2.68805509141966,902.450129076739,-447.558553031176
70,NA,4.61156956387392,532.383143471923,-262.525060228768
71,NA,3.28773934796942,777.496447070156,-385.081712027885
72,NA,4.29809048219792,541.526610298056,-267.096793641835
73,NA,2.62851200430508,934.186034265324,-463.426505625469
74,NA,0.732483781278876,1400.5049613288,-696.585969157205
75,NA,2.79799830053334,827.973654593864,-410.320315789739
76,NA,3.14896082762294,829.36247854499,-411.014727765302
77,NA,2.33736995192489,1025.20156933794,-508.934273161776
78,NA,3.04013167260071,823.697195613077,-408.182086299345
79,NA,1.38959098564764,1284.55740490636,-638.612190945988
80,NA,3.52637340857572,705.688014559126,-349.17749577237
