"","participant","scn_file","scn_cat","obj_cat_top","min_resp_top","max_resp_top","slider.response","slider.rt","iteration_index","corr_rat","group"
"244",35,"stim/11.jpeg",1,"Household items",45,55,50,3.167000055,1,50,1
"245",35,"stim/21.jpeg",2,"Music items",45,55,50,1.930000067,1,50,1
"242",35,"stim/31.jpeg",3,"Household items",65,75,36,3.83100009,1,70,1
"243",35,"stim/41.jpeg",4,"Household items",65,75,73,5.020999908,1,70,1
"246",35,"stim/51.jpeg",5,"Music items",5,15,85,4.74000001,1,10,1
"241",35,"stim/61.jpeg",6,"Household items",5,15,81,4.947999954,1,10,1
"582",35,"stim/11.jpeg",1,"Household items",45,55,52,3.503999949,2,50,1
"578",35,"stim/21.jpeg",2,"Music items",45,55,39,5.509000063,2,50,1
"579",35,"stim/31.jpeg",3,"Household items",65,75,59,2.981000185,2,70,1
"583",35,"stim/41.jpeg",4,"Household items",65,75,60,4.03399992,2,70,1
"581",35,"stim/51.jpeg",5,"Music items",5,15,89,3.667000055,2,10,1
"580",35,"stim/61.jpeg",6,"Household items",5,15,90,5.105999947,2,10,1
