"","participant","scn_file","scn_cat","obj_cat_top","min_resp_top","max_resp_top","slider.response","slider.rt","iteration_index","corr_rat","group"
"242",31,"stim/11.jpeg",1,"Music items",45,55,10,4.375999928,1,50,1
"244",31,"stim/21.jpeg",2,"Household items",45,55,10,5.945999861,1,50,1
"243",31,"stim/31.jpeg",3,"Music items",65,75,70,7.812000036,1,70,1
"245",31,"stim/41.jpeg",4,"Music items",65,75,38,4.046000004,1,70,1
"241",31,"stim/51.jpeg",5,"Household items",5,15,80,6.351999998,1,10,1
"246",31,"stim/61.jpeg",6,"Music items",5,15,76,4.864000082,1,10,1
"579",31,"stim/11.jpeg",1,"Music items",45,55,10,4.792000055,2,50,1
"583",31,"stim/21.jpeg",2,"Household items",45,55,20,5.27699995,2,50,1
"582",31,"stim/31.jpeg",3,"Music items",65,75,70,6.394000053,2,70,1
"581",31,"stim/41.jpeg",4,"Music items",65,75,30,5.065999985,2,70,1
"580",31,"stim/51.jpeg",5,"Household items",5,15,80,5.727999926,2,10,1
"578",31,"stim/61.jpeg",6,"Music items",5,15,71,4.501999855,2,10,1
