"","participant","scn_file","scn_cat","obj_cat_top","min_resp_top","max_resp_top","slider.response","slider.rt","iteration_index","corr_rat","group"
"244",47,"stim/11.jpeg",1,"Household items",45,55,30,7.354000092,1,50,1
"241",47,"stim/21.jpeg",2,"Music items",45,55,10,7.343000174,1,50,1
"245",47,"stim/31.jpeg",3,"Household items",65,75,10,7.236999989,1,70,1
"242",47,"stim/41.jpeg",4,"Household items",65,75,90,5.867000103,1,70,1
"243",47,"stim/51.jpeg",5,"Music items",5,15,60,4.432999849,1,10,1
"246",47,"stim/61.jpeg",6,"Household items",5,15,50,4.066999912,1,10,1
"581",47,"stim/11.jpeg",1,"Household items",45,55,60,7.069000006,2,50,1
"583",47,"stim/21.jpeg",2,"Music items",45,55,4,4.983999968,2,50,1
"578",47,"stim/31.jpeg",3,"Household items",65,75,10,6.41899991,2,70,1
"582",47,"stim/41.jpeg",4,"Household items",65,75,85,8.010999918,2,70,1
"579",47,"stim/51.jpeg",5,"Music items",5,15,30,6.801000118,2,10,1
"580",47,"stim/61.jpeg",6,"Household items",5,15,50,5.118000031,2,10,1
