"","participant","scn_file","scn_cat","obj_cat_top","min_resp_top","max_resp_top","slider.response","slider.rt","iteration_index","corr_rat","group"
"246",45,"stim/11.jpeg",1,"Household items",45,55,48,5.881000042,1,50,1
"244",45,"stim/21.jpeg",2,"Music items",45,55,35,7.796000004,1,50,1
"241",45,"stim/31.jpeg",3,"Household items",65,75,33,5.548000097,1,70,1
"243",45,"stim/41.jpeg",4,"Household items",65,75,60,4.082999945,1,70,1
"242",45,"stim/51.jpeg",5,"Music items",5,15,87,4.095000029,1,10,1
"245",45,"stim/61.jpeg",6,"Household items",5,15,91,4.74000001,1,10,1
"579",45,"stim/11.jpeg",1,"Household items",45,55,50,6.529999971,2,50,1
"582",45,"stim/21.jpeg",2,"Music items",45,55,40,8.378999949,2,50,1
"578",45,"stim/31.jpeg",3,"Household items",65,75,39,6.460000038,2,70,1
"580",45,"stim/41.jpeg",4,"Household items",65,75,60,3.890000105,2,70,1
"583",45,"stim/51.jpeg",5,"Music items",5,15,80,5.032000065,2,10,1
"581",45,"stim/61.jpeg",6,"Household items",5,15,75,4.583999872,2,10,1
