"","participant","OvsN","PE_level","object_cat","obj_file","scn_file","corr_scn_cat","corr_scn_inst","scn_file.1","corr_loc","key_resp_id.keys","key_resp_id.rt","key_resp_conf.keys","key_resp_assoc.keys","key_resp_assoc.rt","key_resp_loc.keys","key_resp_loc.rt","trialN","id_acc","assoc.acc","cond_assoc","loc.acc","cond_loc","group"
"1",27,1,0.9,2,"stim/objects/Instruments/saxophone2.png","stim/34.jpeg",3,4,"stim/34.jpeg",2,"left",0.587999821,4,3,8.450000048,2,2.523999929,1,1,0,0,1,1,1
"2",27,2,0,2,"stim/objects/Instruments/bassguitar3.png","",0,0,"",0,"left",2.187000036,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,1
"3",27,2,0,2,"stim/objects/Instruments/flute3.png","",0,0,"",0,"left",0.993999958,NA,NA,NA,NA,NA,3,0,NA,NA,NA,NA,1
"4",27,2,0,1,"stim/objects/HouseObjects/handbrush3.png","",0,0,"",0,"right",2.628999949,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,1
"5",27,2,0,1,"stim/objects/HouseObjects/blender4.png","",0,0,"",0,"right",2.469000101,NA,NA,NA,NA,NA,5,1,NA,NA,NA,NA,1
"6",27,2,0,2,"stim/objects/Instruments/electricdrumset4.png","",0,0,"",0,"left",0.911000013,NA,NA,NA,NA,NA,6,0,NA,NA,NA,NA,1
"7",27,1,0.9,2,"stim/objects/Instruments/hihat2.png","stim/33.jpeg",3,3,"stim/33.jpeg",3,"left",1.015000105,4,2,4.202000141,4,2.226999998,7,1,0,0,0,0,1
"8",27,1,0.9,2,"stim/objects/Instruments/gong2.png","stim/32.jpeg",3,2,"stim/32.jpeg",2,"left",1.070000172,4,4,2.583999872,3,2.325999975,8,1,0,0,0,0,1
"9",27,2,0,1,"stim/objects/HouseObjects/dustpan3.png","",0,0,"",0,"right",1.352999926,NA,NA,NA,NA,NA,9,1,NA,NA,NA,NA,1
"10",27,2,0,1,"stim/objects/HouseObjects/bottle3.png","",0,0,"",0,"right",0.888999939,NA,NA,NA,NA,NA,10,1,NA,NA,NA,NA,1
"11",27,1,0.5,2,"stim/objects/HouseObjects/spraybottle.png","stim/64.jpeg",6,4,"stim/64.jpeg",3,"left",1.364000082,3,3,7.503999949,1,4.539999962,11,1,0,0,0,0,1
"12",27,1,0.9,1,"stim/objects/HouseObjects/thermometer2.png","stim/42.jpeg",4,2,"stim/42.jpeg",1,"right",2.520999908,2,1,3.915999889,1,4.635999918,12,0,0,NA,1,NA,1
"13",27,1,0.5,2,"stim/objects/HouseObjects/saw.png","stim/61.jpeg",6,1,"stim/61.jpeg",2,"right",1.123000145,2,1,5.763000011,1,1.013999939,13,0,1,NA,0,NA,1
"14",27,1,0.1,2,"stim/objects/Instruments/violin2.png","stim/42.jpeg",4,2,"stim/42.jpeg",2,"left",1.189999819,3,3,6.609000206,1,3.628999949,14,1,0,0,0,0,1
"15",27,1,0.9,2,"stim/objects/Instruments/frenchhorn2.png","stim/31.jpeg",3,1,"stim/31.jpeg",1,"right",3.233999968,1,1,5.421999931,3,3.343999863,15,0,1,NA,0,NA,1
"16",27,1,0.7,2,"stim/objects/Instruments/trumpet.png","stim/12.jpeg",1,2,"stim/12.jpeg",4,"left",1.023000002,4,1,5.298999786,4,0.861999989,16,1,0,0,1,1,1
"17",27,2,0,1,"stim/objects/HouseObjects/hairdryer3.png","",0,0,"",0,"right",1.256999969,NA,NA,NA,NA,NA,17,1,NA,NA,NA,NA,1
"18",27,1,0.7,1,"stim/objects/HouseObjects/clothespin2.png","stim/22.jpeg",2,2,"stim/22.jpeg",3,"left",0.95600009,4,3,7.379999876,2,1.434000015,18,1,0,0,0,0,1
"19",27,1,0.5,2,"stim/objects/HouseObjects/scale.png","stim/62.jpeg",6,2,"stim/62.jpeg",2,"right",2.144000053,1,1,4.104000092,2,6.493000031,19,0,0,NA,1,NA,1
"20",27,2,0,2,"stim/objects/Instruments/saxophone3.png","",0,0,"",0,"left",1.187000036,NA,NA,NA,NA,NA,20,0,NA,NA,NA,NA,1
"21",27,2,0,1,"stim/objects/HouseObjects/barbecuelighter4.png","",0,0,"",0,"right",1.10800004,NA,NA,NA,NA,NA,21,1,NA,NA,NA,NA,1
"22",27,1,0.5,1,"stim/objects/Instruments/harmonica.png","stim/53.jpeg",5,3,"stim/53.jpeg",3,"right",1.636000156,1,2,4.177999973,1,5.042000055,22,0,0,NA,0,NA,1
"23",27,2,0,1,"stim/objects/HouseObjects/bottle4.png","",0,0,"",0,"right",0.923999786,NA,NA,NA,NA,NA,23,1,NA,NA,NA,NA,1
"24",27,1,0.1,1,"stim/objects/HouseObjects/flyswatter2.png","stim/33.jpeg",3,3,"stim/33.jpeg",3,"left",0.853999853,4,4,4.31799984,1,6.034999847,24,1,0,0,0,0,1
"25",27,1,0.9,1,"stim/objects/HouseObjects/sponge2.png","stim/43.jpeg",4,3,"stim/43.jpeg",4,"right",1.953999996,2,2,5.111000061,1,5.003000021,25,0,0,NA,0,NA,1
"26",27,1,0.3,2,"stim/objects/Instruments/bassguitar2.png","stim/22.jpeg",2,2,"stim/22.jpeg",4,"left",1.028000116,4,2,2.20600009,3,1.428999901,26,1,1,1,0,0,1
"27",27,1,0.7,1,"stim/objects/HouseObjects/clothesdryingrack2.png","stim/21.jpeg",2,1,"stim/21.jpeg",3,"left",1.625999928,4,1,1.559999943,1,0.927999973,27,1,1,1,0,0,1
"28",27,2,0,2,"stim/objects/Instruments/bassdrum4.png","",0,0,"",0,"right",1.576999903,NA,NA,NA,NA,NA,28,1,NA,NA,NA,NA,1
"29",27,1,0.9,1,"stim/objects/HouseObjects/towel2.png","stim/44.jpeg",4,4,"stim/44.jpeg",3,"left",0.967000008,3,3,3.964999914,4,0.976999998,29,1,0,0,0,0,1
"30",27,2,0,1,"stim/objects/HouseObjects/saw3.png","",0,0,"",0,"right",1.003999949,NA,NA,NA,NA,NA,30,1,NA,NA,NA,NA,1
"31",27,2,0,1,"stim/objects/HouseObjects/clock4.png","",0,0,"",0,"right",2.111999989,NA,NA,NA,NA,NA,31,1,NA,NA,NA,NA,1
"32",27,1,0.3,2,"stim/objects/Instruments/cornet2.png","stim/22.jpeg",2,2,"stim/22.jpeg",4,"left",0.786000013,3,2,4.623000145,3,1.406000137,32,1,1,1,0,0,1
"33",27,2,0,1,"stim/objects/HouseObjects/scale3.png","",0,0,"",0,"right",0.92599988,NA,NA,NA,NA,NA,33,1,NA,NA,NA,NA,1
"34",27,2,0,1,"stim/objects/HouseObjects/clothespin3.png","",0,0,"",0,"right",1.036999941,NA,NA,NA,NA,NA,34,1,NA,NA,NA,NA,1
