"","participant","scn_file","scn_cat","obj_cat_top","min_resp_top","max_resp_top","slider.response","slider.rt","iteration_index","corr_rat","group"
"243",5,"stim/11.jpeg",1,"Household items",45,55,60,5.898000002,1,50,1
"245",5,"stim/21.jpeg",2,"Music items",45,55,41,4.996999979,1,50,1
"244",5,"stim/31.jpeg",3,"Household items",65,75,10,5.390000105,1,70,1
"241",5,"stim/41.jpeg",4,"Household items",65,75,30,23.704,1,70,1
"242",5,"stim/51.jpeg",5,"Music items",5,15,95,7.243000031,1,10,1
"246",5,"stim/61.jpeg",6,"Household items",5,15,75,5.062999964,1,10,1
"582",5,"stim/11.jpeg",1,"Household items",45,55,60,6.653999805,2,50,1
"578",5,"stim/21.jpeg",2,"Music items",45,55,45,11.07799983,2,50,1
"581",5,"stim/31.jpeg",3,"Household items",65,75,14,4.321000099,2,70,1
"580",5,"stim/41.jpeg",4,"Household items",65,75,75,4.565999985,2,70,1
"583",5,"stim/51.jpeg",5,"Music items",5,15,90,4.84499979,2,10,1
"579",5,"stim/61.jpeg",6,"Household items",5,15,76,5.727999926,2,10,1
