"","participant","scn_file","scn_cat","obj_cat_top","min_resp_top","max_resp_top","slider.response","slider.rt","iteration_index","corr_rat","group"
"242",7,"stim/11.jpeg",1,"Household items",45,55,20,4.983999968,1,50,1
"246",7,"stim/21.jpeg",2,"Music items",45,55,20,6.710999966,1,50,1
"241",7,"stim/31.jpeg",3,"Household items",65,75,10,5.951999903,1,70,1
"244",7,"stim/41.jpeg",4,"Household items",65,75,90,4.032000065,1,70,1
"243",7,"stim/51.jpeg",5,"Music items",5,15,47,7.674999952,1,10,1
"245",7,"stim/61.jpeg",6,"Household items",5,15,40,9.57400012,1,10,1
"583",7,"stim/11.jpeg",1,"Household items",45,55,10,6.593000174,2,50,1
"582",7,"stim/21.jpeg",2,"Music items",45,55,13,9.977999926,2,50,1
"581",7,"stim/31.jpeg",3,"Household items",65,75,14,6.58100009,2,70,1
"578",7,"stim/41.jpeg",4,"Household items",65,75,96,8.145999908,2,70,1
"579",7,"stim/51.jpeg",5,"Music items",5,15,50,5.684000015,2,10,1
"580",7,"stim/61.jpeg",6,"Household items",5,15,40,8.66899991,2,10,1
