"","participant","scn_file","scn_cat","obj_cat_top","min_resp_top","max_resp_top","slider.response","slider.rt","iteration_index","corr_rat","group"
"241",25,"stim/11.jpeg",1,"Household items",45,55,67,11.1400001,1,50,1
"244",25,"stim/21.jpeg",2,"Music items",45,55,50,5.258999825,1,50,1
"242",25,"stim/31.jpeg",3,"Household items",65,75,10,8.730000019,1,70,1
"246",25,"stim/41.jpeg",4,"Household items",65,75,84,5.782000065,1,70,1
"245",25,"stim/51.jpeg",5,"Music items",5,15,95,3.963000059,1,10,1
"243",25,"stim/61.jpeg",6,"Household items",5,15,91,8.828999996,1,10,1
"583",25,"stim/11.jpeg",1,"Household items",45,55,50,4.210000038,2,50,1
"581",25,"stim/21.jpeg",2,"Music items",45,55,40,5.753999949,2,50,1
"580",25,"stim/31.jpeg",3,"Household items",65,75,28,9.797999859,2,70,1
"582",25,"stim/41.jpeg",4,"Household items",65,75,73,7.290999889,2,70,1
"579",25,"stim/51.jpeg",5,"Music items",5,15,90,3.151000023,2,10,1
"578",25,"stim/61.jpeg",6,"Household items",5,15,94,6.450999975,2,10,1
