"","participant","trial_index","trial_cond","scn_file","scn_cat","scn_inst","scn_condition","fillers","obj_cat","obj_cat_num","obj_file","quadrant","corr_ans","key_resp_trial.keys","key_resp_trial.rt","trial_acc","trial_acc_manual","group"
"123",51,123,0.7,"stim/54.jpeg",5,4,2,NA,"HouseObjects",2,"stim/objects/HouseObjects/handvacuum.png",4,"right","right",0.670999765,1,1,0
"124",51,124,0.5,"stim/34.jpeg",3,4,1,NA,"Instruments",1,"stim/objects/Instruments/flute.png",2,"left","right",0.836999893,0,0,0
"125",51,125,0.9,"stim/12.jpeg",1,2,3,NA,"HouseObjects",2,"stim/objects/HouseObjects/flyswatter2.png",4,"right","right",0.602999926,1,1,0
"126",51,126,0.7,"stim/54.jpeg",5,4,2,NA,"HouseObjects",2,"stim/objects/HouseObjects/handvacuum.png",1,"right","right",0.595999956,1,1,0
"127",51,127,0.7,"stim/54.jpeg",5,4,2,NA,"HouseObjects",2,"stim/objects/HouseObjects/handvacuum.png",1,"right","left",0.696000099,0,0,0
"128",51,128,0.9,"stim/23.jpeg",2,3,3,NA,"Instruments",1,"stim/objects/Instruments/harp2.png",4,"left","left",0.642999887,1,1,0
"129",51,129,0.5,"stim/42.jpeg",4,2,1,NA,"Instruments",1,"stim/objects/Instruments/frenchhorn.png",2,"left","right",0.602999926,0,0,0
"130",51,130,0.7,"stim/52.jpeg",5,2,2,NA,"HouseObjects",2,"stim/objects/HouseObjects/hairdryer.png",3,"right","right",0.595000029,1,1,0
"131",51,131,0.5,"stim/41.jpeg",4,1,1,NA,"Instruments",1,"stim/objects/Instruments/flutetrans.png",2,"left","right",0.638000011,0,0,0
"132",51,132,0.5,"stim/32.jpeg",3,2,1,NA,"HouseObjects",2,"stim/objects/HouseObjects/cushion.png",3,"right","right",0.84100008,1,1,0
"133",51,133,0.7,"stim/63.jpeg",6,3,2,NA,"Instruments",1,"stim/objects/Instruments/electricguitar2.png",2,"left","left",0.834000111,1,1,0
"134",51,134,0.5,"stim/44.jpeg",4,4,1,NA,"Instruments",1,"stim/objects/Instruments/grandpiano.png",3,"left","right",0.853999853,0,0,0
"135",51,135,0.3,"stim/54.jpeg",5,4,2,NA,"Instruments",1,"stim/objects/Instruments/hihat.png",2,"left","right",0.65199995,0,0,0
"136",51,136,0.3,"stim/64.jpeg",6,4,2,NA,"HouseObjects",2,"stim/objects/HouseObjects/doormat2.png",1,"right","left",0.586999893,0,0,0
"137",51,137,0.5,"stim/31.jpeg",3,1,1,NA,"HouseObjects",2,"stim/objects/HouseObjects/coffee.png",1,"right","left",0.695999861,0,0,0
"138",51,138,0.9,"stim/23.jpeg",2,3,3,NA,"Instruments",1,"stim/objects/Instruments/harp2.png",2,"left","left",0.610999823,1,1,0
"139",51,139,0.3,"stim/62.jpeg",6,2,2,NA,"HouseObjects",2,"stim/objects/HouseObjects/cushion2.png",4,"right","left",0.672999859,0,0,0
"140",51,140,0.5,"stim/32.jpeg",3,2,1,NA,"Instruments",1,"stim/objects/Instruments/electricdrumset.png",4,"left","left",0.903999805,1,1,0
"141",51,141,0.9,"stim/14.jpeg",1,4,3,NA,"HouseObjects",2,"stim/objects/HouseObjects/glass2.png",2,"right","right",0.694000006,1,1,0
"142",51,142,0.5,"stim/34.jpeg",3,4,1,NA,"HouseObjects",2,"stim/objects/HouseObjects/doormat.png",1,"right","right",0.904000044,1,1,0
"143",51,143,0.9,"stim/13.jpeg",1,3,3,NA,"HouseObjects",2,"stim/objects/HouseObjects/garbagebin2.png",3,"right","right",0.588000059,1,1,0
"144",51,144,0.9,"stim/23.jpeg",2,3,3,NA,"Instruments",1,"stim/objects/Instruments/harp2.png",4,"left","right",0.637999773,0,0,0
"145",51,145,0.5,"stim/31.jpeg",3,1,1,NA,"HouseObjects",2,"stim/objects/HouseObjects/coffee.png",1,"right","right",0.655999899,1,1,0
"146",51,146,0.3,"stim/51.jpeg",5,1,2,NA,"Instruments",1,"stim/objects/Instruments/guitarcase.png",1,"left","right",0.944000006,0,0,0
"147",51,147,0.9,"stim/12.jpeg",1,2,3,NA,"HouseObjects",2,"stim/objects/HouseObjects/flyswatter2.png",1,"right","right",0.558999777,1,1,0
"148",51,148,0.7,"stim/51.jpeg",5,1,2,NA,"HouseObjects",2,"stim/objects/HouseObjects/glassmop.png",1,"right","left",0.571000099,0,0,0
"149",51,149,0.9,"stim/22.jpeg",2,2,3,NA,"Instruments",1,"stim/objects/Instruments/harmonica2.png",3,"left","left",0.677999973,1,1,0
"150",51,150,0.5,"stim/44.jpeg",4,4,1,NA,"HouseObjects",2,"stim/objects/HouseObjects/glass.png",1,"right","left",0.740999937,0,0,0
"151",51,151,0.5,"stim/33.jpeg",3,3,1,NA,"HouseObjects",2,"stim/objects/HouseObjects/dishsoap.png",4,"right","right",0.802999973,1,1,0
"152",51,152,0.7,"stim/62.jpeg",6,2,2,NA,"Instruments",1,"stim/objects/Instruments/electricdrumset2.png",3,"left","left",0.71999979,1,1,0
"153",51,153,0.9,"stim/12.jpeg",1,2,3,NA,"HouseObjects",2,"stim/objects/HouseObjects/flyswatter2.png",2,"right","right",0.570999861,1,1,0
"154",51,154,0.7,"stim/61.jpeg",6,1,2,NA,"Instruments",1,"stim/objects/Instruments/drums2.png",1,"left","left",0.686999798,1,1,0
"155",51,155,0.3,"stim/62.jpeg",6,2,2,NA,"HouseObjects",2,"stim/objects/HouseObjects/cushion2.png",1,"right","left",0.754999876,0,0,0
"156",51,156,0.3,"stim/51.jpeg",5,1,2,NA,"Instruments",1,"stim/objects/Instruments/guitarcase.png",1,"left","left",0.610999823,1,1,0
"157",51,157,0.7,"stim/63.jpeg",6,3,2,NA,"Instruments",1,"stim/objects/Instruments/electricguitar2.png",3,"left","",NA,0,0,0
"158",51,158,0.9,"stim/14.jpeg",1,4,3,NA,"HouseObjects",2,"stim/objects/HouseObjects/glass2.png",3,"right","right",0.637999773,1,1,0
"159",51,159,0.5,"stim/33.jpeg",3,3,1,NA,"Instruments",1,"stim/objects/Instruments/electricguitar.png",4,"left","left",0.768999815,1,1,0
"160",51,160,0.5,"stim/44.jpeg",4,4,1,NA,"HouseObjects",2,"stim/objects/HouseObjects/glass.png",3,"right","left",0.623999834,0,0,0
"161",51,161,0.3,"stim/64.jpeg",6,4,2,NA,"HouseObjects",2,"stim/objects/HouseObjects/doormat2.png",2,"right","left",0.751999855,0,0,0
"162",51,162,0.5,"stim/33.jpeg",3,3,1,NA,"HouseObjects",2,"stim/objects/HouseObjects/dishsoap.png",3,"right","left",0.704999924,0,0,0
"163",51,163,0.9,"stim/23.jpeg",2,3,3,NA,"Instruments",1,"stim/objects/Instruments/harp2.png",3,"left","left",0.603999853,1,1,0
"164",51,164,0.7,"stim/54.jpeg",5,4,2,NA,"HouseObjects",2,"stim/objects/HouseObjects/handvacuum.png",3,"right","left",0.870999813,0,0,0
"165",51,165,0.5,"stim/32.jpeg",3,2,1,NA,"HouseObjects",2,"stim/objects/HouseObjects/cushion.png",1,"right","right",0.687999964,1,1,0
"166",51,166,0.5,"stim/34.jpeg",3,4,1,NA,"HouseObjects",2,"stim/objects/HouseObjects/doormat.png",1,"right","right",0.852999926,1,1,0
"167",51,167,0.7,"stim/52.jpeg",5,2,2,NA,"HouseObjects",2,"stim/objects/HouseObjects/hairdryer.png",3,"right","right",0.747999907,1,1,0
"168",51,168,0.3,"stim/53.jpeg",5,3,2,NA,"Instruments",1,"stim/objects/Instruments/harp.png",4,"left","right",0.727999926,0,0,0
"169",51,169,0.5,"stim/44.jpeg",4,4,1,NA,"HouseObjects",2,"stim/objects/HouseObjects/glass.png",3,"right","left",0.663999796,0,0,0
"170",51,170,0.9,"stim/11.jpeg",1,1,3,NA,"HouseObjects",2,"stim/objects/HouseObjects/dustpan2.png",1,"right","right",0.738000154,1,1,0
"171",51,171,0.9,"stim/11.jpeg",1,1,3,NA,"HouseObjects",2,"stim/objects/HouseObjects/dustpan2.png",3,"right","left",0.801999807,0,0,0
"172",51,172,0.9,"stim/11.jpeg",1,1,3,NA,"HouseObjects",2,"stim/objects/HouseObjects/dustpan2.png",4,"right","right",0.569999933,1,1,0
"173",51,173,0.5,"stim/34.jpeg",3,4,1,NA,"Instruments",1,"stim/objects/Instruments/flute.png",3,"left","left",0.755999804,1,1,0
