"","participant","OvsN","PE_level","object_cat","obj_file","scn_file","corr_scn_cat","corr_scn_inst","scn_file.1","corr_loc","key_resp_id.keys","key_resp_id.rt","key_resp_conf.keys","key_resp_assoc.keys","key_resp_assoc.rt","key_resp_loc.keys","key_resp_loc.rt","trialN","id_acc","assoc.acc","cond_assoc","loc.acc","cond_loc","group"
"1",51,2,0,1,"stim/objects/Instruments/musicstand.png","",0,0,"",0,"left",6.556999922,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,0
"2",51,2,0,1,"stim/objects/Instruments/bassguitar2.png","",0,0,"",0,"left",1.095999956,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,0
"3",51,1,0.9,1,"stim/objects/Instruments/tambourine4.png","stim/22.jpeg",2,2,"stim/22.jpeg",2,"left",1.284999847,4,1,10.76699996,2,6.555999994,3,1,0,0,1,1,0
"4",51,2,0,1,"stim/objects/Instruments/trombone.png","",0,0,"",0,"right",4.217000008,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,0
"5",51,2,0,1,"stim/objects/Instruments/accordion2.png","",0,0,"",0,"left",6.101000071,NA,NA,NA,NA,NA,5,0,NA,NA,NA,NA,0
"6",51,2,0,1,"stim/objects/Instruments/xylophone.png","",0,0,"",0,"right",3.667000055,NA,NA,NA,NA,NA,6,1,NA,NA,NA,NA,0
"7",51,2,0,2,"stim/objects/HouseObjects/iron.png","",0,0,"",0,"right",2.006999969,NA,NA,NA,NA,NA,7,1,NA,NA,NA,NA,0
"8",51,2,0,2,"stim/objects/HouseObjects/clothesdryingrack2.png","",0,0,"",0,"right",1.866999865,NA,NA,NA,NA,NA,8,1,NA,NA,NA,NA,0
"9",51,2,0,1,"stim/objects/Instruments/keyboard.png","",0,0,"",0,"right",4.975000143,NA,NA,NA,NA,NA,9,1,NA,NA,NA,NA,0
"10",51,1,0.3,2,"stim/objects/HouseObjects/clothesdryingrack4.png","stim/63.jpeg",6,3,"stim/63.jpeg",3,"right",3.193000078,2,4,6.095999956,4,4.424999952,10,0,0,NA,0,NA,0
"11",51,2,0,1,"stim/objects/Instruments/speaker.png","",0,0,"",0,"right",6.679000139,NA,NA,NA,NA,NA,11,1,NA,NA,NA,NA,0
"12",51,2,0,1,"stim/objects/Instruments/cymbal2.png","",0,0,"",0,"right",2.580999851,NA,NA,NA,NA,NA,12,1,NA,NA,NA,NA,0
"13",51,2,0,1,"stim/objects/Instruments/laud2.png","",0,0,"",0,"left",2.786000013,NA,NA,NA,NA,NA,13,0,NA,NA,NA,NA,0
"14",51,2,0,1,"stim/objects/Instruments/maraca2.png","",0,0,"",0,"right",2.471999884,NA,NA,NA,NA,NA,14,1,NA,NA,NA,NA,0
"15",51,2,0,2,"stim/objects/HouseObjects/sponge.png","",0,0,"",0,"left",2.743999958,NA,NA,NA,NA,NA,15,0,NA,NA,NA,NA,0
"16",51,2,0,2,"stim/objects/HouseObjects/barbecuelighter.png","",0,0,"",0,"right",3.163000107,NA,NA,NA,NA,NA,16,1,NA,NA,NA,NA,0
"17",51,1,0.3,2,"stim/objects/HouseObjects/key4.png","stim/63.jpeg",6,3,"stim/63.jpeg",1,"left",1.866000175,4,2,10.15499997,3,4.096999884,17,1,0,0,0,0,0
"18",51,1,0.5,2,"stim/objects/Instruments/timbal3.png","stim/43.jpeg",4,3,"stim/43.jpeg",1,"left",1.378000021,4,3,8.496000051,1,4.923000097,18,1,1,1,1,1,0
"19",51,2,0,2,"stim/objects/HouseObjects/lintroller.png","",0,0,"",0,"left",5.139999866,NA,NA,NA,NA,NA,19,0,NA,NA,NA,NA,0
"20",51,1,0.9,2,"stim/objects/HouseObjects/pan4.png","stim/12.jpeg",1,2,"stim/12.jpeg",4,"right",2.267000198,4,1,5.910000086,3,5.272000074,20,0,0,NA,0,NA,0
"21",51,2,0,1,"stim/objects/Instruments/tuba.png","",0,0,"",0,"left",1.801000118,NA,NA,NA,NA,NA,21,0,NA,NA,NA,NA,0
"22",51,2,0,1,"stim/objects/Instruments/banjo.png","",0,0,"",0,"left",1.095000029,NA,NA,NA,NA,NA,22,0,NA,NA,NA,NA,0
"23",51,2,0,1,"stim/objects/Instruments/trumpet.png","",0,0,"",0,"left",0.875999928,NA,NA,NA,NA,NA,23,0,NA,NA,NA,NA,0
"24",51,2,0,2,"stim/objects/HouseObjects/match.png","",0,0,"",0,"left",3.234000206,NA,NA,NA,NA,NA,24,0,NA,NA,NA,NA,0
"25",51,1,0.9,2,"stim/objects/HouseObjects/pitcher4.png","stim/13.jpeg",1,3,"stim/13.jpeg",3,"left",1.49000001,2,3,8.122999907,2,3.657999992,25,1,1,1,0,0,0
"26",51,1,0.7,1,"stim/objects/Instruments/keyboard4.png","stim/63.jpeg",6,3,"stim/63.jpeg",2,"left",1.26699996,4,4,7.484999895,2,5.098999977,26,1,0,0,1,1,0
"27",51,1,0.1,1,"stim/objects/Instruments/record_player4.png","stim/11.jpeg",1,1,"stim/11.jpeg",1,"right",7.467000008,1,1,7.085000038,1,1.049999952,27,0,1,NA,1,NA,0
"28",51,1,0.1,1,"stim/objects/Instruments/musicstand4.png","stim/14.jpeg",1,4,"stim/14.jpeg",2,"left",1.853999853,4,4,5.882999897,3,8.024999857,28,1,1,1,0,0,0
"29",51,1,0.7,2,"stim/objects/HouseObjects/ashtray4.png","stim/53.jpeg",5,3,"stim/53.jpeg",3,"left",1.369000196,4,1,4.527999878,3,5.592000008,29,1,0,0,1,1,0
