"","obj_file","X.x","participant.x","trialN.x","trial_cond","scn_file.x","scn_cat","scn_inst","scn_condition","fillers","obj_cat","obj_cat_num","quadrant","corr_ans","key_resp_trial.keys","key_resp_trial.rt","trial_acc","trial_acc_manual","group.x","practice","X.y","participant.y","OvsN","PE_level","object_cat","scn_file.y","corr_scn_cat","corr_scn_inst","scn_file.1","corr_loc","key_resp_id.keys","key_resp_id.rt","key_resp_conf.keys","key_resp_assoc.keys","key_resp_assoc.rt","key_resp_loc.keys","key_resp_loc.rt","trialN.y","id_acc","assoc.acc","cond_assoc","loc.acc","cond_loc","group.y"
"38","stim/objects/HouseObjects/safetypin2.png",1,53,1,0.9,"stim/51.jpeg",5,1,3,NA,"HouseObjects",2,4,"right","",NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","stim/objects/HouseObjects/spraybottle.png",2,53,2,0.7,"stim/31.jpeg",3,1,2,NA,"HouseObjects",2,4,"right","",NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","stim/objects/HouseObjects/safetypin2.png",3,53,3,0.9,"stim/51.jpeg",5,1,3,NA,"HouseObjects",2,4,"right","right",0.888000011,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","stim/objects/HouseObjects/recyclingbin.png",4,53,4,0.5,"stim/11.jpeg",1,1,1,NA,"HouseObjects",2,2,"right","",NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","stim/objects/Instruments/triangle2.png",5,53,5,0.9,"stim/61.jpeg",6,1,3,NA,"Instruments",1,2,"left","left",0.631999969,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","stim/objects/Instruments/saxophone.png",6,53,6,0.5,"stim/21.jpeg",2,1,1,NA,"Instruments",1,3,"left","left",0.815999985,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","stim/objects/Instruments/pipepiano2.png",7,53,7,0.7,"stim/42.jpeg",4,2,2,NA,"Instruments",1,2,"left","left",0.822000027,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","stim/objects/HouseObjects/scale2.png",8,53,8,0.9,"stim/53.jpeg",5,3,3,NA,"HouseObjects",2,1,"right","right",0.588999987,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","stim/objects/HouseObjects/remote2.png",9,53,9,0.3,"stim/42.jpeg",4,2,2,NA,"HouseObjects",2,2,"right","left",0.703000069,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","stim/objects/Instruments/pipepiano2.png",10,53,10,0.7,"stim/42.jpeg",4,2,2,NA,"Instruments",1,1,"left","left",0.627000093,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","stim/objects/HouseObjects/recyclingbin.png",11,53,11,0.5,"stim/11.jpeg",1,1,1,NA,"HouseObjects",2,3,"right","left",0.782000065,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","stim/objects/Instruments/trombone2.png",12,53,12,0.9,"stim/62.jpeg",6,2,3,NA,"Instruments",1,1,"left","left",0.647000074,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","stim/objects/HouseObjects/saw.png",13,53,13,0.5,"stim/22.jpeg",2,2,1,NA,"HouseObjects",2,1,"right","",NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220","stim/objects/Instruments/trumpet2.png",14,53,14,0.9,"stim/63.jpeg",6,3,3,NA,"Instruments",1,2,"left","left",0.694000006,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","stim/objects/HouseObjects/recyclingbin.png",15,53,15,0.5,"stim/11.jpeg",1,1,1,NA,"HouseObjects",2,1,"right","right",0.855000019,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","stim/objects/HouseObjects/saw2.png",16,53,16,0.9,"stim/52.jpeg",5,2,3,NA,"HouseObjects",2,1,"right","right",0.607000113,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","stim/objects/Instruments/tuba2.png",17,53,17,0.9,"stim/64.jpeg",6,4,3,NA,"Instruments",1,2,"left","left",0.580000162,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","stim/objects/Instruments/record.png",18,53,18,0.5,"stim/13.jpeg",1,3,1,NA,"Instruments",1,2,"left","",NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","stim/objects/HouseObjects/spraybottle.png",19,53,19,0.7,"stim/31.jpeg",3,1,2,NA,"HouseObjects",2,3,"right","right",0.638999939,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","stim/objects/HouseObjects/rug2.png",20,53,20,0.3,"stim/44.jpeg",4,4,2,NA,"HouseObjects",2,2,"right","",NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
