"","participant","scn_file","scn_cat","obj_cat_top","min_resp_top","max_resp_top","slider.response","slider.rt","iteration_index","corr_rat","group"
"245",53,"stim/11.jpeg",1,"Music items",45,55,70,6.251000166,1,50,1
"246",53,"stim/21.jpeg",2,"Household items",45,55,60,6.245999813,1,50,1
"242",53,"stim/31.jpeg",3,"Music items",65,75,4,7.5,1,70,1
"244",53,"stim/41.jpeg",4,"Music items",65,75,20,7.468000174,1,70,1
"243",53,"stim/51.jpeg",5,"Household items",5,15,100,3.571000099,1,10,1
"241",53,"stim/61.jpeg",6,"Music items",5,15,100,6.53399992,1,10,1
"580",53,"stim/11.jpeg",1,"Music items",45,55,73,3.878000021,2,50,1
"581",53,"stim/21.jpeg",2,"Household items",45,55,20,6.618000031,2,50,1
"578",53,"stim/31.jpeg",3,"Music items",65,75,40,11.48199987,2,70,1
"583",53,"stim/41.jpeg",4,"Music items",65,75,81,2.973999977,2,70,1
"582",53,"stim/51.jpeg",5,"Household items",5,15,100,2.713000059,2,10,1
"579",53,"stim/61.jpeg",6,"Music items",5,15,86,3.796000004,2,10,1
