"","participant","OvsN","PE_level","object_cat","obj_file","scn_file","corr_scn_cat","corr_scn_inst","scn_file.1","corr_loc","key_resp_id.keys","key_resp_id.rt","key_resp_conf.keys","key_resp_assoc.keys","key_resp_assoc.rt","key_resp_loc.keys","key_resp_loc.rt","trialN","id_acc","assoc.acc","cond_assoc","loc.acc","cond_loc","group"
"1",12,1,0.7,1,"stim/objects/HouseObjects/clothesdryingrack2.png","stim/21.jpeg",2,1,"stim/21.jpeg",3,"left",2.489000082,4,2,9.225000143,3,2.555999994,1,1,0,0,1,1,1
"2",12,1,0.1,1,"stim/objects/HouseObjects/handbrush2.png","stim/34.jpeg",3,4,"stim/34.jpeg",3,"left",6.819000006,3,3,7.349999905,2,4.801000118,2,1,0,0,0,0,1
"3",12,2,0,2,"stim/objects/Instruments/electricguitar3.png","",0,0,"",0,"right",3.963999987,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,1
"4",12,2,0,1,"stim/objects/HouseObjects/bleachbottle3.png","",0,0,"",0,"left",4.895999908,NA,NA,NA,NA,NA,4,0,NA,NA,NA,NA,1
"5",12,1,0.9,1,"stim/objects/HouseObjects/towel2.png","stim/44.jpeg",4,4,"stim/44.jpeg",3,"left",3.681999922,4,4,6.057999849,4,9.303999901,5,1,1,1,0,0,1
"6",12,1,0.3,2,"stim/objects/Instruments/bassguitar2.png","stim/22.jpeg",2,2,"stim/22.jpeg",4,"left",1.426999807,4,3,15.01399994,4,1.871000051,6,1,0,0,1,1,1
"7",12,2,0,2,"stim/objects/Instruments/bassguitar3.png","",0,0,"",0,"left",2.335999966,NA,NA,NA,NA,NA,7,0,NA,NA,NA,NA,1
"8",12,2,0,1,"stim/objects/HouseObjects/hairdryer3.png","",0,0,"",0,"right",3.08100009,NA,NA,NA,NA,NA,8,1,NA,NA,NA,NA,1
"9",12,1,0.9,2,"stim/objects/Instruments/flutetrans2.png","stim/34.jpeg",3,4,"stim/34.jpeg",4,"left",0.983999968,4,3,6.907999992,2,3.451999903,9,1,0,0,0,0,1
"10",12,1,0.5,1,"stim/objects/HouseObjects/handbrush.png","stim/51.jpeg",5,1,"stim/51.jpeg",1,"right",1.634000063,4,2,10.17599988,4,5.664999962,10,0,0,NA,0,NA,1
"11",12,2,0,1,"stim/objects/HouseObjects/safetypin3.png","",0,0,"",0,"left",1.395999908,NA,NA,NA,NA,NA,11,0,NA,NA,NA,NA,1
"12",12,1,0.3,1,"stim/objects/HouseObjects/thermometer.png","stim/11.jpeg",1,1,"stim/11.jpeg",1,"right",1.653000116,4,4,5.247999907,2,2.065999746,12,0,0,NA,0,NA,1
"13",12,2,0,2,"stim/objects/Instruments/doublebass4.png","",0,0,"",0,"right",3.03399992,NA,NA,NA,NA,NA,13,1,NA,NA,NA,NA,1
"14",12,2,0,2,"stim/objects/Instruments/electricdrumset3.png","",0,0,"",0,"left",2.111999989,NA,NA,NA,NA,NA,14,0,NA,NA,NA,NA,1
"15",12,1,0.5,2,"stim/objects/Instruments/triangle.png","stim/63.jpeg",6,3,"stim/63.jpeg",4,"left",1.199999809,4,1,7.155999899,1,2.510999918,15,1,0,0,0,0,1
"16",12,2,0,2,"stim/objects/Instruments/cornet3.png","",0,0,"",0,"right",1.557999849,NA,NA,NA,NA,NA,16,1,NA,NA,NA,NA,1
"17",12,1,0.1,2,"stim/objects/Instruments/tambourine2.png","stim/44.jpeg",4,4,"stim/44.jpeg",4,"left",1.016000032,4,3,5.945999861,2,1.741999865,17,1,0,0,0,0,1
"18",12,2,0,2,"stim/objects/Instruments/tuba3.png","",0,0,"",0,"left",2.242999792,NA,NA,NA,NA,NA,18,0,NA,NA,NA,NA,1
"19",12,1,0.7,2,"stim/objects/Instruments/violin.png","stim/14.jpeg",1,4,"stim/14.jpeg",2,"left",0.970999956,4,4,3.635999918,4,4.456999779,19,1,1,1,0,0,1
"20",12,2,0,1,"stim/objects/HouseObjects/blender3.png","",0,0,"",0,"left",2.53399992,NA,NA,NA,NA,NA,20,0,NA,NA,NA,NA,1
"21",12,2,0,2,"stim/objects/Instruments/vuvuzela3.png","",0,0,"",0,"right",0.944999933,NA,NA,NA,NA,NA,21,1,NA,NA,NA,NA,1
"22",12,1,0.3,2,"stim/objects/Instruments/doublebass2.png","stim/24.jpeg",2,4,"stim/24.jpeg",3,"right",1.166000128,4,4,2.460999966,4,1.011999846,22,0,1,NA,0,NA,1
"23",12,1,0.1,2,"stim/objects/Instruments/triangle2.png","stim/42.jpeg",4,2,"stim/42.jpeg",1,"left",2.996999741,4,4,5.725999832,3,3.368999958,23,1,0,0,0,0,1
"24",12,1,0.5,1,"stim/objects/HouseObjects/handvacuum.png","stim/52.jpeg",5,2,"stim/52.jpeg",4,"left",1.394999981,4,3,12.65400004,3,4.350999832,24,1,0,0,0,0,1
"25",12,2,0,2,"stim/objects/Instruments/hihat3.png","",0,0,"",0,"right",1.849999905,NA,NA,NA,NA,NA,25,1,NA,NA,NA,NA,1
"26",12,2,0,1,"stim/objects/HouseObjects/clothespin4.png","",0,0,"",0,"right",2.181999922,NA,NA,NA,NA,NA,26,1,NA,NA,NA,NA,1
"27",12,2,0,1,"stim/objects/HouseObjects/glass3.png","",0,0,"",0,"right",2.754999876,NA,NA,NA,NA,NA,27,1,NA,NA,NA,NA,1
"28",12,2,0,2,"stim/objects/Instruments/flute3.png","",0,0,"",0,"right",3.679999828,NA,NA,NA,NA,NA,28,1,NA,NA,NA,NA,1
"29",12,2,0,1,"stim/objects/HouseObjects/clothesdryingrack3.png","",0,0,"",0,"right",1.143000126,NA,NA,NA,NA,NA,29,1,NA,NA,NA,NA,1
"30",12,1,0.1,1,"stim/objects/HouseObjects/dustpan2.png","stim/32.jpeg",3,2,"stim/32.jpeg",2,"right",2.082000017,4,4,0.838999987,2,1.618000031,30,0,0,NA,1,NA,1
"31",12,2,0,2,"stim/objects/Instruments/cello3.png","",0,0,"",0,"left",1.161000013,NA,NA,NA,NA,NA,31,0,NA,NA,NA,NA,1
"32",12,1,0.9,2,"stim/objects/Instruments/harp2.png","stim/32.jpeg",3,2,"stim/32.jpeg",1,"left",1.217999935,4,2,7.016000032,4,3.407999992,32,1,1,1,0,0,1
"33",12,2,0,2,"stim/objects/Instruments/timbal3.png","",0,0,"",0,"right",1.274999857,NA,NA,NA,NA,NA,33,1,NA,NA,NA,NA,1
