"","participant","scn_file","scn_cat","obj_cat_top","min_resp_top","max_resp_top","slider.response","slider.rt","iteration_index","corr_rat","group"
"244",13,"stim/11.jpeg",1,"Music items",45,55,50,3.910000086,1,50,1
"245",13,"stim/21.jpeg",2,"Household items",45,55,40,9.684000015,1,50,1
"246",13,"stim/31.jpeg",3,"Music items",65,75,20,8.623000145,1,70,1
"243",13,"stim/41.jpeg",4,"Music items",65,75,70,6.947000027,1,70,1
"242",13,"stim/51.jpeg",5,"Household items",5,15,93,13.93499994,1,10,1
"241",13,"stim/61.jpeg",6,"Music items",5,15,90,5.246000051,1,10,1
"583",13,"stim/11.jpeg",1,"Music items",45,55,60,4.164999962,2,50,1
"580",13,"stim/21.jpeg",2,"Household items",45,55,71,7.612999916,2,50,1
"581",13,"stim/31.jpeg",3,"Music items",65,75,30,7.01699996,2,70,1
"578",13,"stim/41.jpeg",4,"Music items",65,75,50,5.75999999,2,70,1
"582",13,"stim/51.jpeg",5,"Household items",5,15,80,5.299999952,2,10,1
"579",13,"stim/61.jpeg",6,"Music items",5,15,80,3.802999973,2,10,1
