"","model","N","BIC","sd","se","ci"
"1","dfLR_Instr",40,793.137176170381,18.11966180766,2.86497008720847,5.7949489815735
"2","dLR_Instr",40,801.249561777605,25.5076889276738,4.03311974292536,8.15775468343612
"3","fLR_Eval",40,783.117974534676,23.4937762478574,3.7146921890797,7.51367416158299
"4","fLR_Instr",40,774.352966026219,18.084535987251,2.85941620734975,5.78371519921229
