"","PartNum","dfLR_Instr","dLR_Instr","fLR_Eval","fLR_Instr"
"1",1,759.056783805451,751.724781950455,765.650678279434,728.106298302252
"2",2,519.253863679953,511.920840665568,473.472067342842,480.303840924866
"3",3,954.687311952079,957.099623646245,983.327212629259,952.978604491488
"4",4,667.446938241026,678.423762651759,590.713365847785,604.36002465936
"5",5,774.703567864632,767.370544850246,730.660589105942,727.813494762194
"6",6,439.331537047544,455.020850219531,448.033133786844,456.861523780931
"7",7,679.575554094197,672.286038761415,677.290906574188,697.506821734569
"8",8,921.073885258358,916.362260943871,957.722474551828,932.58413951006
"9",9,729.186291753665,757.262937885507,772.78029386158,759.290422360532
"10",10,692.342872063825,702.781764575346,619.404767861786,605.339542270136
"11",11,531.582768877108,540.566823386832,482.760322185485,468.599241547476
"12",12,640.44249666931,680.16034101046,617.259343941945,626.219938726261
"13",13,710.129319608722,715.855306959439,729.410053129358,713.421796719824
"14",14,1065.54385332397,1063.5771039533,1020.12545191131,1016.44450589258
"15",15,445.573543393934,438.62749360042,453.35888438977,426.561628529638
"16",16,926.591468193959,931.945564693585,924.482180882351,918.085803742728
"17",17,982.020282879798,974.687259865412,935.667211338869,926.976556493262
"18",18,882.406074959227,875.333913044759,890.653639635451,870.855626750285
"19",19,423.628738737885,423.361485668953,403.994501624268,401.410780737343
"20",20,548.302637822346,560.207347267257,538.211149892905,533.321458108565
"21",21,1068.99316746657,1078.22350246828,1115.1437211791,1105.42831410851
"22",22,573.792534109278,598.43169403754,520.895581672403,519.764699680609
"23",23,1078.00687362939,1098.87413911272,1098.51347453509,1083.30221722504
"24",24,833.050632075459,873.108527730596,797.780517258774,796.250873775874
"25",25,649.280837466633,702.422140467133,672.422236923302,657.755741704446
"26",26,955.668003831699,957.978720603654,946.902459775665,930.283539351801
"27",27,561.904204196675,582.941329675112,559.767476457516,548.987050402345
"28",28,549.491855872791,542.158832858405,588.760400110452,565.845363855917
"29",29,674.742628226219,682.994905375388,653.635670582995,653.169734107746
"30",30,555.48159426473,620.608450489333,487.466573058195,491.157783138654
"31",31,1014.97324688376,1007.64022386938,1028.42776626735,1018.98379642532
"32",32,1216.77497065789,1218.53793363994,1181.18746993927,1178.05361496599
"33",33,1009.07663664563,1001.74361363124,1042.47428240674,1033.56834068624
"34",34,904.501225950013,901.017830627362,858.380560789317,855.008107096982
"35",35,1027.49526507197,1027.12120710235,1036.27570078521,1021.45948382742
"36",36,798.385036597418,791.052013583032,770.131048956871,767.310118714604
"37",37,1113.81297932385,1119.31243309022,1141.38953807446,1134.7122597926
"38",38,549.721320025683,542.388297012947,559.286522702116,512.556913184854
"39",39,1253.09834437056,1288.39602885098,1215.90817912561,1218.73457966759
"40",40,1044.35589992203,1040.45460127821,1034.99157201341,1034.74405929185
