"","SubNum","PE_level","trialN","id_acc","trial_acc","session","PE","obj_file","scn_cat","scn_condition","exp","alpha","beta"
"1",1,"0.1",5,0,"1","ImmediateRec",0.366738188770877,"glassmop2",4,"Strong","Experiment1",0.0492417862980082,5.35123879189236
"2",1,"0.9",6,0,"0","ImmediateRec",0.824609843115561,"harp2",4,"Strong","Experiment1",0.0492417862980082,5.35123879189236
"3",1,"0.9",10,0,"0","ImmediateRec",0.831970436918514,"ironingboard2",5,"Strong","Experiment1",0.0492417862980082,5.35123879189236
"4",1,"0.9",11,0,"1","ImmediateRec",0.791002726457512,"garbagebin2",5,"Strong","Experiment1",0.0492417862980082,5.35123879189236
"5",1,"0.9",21,0,"0","ImmediateRec",0.868066617046724,"cherrytomato",4,"Strong","Experiment1",0.0492417862980082,5.35123879189236
"6",1,"0.1",24,0,"1","ImmediateRec",0.345037649584282,"rug2",4,"Strong","Experiment1",0.0492417862980082,5.35123879189236
"7",1,"0.5",26,0,"0","ImmediateRec",0.655802137585364,"handvacuum2",2,"Flat","Experiment1",0.0492417862980082,5.35123879189236
"8",1,"0.9",31,1,"0","ImmediateRec",0.839895469648902,"tambourine2",6,"Strong","Experiment1",0.0492417862980082,5.35123879189236
"9",1,"0.5",32,0,"0","ImmediateRec",0.640325558801373,"electricdrumset2",3,"Flat","Experiment1",0.0492417862980082,5.35123879189236
"10",1,"0.5",39,0,"0","ImmediateRec",0.712028374676233,"hihat",2,"Flat","Experiment1",0.0492417862980082,5.35123879189236
"11",1,"0.9",40,1,"0","ImmediateRec",0.864007594218519,"dishsoap",6,"Strong","Experiment1",0.0492417862980082,5.35123879189236
"12",1,"0.9",42,0,"0","ImmediateRec",0.849876114602973,"mango",4,"Strong","Experiment1",0.0492417862980082,5.35123879189236
"13",1,"0.5",43,1,"0","ImmediateRec",0.715703071147794,"coffeebean",3,"Flat","Experiment1",0.0492417862980082,5.35123879189236
"14",1,"0.9",44,0,"0","ImmediateRec",0.826857197971317,"electricdrumset",6,"Strong","Experiment1",0.0492417862980082,5.35123879189236
"15",1,"0.5",47,0,"0","ImmediateRec",0.696195265620705,"celery",3,"Flat","Experiment1",0.0492417862980082,5.35123879189236
"16",1,"0.5",49,1,"0","ImmediateRec",0.676759188159484,"endive2",1,"Flat","Experiment1",0.0492417862980082,5.35123879189236
