"","participant","scn_file","scn_cat","obj_cat_top","min_resp_top","max_resp_top","slider.response","slider.rt","iteration_index","corr_rat","group"
"243",68,"stim/11.jpeg",1,"Music items",45,55,78,2.976000071,1,50,1
"242",68,"stim/21.jpeg",2,"Household items",45,55,39,4.579999924,1,50,1
"246",68,"stim/31.jpeg",3,"Music items",65,75,20,4.539000034,1,70,1
"244",68,"stim/41.jpeg",4,"Music items",65,75,91,4.032999992,1,70,1
"241",68,"stim/51.jpeg",5,"Household items",5,15,72,7.950000048,1,10,1
"245",68,"stim/61.jpeg",6,"Music items",5,15,91,2.384000063,1,10,1
"583",68,"stim/11.jpeg",1,"Music items",45,55,52,2.252000093,2,50,1
"579",68,"stim/21.jpeg",2,"Household items",45,55,36,5.960000038,2,50,1
"578",68,"stim/31.jpeg",3,"Music items",65,75,66,7.055999994,2,70,1
"580",68,"stim/41.jpeg",4,"Music items",65,75,77,2.849999905,2,70,1
"581",68,"stim/51.jpeg",5,"Household items",5,15,86,3.065999985,2,10,1
"582",68,"stim/61.jpeg",6,"Music items",5,15,34,2.914000034,2,10,1
