"","participant","scn_file","scn_cat","obj_cat_top","min_resp_top","max_resp_top","slider.response","slider.rt","iteration_index","corr_rat","group"
"241",64,"stim/11.jpeg",1,"Household items",45,55,10,11.80900002,1,50,1
"246",64,"stim/21.jpeg",2,"Music items",45,55,10,4.437000036,1,50,1
"242",64,"stim/31.jpeg",3,"Household items",65,75,40,9.031000137,1,70,1
"244",64,"stim/41.jpeg",4,"Household items",65,75,20,4.78399992,1,70,1
"245",64,"stim/51.jpeg",5,"Music items",5,15,90,6.506000042,1,10,1
"243",64,"stim/61.jpeg",6,"Household items",5,15,40,4.798000097,1,10,1
"583",64,"stim/11.jpeg",1,"Household items",45,55,10,4.070000172,2,50,1
"580",64,"stim/21.jpeg",2,"Music items",45,55,10,5.779999971,2,50,1
"578",64,"stim/31.jpeg",3,"Household items",65,75,30,6.746000051,2,70,1
"581",64,"stim/41.jpeg",4,"Household items",65,75,40,8.983999968,2,70,1
"579",64,"stim/51.jpeg",5,"Music items",5,15,90,6.14199996,2,10,1
"582",64,"stim/61.jpeg",6,"Household items",5,15,80,6.815000057,2,10,1
