"","participant","scn_file","scn_cat","obj_cat_top","min_resp_top","max_resp_top","slider.response","slider.rt","iteration_index","corr_rat","group"
"241",32,"stim/11.jpeg",1,"Household items",45,55,30,14.12700009,1,50,1
"246",32,"stim/21.jpeg",2,"Music items",45,55,60,7.446000099,1,50,1
"243",32,"stim/31.jpeg",3,"Household items",65,75,100,2.101999998,1,70,1
"244",32,"stim/41.jpeg",4,"Household items",65,75,100,2.931999922,1,70,1
"242",32,"stim/51.jpeg",5,"Music items",5,15,90,2.977999926,1,10,1
"245",32,"stim/61.jpeg",6,"Household items",5,15,50,4.528999805,1,10,1
"581",32,"stim/11.jpeg",1,"Household items",45,55,10,2.950999975,2,50,1
"582",32,"stim/21.jpeg",2,"Music items",45,55,10,2.911000013,2,50,1
"578",32,"stim/31.jpeg",3,"Household items",65,75,20,4.984999895,2,70,1
"583",32,"stim/41.jpeg",4,"Household items",65,75,81,2.912000179,2,70,1
"580",32,"stim/51.jpeg",5,"Music items",5,15,30,4.258000135,2,10,1
"579",32,"stim/61.jpeg",6,"Household items",5,15,40,3.253999949,2,10,1
