key_resp_pract.keys,key_resp_pract.rt,trial_acc,trial_index,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,practice_loop.ran,practice_loop.order,scn_condition,scn_cat,scn_inst,scn_file,obj_cat,obj_cat_num,obj_file,trial_cond,quadrant,obj_x,obj_y,corr_ans,participant,date,expName,psychopyVersion,OS,frameRate
,,0,1,1,0,240,38,1,239,1,3,3,stim/33.jpeg,HouseObjects,2,stim/objects/HouseObjects/dishsoap.png,0.5,3,-0.2,-0.15,right,26,2020-12-03_14h55.36.122,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60
,,0,2,1,0,240,41,1,239,1,4,2,stim/42.jpeg,Instruments,1,stim/objects/Instruments/frenchhorn.png,0.5,2,0.2,0.15,left,26,2020-12-03_14h55.36.122,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60
,,0,3,1,0,240,164,1,239,3,1,1,stim/11.jpeg,HouseObjects,2,stim/objects/HouseObjects/dustpan2.png,0.9,1,-0.2,0.15,right,26,2020-12-03_14h55.36.122,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60
,,0,4,1,0,240,5,1,239,1,3,2,stim/32.jpeg,Instruments,1,stim/objects/Instruments/electricdrumset.png,0.5,3,-0.2,-0.15,left,26,2020-12-03_14h55.36.122,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60
,,0,5,1,0,240,187,1,239,3,1,4,stim/14.jpeg,HouseObjects,2,stim/objects/HouseObjects/glass2.png,0.9,4,0.2,-0.15,right,26,2020-12-03_14h55.36.122,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60
,,0,6,1,0,240,89,1,239,2,5,2,stim/52.jpeg,Instruments,1,stim/objects/Instruments/harmonica.png,0.3,1,-0.2,0.15,left,26,2020-12-03_14h55.36.122,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60
,,0,7,1,0,240,152,1,239,2,6,1,stim/61.jpeg,HouseObjects,2,stim/objects/HouseObjects/coffee2.png,0.3,2,0.2,0.15,right,26,2020-12-03_14h55.36.122,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60
,,0,8,1,0,240,178,1,239,3,1,3,stim/13.jpeg,HouseObjects,2,stim/objects/HouseObjects/garbagebin2.png,0.9,2,0.2,0.15,right,26,2020-12-03_14h55.36.122,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60
,,0,9,1,0,240,102,1,239,2,5,3,stim/53.jpeg,HouseObjects,2,stim/objects/HouseObjects/handbrush.png,0.7,1,-0.2,0.15,right,26,2020-12-03_14h55.36.122,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60
,,0,10,1,0,240,200,1,239,3,2,1,stim/21.jpeg,Instruments,1,stim/objects/Instruments/guitarcase2.png,0.9,1,-0.2,0.15,left,26,2020-12-03_14h55.36.122,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60
