id_acc,key_resp_id.keys,key_resp_id.rt,key_resp_conf.keys,key_resp_conf.rt,assoc_acc,key_resp_assoc.keys,key_resp_assoc.rt,loc_acc,key_resp_loc.keys,key_resp_loc.rt,task_innerloop.thisRepN,task_innerloop.thisTrialN,task_innerloop.thisN,task_innerloop.thisIndex,task_innerloop.ran,task_innerloop.order,context_type,object_cat,PE_level,OvsN,obj_file,scn_file,corr_scn_cat,assoc_file,corr_scn_inst,corr_loc,participant,date,expName,psychopyVersion,OS,frameRate
1,right,1.335000038,3,1.72300005,0,1,1.172999859,0,1,1.111000061,1,0,200,80,1,199,3,1,0.9,1,stim/objects/HouseObjects/saw2.png,stim/61.jpeg,6,stim/6.png,1,1,60,2021-02-24_07h31.36.558,premup-three_ses-02_part-03_label-phase3,3.2.4,Linux x86_64,60
1,left,1.732999802,,,0,,,0,,,1,0,200,118,1,199,0,2,0,2,stim/objects/Instruments/guitarcase3.png,,0,stim/0.png,0,0,60,2021-02-24_07h31.36.558,premup-three_ses-02_part-03_label-phase3,3.2.4,Linux x86_64,60
1,left,1.398999929,,,0,,,0,,,1,0,200,117,1,199,0,2,0,2,stim/objects/Instruments/grandpiano3.png,,0,stim/0.png,0,0,60,2021-02-24_07h31.36.558,premup-three_ses-02_part-03_label-phase3,3.2.4,Linux x86_64,60
1,left,1.115999937,3,1.138999939,0,2,4.940000057,0,3,4.146999836,1,0,200,57,1,199,2,2,0.3,1,stim/objects/Instruments/keyboard2.png,stim/41.jpeg,4,stim/4.png,1,4,60,2021-02-24_07h31.36.558,premup-three_ses-02_part-03_label-phase3,3.2.4,Linux x86_64,60
1,right,1.946999788,2,1.296999931,0,1,1.092999935,0,3,1.078999996,1,0,200,27,1,199,2,1,0.3,1,stim/objects/HouseObjects/dishsoap2.png,stim/34.jpeg,3,stim/3.png,4,1,60,2021-02-24_07h31.36.558,premup-three_ses-02_part-03_label-phase3,3.2.4,Linux x86_64,60
1,left,1.151999712,,,0,,,0,,,1,0,200,128,1,199,0,1,0,2,stim/objects/HouseObjects/pan3.png,,0,stim/0.png,0,0,60,2021-02-24_07h31.36.558,premup-three_ses-02_part-03_label-phase3,3.2.4,Linux x86_64,60
1,left,1.483999968,4,1.35199976,0,1,6.232999802,0,1,8.263999939,1,0,200,78,1,199,3,2,0.9,1,stim/objects/Instruments/record_player2.png,stim/53.jpeg,5,stim/5.png,3,2,60,2021-02-24_07h31.36.558,premup-three_ses-02_part-03_label-phase3,3.2.4,Linux x86_64,60
1,right,1.450999737,,,0,,,0,,,1,0,200,140,1,199,0,1,0,2,stim/objects/HouseObjects/recyclingbin3.png,,0,stim/0.png,0,0,60,2021-02-24_07h31.36.558,premup-three_ses-02_part-03_label-phase3,3.2.4,Linux x86_64,60
1,right,1.008999825,4,1.815999985,0,1,0.920000076,0,1,0.585999727,1,0,200,90,1,199,3,2,0.1,1,stim/objects/Instruments/speaker2.png,stim/63.jpeg,6,stim/6.png,3,2,60,2021-02-24_07h31.36.558,premup-three_ses-02_part-03_label-phase3,3.2.4,Linux x86_64,60
1,left,1.217000008,3,1.585000038,0,3,3.706999779,0,3,1.649999857,1,0,200,56,1,199,2,2,0.3,1,stim/objects/Instruments/hihat2.png,stim/44.jpeg,4,stim/4.png,4,2,60,2021-02-24_07h31.36.558,premup-three_ses-02_part-03_label-phase3,3.2.4,Linux x86_64,60
