id_acc,key_resp_id.keys,key_resp_id.rt,key_resp_conf.keys,key_resp_conf.rt,assoc_acc,key_resp_assoc.keys,key_resp_assoc.rt,loc_acc,key_resp_loc.keys,key_resp_loc.rt,task_innerloop.thisRepN,task_innerloop.thisTrialN,task_innerloop.thisN,task_innerloop.thisIndex,task_innerloop.ran,task_innerloop.order,context_type,object_cat,PE_level,OvsN,obj_file,scn_file,corr_scn_cat,assoc_file,corr_scn_inst,corr_loc,participant,date,expName,psychopyVersion,OS,frameRate
1,left,0.90899992,4,0.832999706,0,1,4.825999975,0,2,0.98699975,1,0,200,72,1,199,3,2,0.9,1,stim/objects/HouseObjects/flyswatter4.png,stim/51.jpeg,5,stim/5.png,1,2,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,right,1.463999987,2,1.154999971,0,2,3.378000021,0,2,2.338999987,1,0,200,30,1,199,2,2,0.7,1,stim/objects/HouseObjects/pan3.png,stim/32.jpeg,3,stim/3.png,2,4,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,right,0.914000034,3,1.742999792,0,3,3.030999899,0,1,1.498999834,1,0,200,96,1,199,3,2,0.1,1,stim/objects/HouseObjects/pitcher4.png,stim/61.jpeg,6,stim/6.png,1,2,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,right,1.161000013,3,1.602999926,0,2,1.882999897,0,2,1.113999844,1,0,200,87,1,199,3,1,0.9,1,stim/objects/Instruments/violin4.png,stim/64.jpeg,6,stim/6.png,4,4,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,left,2.243999958,4,1.054000139,0,4,7.368000031,0,1,1.161999941,1,0,200,19,1,199,1,2,0.5,1,stim/objects/HouseObjects/match3.png,stim/24.jpeg,2,stim/2.png,4,2,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,right,0.975999832,2,1.338999987,0,2,5.234999895,0,1,1.875999928,1,0,200,86,1,199,3,1,0.9,1,stim/objects/Instruments/oboe4.png,stim/63.jpeg,6,stim/6.png,3,4,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,right,0.876999855,,,0,,,0,,,1,0,200,185,1,199,0,1,0,2,stim/objects/Instruments/cymbal2.png,,0,stim/0.png,0,0,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,left,0.845000029,,,0,,,0,,,1,0,200,143,1,199,0,1,0,2,stim/objects/Instruments/hihat.png,,0,stim/0.png,0,0,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,left,1.677000046,,,0,,,0,,,1,0,200,146,1,199,0,1,0,2,stim/objects/Instruments/maraca.png,,0,stim/0.png,0,0,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,right,1.312000036,3,1.055000067,0,2,1.739000082,0,3,0.778999805,1,0,200,6,1,199,1,1,0.5,1,stim/objects/HouseObjects/hairdryer3.png,stim/13.jpeg,1,stim/1.png,3,1,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,left,1.373999834,4,1.217000008,0,3,5.484999895,0,2,0.845000029,1,0,200,76,1,199,3,2,0.9,1,stim/objects/HouseObjects/hairdryer4.png,stim/51.jpeg,5,stim/5.png,1,1,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,left,1.559999943,4,0.902999878,0,1,3.766000032,0,1,2.595000029,1,0,200,2,1,199,1,1,0.5,1,stim/objects/Instruments/harp3.png,stim/11.jpeg,1,stim/1.png,1,3,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,right,1.007999897,,,0,,,0,,,1,0,200,166,1,199,0,1,0,2,stim/objects/Instruments/acousticguitar2.png,,0,stim/0.png,0,0,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,right,1.055999994,,,0,,,0,,,1,0,200,171,1,199,0,2,0,2,stim/objects/HouseObjects/pitcher.png,,0,stim/0.png,0,0,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,right,0.825000048,,,0,,,0,,,1,0,200,176,1,199,0,2,0,2,stim/objects/HouseObjects/ballofstring2.png,,0,stim/0.png,0,0,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,right,0.85800004,,,0,,,0,,,1,0,200,115,1,199,0,2,0,2,stim/objects/HouseObjects/blender.png,,0,stim/0.png,0,0,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,right,1.446999788,2,1.157999992,0,2,1.013999939,0,3,0.818000078,1,0,200,89,1,199,3,1,0.9,1,stim/objects/Instruments/xylophone4.png,stim/62.jpeg,6,stim/6.png,2,2,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,left,2.4599998,,,0,,,0,,,1,0,200,153,1,199,0,2,0,2,stim/objects/HouseObjects/handvacuum.png,,0,stim/0.png,0,0,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,left,2.823999882,,,0,,,0,,,1,0,200,100,1,199,0,1,0,2,stim/objects/Instruments/accordion.png,,0,stim/0.png,0,0,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,left,0.878000021,4,1.069999933,0,1,8.402999878,0,1,2.713999987,1,0,200,20,1,199,2,1,0.3,1,stim/objects/Instruments/musicstand3.png,stim/31.jpeg,3,stim/3.png,1,4,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,right,1.939999819,2,1.232999802,0,4,5.850999832,0,2,1.291999817,1,0,200,53,1,199,2,2,0.3,1,stim/objects/HouseObjects/bucket4.png,stim/41.jpeg,4,stim/4.png,1,4,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,right,1.409999847,,,0,,,0,,,1,0,200,112,1,199,0,2,0,2,stim/objects/HouseObjects/barbecuelighter.png,,0,stim/0.png,0,0,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,right,0.723999739,,,0,,,0,,,1,0,200,178,1,199,0,2,0,2,stim/objects/HouseObjects/basket2.png,,0,stim/0.png,0,0,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,right,1.248999834,1,1.200000048,0,3,2.290999889,0,4,3.740999937,1,0,200,55,1,199,2,2,0.3,1,stim/objects/HouseObjects/clothesdryingrack4.png,stim/43.jpeg,4,stim/4.png,3,3,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,left,1.330999851,4,0.689999819,0,1,2.085999966,0,2,0.934000015,1,0,200,25,1,199,2,1,0.3,1,stim/objects/Instruments/accordion4.png,stim/32.jpeg,3,stim/3.png,2,4,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,right,1.251999855,,,0,,,0,,,1,0,200,129,1,199,0,1,0,2,stim/objects/Instruments/grandpiano.png,,0,stim/0.png,0,0,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,left,1.028999805,,,0,,,0,,,1,0,200,194,1,199,0,2,0,2,stim/objects/HouseObjects/clock2.png,,0,stim/0.png,0,0,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,left,0.895999908,4,0.829999924,0,2,4.883999825,0,3,0.828000069,1,0,200,7,1,199,1,1,0.5,1,stim/objects/HouseObjects/handbrush3.png,stim/14.jpeg,1,stim/1.png,4,1,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,right,2.180999756,,,0,,,0,,,1,0,200,130,1,199,0,2,0,2,stim/objects/HouseObjects/clothesdryingrack.png,,0,stim/0.png,0,0,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,right,0.897000074,,,0,,,0,,,1,0,200,199,1,199,0,2,0,2,stim/objects/HouseObjects/dishsoap2.png,,0,stim/0.png,0,0,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,left,0.748999834,4,0.684000015,0,2,5.194000006,0,1,1.894000053,1,0,200,18,1,199,1,2,0.5,1,stim/objects/HouseObjects/lintroller3.png,stim/23.jpeg,2,stim/2.png,3,3,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,left,1.325999975,4,0.936999798,0,4,5.285000086,0,2,0.932999849,1,0,200,84,1,199,3,1,0.9,1,stim/objects/Instruments/musicsheet4.png,stim/61.jpeg,6,stim/6.png,1,2,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,left,2.042999983,4,0.598999977,0,2,3.825999975,0,2,3.431999922,1,0,200,50,1,199,2,2,0.3,1,stim/objects/HouseObjects/blender4.png,stim/42.jpeg,4,stim/4.png,2,1,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,left,1.269000053,4,0.703000069,0,2,6.211999893,0,3,3.345999956,1,0,200,26,1,199,2,1,0.3,1,stim/objects/Instruments/acousticguitar4.png,stim/33.jpeg,3,stim/3.png,3,2,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,right,3.82799983,,,0,,,0,,,1,0,200,140,1,199,0,1,0,2,stim/objects/Instruments/guitarcase.png,,0,stim/0.png,0,0,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,left,0.931999922,4,0.588999987,0,2,2.562000036,0,3,0.947000027,1,0,200,1,1,199,1,1,0.5,1,stim/objects/Instruments/harmonica3.png,stim/14.jpeg,1,stim/1.png,4,4,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,right,1.90199995,2,1.822000027,0,2,2.365999937,0,1,1.529999971,1,0,200,69,1,199,3,1,0.1,1,stim/objects/Instruments/keyboard4.png,stim/52.jpeg,5,stim/5.png,2,2,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,left,3.02699995,,,0,,,0,,,1,0,200,145,1,199,0,1,0,2,stim/objects/Instruments/laud.png,,0,stim/0.png,0,0,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
