key_resp_pract.keys,key_resp_pract.rt,trial_acc,trial_index,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,practice_loop.ran,practice_loop.order,scn_condition,scn_cat,scn_inst,scn_file,obj_cat,obj_cat_num,obj_file,trial_cond,quadrant,obj_x,obj_y,corr_ans,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_trial.keys,key_resp_trial.rt,iterations.thisRepN,iterations.thisTrialN,iterations.thisN,iterations.thisIndex,iterations.ran,iterations.order,task_innerloop.thisRepN,task_innerloop.thisTrialN,task_innerloop.thisN,task_innerloop.thisIndex,task_innerloop.ran,task_innerloop.order,iteration_index,rating_acc,slider.response,slider.rt,slider_2.response,slider_2.rt,ratings.thisRepN,ratings.thisTrialN,ratings.thisN,ratings.thisIndex,ratings.ran,ratings.order,obj_cat_top,min_resp_top,max_resp_top,obj_cat_bottom,min_resp_bottom,max_resp_bottom
,,0,1,1,0,240,70,1,239,1,2,3,stim/23.jpeg,HouseObjects,2,stim/objects/HouseObjects/scale.png,0.5,4,0.2,-0.15,right,33,2020-12-06_11h18.35.614,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
right,0.95299983,1,2,1,0,240,25,1,239,1,1,2,stim/12.jpeg,HouseObjects,2,stim/objects/HouseObjects/remote.png,0.5,2,0.2,0.15,right,33,2020-12-06_11h18.35.614,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
left,0.674000025,1,3,1,0,240,207,1,239,3,6,4,stim/64.jpeg,Instruments,1,stim/objects/Instruments/tuba2.png,0.9,4,0.2,-0.15,left,33,2020-12-06_11h18.35.614,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
right,0.737999916,1,4,1,0,240,183,1,239,3,5,4,stim/54.jpeg,HouseObjects,2,stim/objects/HouseObjects/sponge2.png,0.9,1,-0.2,0.15,right,33,2020-12-06_11h18.35.614,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
left,0.743000031,1,5,1,0,240,128,1,239,2,4,1,stim/41.jpeg,Instruments,1,stim/objects/Instruments/panflute2.png,0.7,2,0.2,0.15,left,33,2020-12-06_11h18.35.614,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
left,0.686000109,0,6,1,0,240,107,1,239,2,3,4,stim/34.jpeg,HouseObjects,2,stim/objects/HouseObjects/thread.png,0.7,2,0.2,0.15,right,33,2020-12-06_11h18.35.614,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,7,1,0,240,55,1,239,1,2,4,stim/24.jpeg,Instruments,1,stim/objects/Instruments/timbal.png,0.5,2,0.2,0.15,left,33,2020-12-06_11h18.35.614,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
left,0.81799984,1,8,1,0,240,129,1,239,2,4,2,stim/42.jpeg,Instruments,1,stim/objects/Instruments/pipepiano2.png,0.7,1,-0.2,0.15,left,33,2020-12-06_11h18.35.614,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
right,1.417000055,0,9,1,0,240,221,1,239,3,6,2,stim/62.jpeg,Instruments,1,stim/objects/Instruments/trombone2.png,0.9,1,-0.2,0.15,left,33,2020-12-06_11h18.35.614,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
left,0.93200016,0,10,1,0,240,39,1,239,1,1,4,stim/14.jpeg,HouseObjects,2,stim/objects/HouseObjects/rug.png,0.5,1,-0.2,0.15,right,33,2020-12-06_11h18.35.614,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,1,,,,,,,3,6,1,stim/61.jpeg,Instruments,1,stim/objects/Instruments/triangle2.png,0.9,3,-0.2,-0.15,left,33,2020-12-06_11h18.35.614,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60,left,0.697999954,4,0,4,0,1,3,1,0,240,200,1,239,,,,,,,,,,,,,,,,,,
,,0,2,,,,,,,3,5,3,stim/53.jpeg,HouseObjects,2,stim/objects/HouseObjects/scale2.png,0.9,2,0.2,0.15,right,33,2020-12-06_11h18.35.614,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60,left,0.729000092,4,0,4,0,1,3,1,0,240,190,1,239,,,,,,,,,,,,,,,,,,
,,1,3,,,,,,,3,5,2,stim/52.jpeg,Instruments,1,stim/objects/Instruments/speaker2.png,0.1,3,-0.2,-0.15,left,33,2020-12-06_11h18.35.614,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60,left,0.520999908,4,0,4,0,1,3,1,0,240,161,1,239,,,,,,,,,,,,,,,,,,
,,1,4,,,,,,,3,5,4,stim/54.jpeg,HouseObjects,2,stim/objects/HouseObjects/sponge2.png,0.9,3,-0.2,-0.15,right,33,2020-12-06_11h18.35.614,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60,right,0.749000072,4,0,4,0,1,3,1,0,240,175,1,239,,,,,,,,,,,,,,,,,,
,,0,5,,,,,,,1,1,4,stim/14.jpeg,HouseObjects,2,stim/objects/HouseObjects/rug.png,0.5,3,-0.2,-0.15,right,33,2020-12-06_11h18.35.614,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60,left,1.244999886,4,0,4,0,1,3,1,0,240,35,1,239,,,,,,,,,,,,,,,,,,
,,1,6,,,,,,,3,6,2,stim/62.jpeg,Instruments,1,stim/objects/Instruments/trombone2.png,0.9,1,-0.2,0.15,left,33,2020-12-06_11h18.35.614,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60,left,1.180999994,4,0,4,0,1,3,1,0,240,217,1,239,,,,,,,,,,,,,,,,,,
,,0,7,,,,,,,3,5,1,stim/51.jpeg,HouseObjects,2,stim/objects/HouseObjects/safetypin2.png,0.9,4,0.2,-0.15,right,33,2020-12-06_11h18.35.614,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60,left,1.450999975,4,0,4,0,1,3,1,0,240,184,1,239,,,,,,,,,,,,,,,,,,
,,0,8,,,,,,,2,4,4,stim/44.jpeg,Instruments,1,stim/objects/Instruments/record_player2.png,0.7,1,-0.2,0.15,left,33,2020-12-06_11h18.35.614,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60,right,0.823999882,4,0,4,0,1,3,1,0,240,131,1,239,,,,,,,,,,,,,,,,,,
,,1,9,,,,,,,1,1,4,stim/14.jpeg,HouseObjects,2,stim/objects/HouseObjects/rug.png,0.5,4,0.2,-0.15,right,33,2020-12-06_11h18.35.614,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60,right,0.883000135,4,0,4,0,1,3,1,0,240,27,1,239,,,,,,,,,,,,,,,,,,
,,0,10,,,,,,,2,3,1,stim/31.jpeg,HouseObjects,2,stim/objects/HouseObjects/spraybottle.png,0.7,3,-0.2,-0.15,right,33,2020-12-06_11h18.35.614,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60,left,0.513999939,4,0,4,0,1,3,1,0,240,92,1,239,,,,,,,,,,,,,,,,,,
,,0,11,,,,,,,2,4,3,stim/43.jpeg,Instruments,1,stim/objects/Instruments/record2.png,0.7,2,0.2,0.15,left,33,2020-12-06_11h18.35.614,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60,right,0.628999949,4,0,4,0,1,3,1,0,240,138,1,239,,,,,,,,,,,,,,,,,,
,,1,12,,,,,,,1,2,2,stim/22.jpeg,HouseObjects,2,stim/objects/HouseObjects/saw.png,0.5,3,-0.2,-0.15,right,33,2020-12-06_11h18.35.614,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60,right,0.065999985,4,0,4,0,1,3,1,0,240,77,1,239,,,,,,,,,,,,,,,,,,
,,0,13,,,,,,,3,5,3,stim/53.jpeg,HouseObjects,2,stim/objects/HouseObjects/scale2.png,0.9,3,-0.2,-0.15,right,33,2020-12-06_11h18.35.614,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60,left,0.870000124,4,0,4,0,1,3,1,0,240,170,1,239,,,,,,,,,,,,,,,,,,
,,1,14,,,,,,,2,3,4,stim/34.jpeg,HouseObjects,2,stim/objects/HouseObjects/thread.png,0.7,4,0.2,-0.15,right,33,2020-12-06_11h18.35.614,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60,right,0.730000019,4,0,4,0,1,3,1,0,240,95,1,239,,,,,,,,,,,,,,,,,,
,,1,15,,,,,,,2,4,1,stim/41.jpeg,HouseObjects,2,stim/objects/HouseObjects/recyclingbin2.png,0.3,4,0.2,-0.15,right,33,2020-12-06_11h18.35.614,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60,right,0.781000137,4,0,4,0,1,3,1,0,240,156,1,239,,,,,,,,,,,,,,,,,,
,,1,16,,,,,,,1,2,1,stim/21.jpeg,Instruments,1,stim/objects/Instruments/saxophone.png,0.5,3,-0.2,-0.15,left,33,2020-12-06_11h18.35.614,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60,left,0.506999969,4,0,4,0,1,3,1,0,240,48,1,239,,,,,,,,,,,,,,,,,,
,,0,17,,,,,,,2,4,2,stim/42.jpeg,Instruments,1,stim/objects/Instruments/pipepiano2.png,0.7,4,0.2,-0.15,left,33,2020-12-06_11h18.35.614,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60,right,0.90199995,4,0,4,0,1,3,1,0,240,145,1,239,,,,,,,,,,,,,,,,,,
,,0,18,,,,,,,1,1,2,stim/12.jpeg,HouseObjects,2,stim/objects/HouseObjects/remote.png,0.5,1,-0.2,0.15,right,33,2020-12-06_11h18.35.614,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60,left,0.644999981,4,0,4,0,1,3,1,0,240,29,1,239,,,,,,,,,,,,,,,,,,
,,1,19,,,,,,,1,1,2,stim/12.jpeg,HouseObjects,2,stim/objects/HouseObjects/remote.png,0.5,2,0.2,0.15,right,33,2020-12-06_11h18.35.614,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60,right,1.45600009,4,0,4,0,1,3,1,0,240,21,1,239,,,,,,,,,,,,,,,,,,
,,0,20,,,,,,,3,5,1,stim/51.jpeg,Instruments,1,stim/objects/Instruments/saxophone2.png,0.1,4,0.2,-0.15,left,33,2020-12-06_11h18.35.614,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60,right,1.11500001,4,0,4,0,1,3,1,0,240,160,1,239,,,,,,,,,,,,,,,,,,
,,0,21,,,,,,,2,3,1,stim/31.jpeg,HouseObjects,2,stim/objects/HouseObjects/spraybottle.png,0.7,2,0.2,0.15,right,33,2020-12-06_11h18.35.614,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60,left,1.018000126,4,0,4,0,1,3,1,0,240,112,1,239,,,,,,,,,,,,,,,,,,
